run,crossing_data_source,classification,waypoint,request,epoch,odom_sequence,odom_prev_source_ns,odom_current_source_ns,crossing_observer_wall_ns,crossing_error_m,inside_ball,speed_mps,source_gap_s,latest_compatible_command_bag_ns,latest_command_source_ns,latest_command_sample,latest_command_bundle,latest_command_continuation,latest_command_valid_until_ns,first_future_continuation_bag_ns,first_future_continuation_source_ns,first_future_continuation_sample,mission_accept_bag_ns,mission_accept_source_ns,next_goal_bag_ns,next_goal_source_ns,adapter_receive_ns,mission_callback_ns,successor_activation_ns,warning
external-mode-gui-20260922T013029-201643,runner_monitor_wall_arrival,CONTINUATION_PUBLISHED_BEFORE_CROSSING,0,1,89513068443633,1069,25780000000,25800000000,1790040673219330306,0.788817,1,1.43913,0.02,1790040673201287669,25783999999,278,2,1,25884000000,1790040673221128811,25800000000,279,1790040673220717648,25800000000,1790040673220663845,25800000000,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,ODOMETRY_SAMPLE_OPPORTUNITY_NOT_MISSION_CALLBACK;OBSERVER_WALL_NOT_ADAPTER_RECEIVE
external-mode-gui-20260922T013029-201643,runner_monitor_wall_arrival,CONTINUATION_PUBLISHED_BEFORE_CROSSING,1,2,89513068443633,1479,33980000000,34000000000,1790040683470741336,0.774945,1,1.51618,0.02,1790040683461240636,33991999999,791,5,1,34092000000,1790040683481171830,34008000000,792,1790040683470836272,34000000000,1790040683470749788,34000000000,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,ODOMETRY_SAMPLE_OPPORTUNITY_NOT_MISSION_CALLBACK;OBSERVER_WALL_NOT_ADAPTER_RECEIVE
external-mode-gui-20260922T013029-201643,runner_monitor_wall_arrival,CONTINUATION_PUBLISHED_BEFORE_CROSSING,2,3,89513068443633,1821,40820000000,40840000000,1790040692019443373,0.779627,1,1.46855,0.02,1790040692001158044,40823999999,1218,7,1,40924000000,1790040692021173249,40840000000,1219,1790040692020552075,40840000000,1790040692020521552,40840000000,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,ODOMETRY_SAMPLE_OPPORTUNITY_NOT_MISSION_CALLBACK;OBSERVER_WALL_NOT_ADAPTER_RECEIVE
external-mode-gui-20260922T013317-205860,runner_monitor_wall_arrival,CONTINUATION_PUBLISHED_BEFORE_CROSSING,0,1,89681429117739,1118,26368000000,26388000000,1790040842288884992,0.793267,1,1.43995,0.02,1790040842276378326,26376000000,277,2,1,26476000000,1790040842296516816,26391999999,278,1790040842296727853,26392000000,1790040842296704483,26392000000,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,ODOMETRY_SAMPLE_OPPORTUNITY_NOT_MISSION_CALLBACK;OBSERVER_WALL_NOT_ADAPTER_RECEIVE
external-mode-gui-20260922T013317-205860,runner_monitor_wall_arrival,CONTINUATION_PUBLISHED_BEFORE_CROSSING,1,2,89681429117739,1574,35488000000,35508000000,1790040853689564502,0.798907,1,0.82499,0.02,1790040853676551546,35496000000,847,5,1,35596000000,1790040853696370398,35512000000,848,1790040853696590136,35512000000,1790040853696564541,35512000000,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,ODOMETRY_SAMPLE_OPPORTUNITY_NOT_MISSION_CALLBACK;OBSERVER_WALL_NOT_ADAPTER_RECEIVE
external-mode-gui-20260922T013317-205860,runner_monitor_wall_arrival,CONTINUATION_PUBLISHED_BEFORE_CROSSING,2,3,89681429117739,1956,43128000000,43148000000,1790040863240201256,0.767897,1,1.63416,0.02,1790040863236581518,43143999999,1325,8,1,43244000000,1790040863256500226,43159999999,1326,1790040863257060565,43160000000,1790040863257027197,43160000000,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,ODOMETRY_SAMPLE_OPPORTUNITY_NOT_MISSION_CALLBACK;OBSERVER_WALL_NOT_ADAPTER_RECEIVE
external-mode-gui-20260922T013317-205860,runner_monitor_wall_arrival,CONTINUATION_PUBLISHED_BEFORE_CROSSING,3,4,89681429117739,2469,53388000000,53408000000,1790040876065772144,0.790352,1,1.3063,0.02,1790040876056574158,53399999999,1966,11,1,53500000000,1790040876076464449,53415999999,1967,1790040876076767326,53416000000,1790040876076747458,53416000000,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,ODOMETRY_SAMPLE_OPPORTUNITY_NOT_MISSION_CALLBACK;OBSERVER_WALL_NOT_ADAPTER_RECEIVE
external-mode-gui-20260922T014008-217087,runner_monitor_wall_arrival,CONTINUATION_PUBLISHED_BEFORE_CROSSING,0,1,90093700581918,1444,33000000000,33020000000,1790041262849497848,0.798414,1,0.998223,0.02,1790041262832546247,33008000000,581,2,1,33108000000,1790041262852633662,33024000000,582,1790041262852926068,33024000000,1790041262852907298,33024000000,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,ODOMETRY_SAMPLE_OPPORTUNITY_NOT_MISSION_CALLBACK;OBSERVER_WALL_NOT_ADAPTER_RECEIVE
external-mode-gui-20260922T014008-217087,runner_monitor_wall_arrival,CONTINUATION_PUBLISHED_BEFORE_CROSSING,1,2,90093700581918,2108,46280000000,46300000000,1790041279450563446,0.785954,1,0.954626,0.02,1790041279432593267,46287999999,1411,5,1,46388000000,1790041279452581594,46304000000,1412,1790041279452901930,46304000000,1790041279452862932,46304000000,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,ODOMETRY_SAMPLE_OPPORTUNITY_NOT_MISSION_CALLBACK;OBSERVER_WALL_NOT_ADAPTER_RECEIVE
external-mode-gui-20260922T014226-221089,rosbag_recorder,CONTINUATION_PUBLISHED_BEFORE_CROSSING,0,1,90231820162504,1284,30268000000,30288000000,1790041397569249750,0.797084,1,1.0002,0.02,1790041397555065278,30275999999,563,2,1,30376000000,1790041397575106754,30292000000,564,1790041397575359271,30292000000,1790041397575329371,30292000000,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,ODOMETRY_SAMPLE_OPPORTUNITY_NOT_MISSION_CALLBACK;OBSERVER_WALL_NOT_ADAPTER_RECEIVE
