run,source,event,sim_time_ns,observer_steady_ns,px4_boot_us,log_wall_s,nav_state,executor_in_charge,failsafe,result,detail
external-mode-check-20260922T012707-197705,adapter_log,hold_request_log,,,,1790040486.718883176,,,,,[WARN] [1790040486.718883176] [px4_navigation_external_mode]: Avoidance Mission requesting PX4 Hold handover
external-mode-check-20260922T012707-197705,runner_vehicle_status_change,vehicle_status_change,8512000000,89321194047086,8524000,,4,0,False,,
external-mode-check-20260922T012707-197705,runner_vehicle_status_change,vehicle_status_change,8716000000,89321452738254,8596000,,26,1,False,,
external-mode-check-20260922T012707-197705,runner_vehicle_status_change,vehicle_status_change,8916000000,89321700546560,8836000,,4,0,False,,
external-mode-check-20260922T012707-197705,runner_vehicle_status_change,vehicle_status_change,9856000000,89322836099660,9856000,,17,0,False,,
external-mode-check-20260922T012707-197705,runner_vehicle_status_change,vehicle_status_change,16648000000,89331326607383,16648000,,4,0,False,,
external-mode-check-20260922T012707-197705,runner_vehicle_status_change,vehicle_status_change,20880000000,89336616591971,20800000,,26,1,False,,
external-mode-check-20260922T012707-197705,runner_event,external_mode_entered,8716000000,89321452696839,,,,,,,{}
external-mode-check-20260922T012707-197705,runner_event,external_mode_exit_observed,8916000000,89321700486302,,,,,,,{}
external-mode-check-20260922T012707-197705,runner_event,external_mode_entered,20880000000,89336616556235,,,,,,,{}
external-mode-gui-20260922T013029-201643,adapter_log,mission_completed_log,,,,1790040718.673665130,,,,,[INFO] [1790040718.673665130] [px4_navigation_external_mode]: Avoidance Mission completed; handing over to PX4 Hold
external-mode-gui-20260922T013029-201643,runner_vehicle_status_change,vehicle_status_change,9036000000,89521431111507,9036000,,4,0,False,,
external-mode-gui-20260922T013029-201643,runner_vehicle_status_change,vehicle_status_change,9236000000,89521681838439,9072000,,26,1,False,,
external-mode-gui-20260922T013029-201643,runner_vehicle_status_change,vehicle_status_change,9372000000,89522429698747,9312000,,4,0,False,,
external-mode-gui-20260922T013029-201643,runner_vehicle_status_change,vehicle_status_change,10316000000,89523087404791,10320000,,17,0,False,,
external-mode-gui-20260922T013029-201643,runner_vehicle_status_change,vehicle_status_change,17088000000,89531496113309,17088000,,4,0,False,,
external-mode-gui-20260922T013029-201643,runner_vehicle_status_change,vehicle_status_change,21320000000,89536786713492,21312000,,26,1,False,,
external-mode-gui-20260922T013029-201643,runner_vehicle_status_change,vehicle_status_change,62328000000,89588089686587,62196000,,4,1,False,,
external-mode-gui-20260922T013029-201643,runner_event,external_mode_entered,9236000000,89521681776656,,,,,,,{}
external-mode-gui-20260922T013029-201643,runner_event,external_mode_exit_observed,9372000000,89522429662084,,,,,,,{}
