run,profile,infrastructure,run_verdict,metric,clock_domain,scope,n,min,p50,p95,p99,p999,max,mean,over_100_ms
external-mode-check-20260922T012707-197705,structured_obstacle,VALID,BLOCKED,COUNTER_LAST_command_publication_deadline_miss_count,counter,last observed cumulative counter,125,,,,,,0.0,,
external-mode-check-20260922T012707-197705,structured_obstacle,VALID,BLOCKED,COUNTER_LAST_world_freshness_command_recovery_count,counter,last observed cumulative counter,125,,,,,,0.0,,
external-mode-check-20260922T012707-197705,structured_obstacle,VALID,BLOCKED,COUNTER_LAST_world_freshness_command_suspend_count,counter,last observed cumulative counter,125,,,,,,0.0,,
external-mode-check-20260922T012707-197705,structured_obstacle,VALID,BLOCKED,active_revalidation_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,125,0.001,0.931,1.85,2.39,,2.748,0.916256,
external-mode-check-20260922T012707-197705,structured_obstacle,VALID,BLOCKED,adapter_setpoint_update_duration_ms,diagnostic duration,per run; diagnostic samples not event-paired,964,0.013433,0.034822,0.050696,0.069759,,0.127565,0.035752542531120333,
external-mode-check-20260922T012707-197705,structured_obstacle,VALID,BLOCKED,adapter_setpoint_update_duration_tracking_ms,diagnostic duration,per run; diagnostic samples not event-paired,610,0.013433,0.034747,0.053295,0.078168,,0.127565,0.03629487377049181,
external-mode-check-20260922T012707-197705,structured_obstacle,VALID,BLOCKED,adapter_state_receive_to_update_ms,steady duration,per run; diagnostic samples not event-paired,964,0.016062,10.295421,20.417119,24.760486,,25.36702,10.58489520020747,
external-mode-check-20260922T012707-197705,structured_obstacle,VALID,BLOCKED,adapter_state_source_age_at_update_ms,ROS source time,per run; diagnostic samples not event-paired,964,0.0,8.0,16.0,20.0,,20.0,8.269709543568466,
external-mode-check-20260922T012707-197705,structured_obstacle,VALID,BLOCKED,adapter_state_source_age_at_update_tracking_ms,diagnostic duration,per run; diagnostic samples not event-paired,610,0.0,8.0,16.0,20.0,,20.0,8.281967213114754,
external-mode-check-20260922T012707-197705,structured_obstacle,VALID,BLOCKED,command_recorder_interarrival_ms,recorder wall time,per run; diagnostic samples not event-paired,1257,19.748243,19.998517,20.07994,20.121715,20.249006,40.036916,20.015931405727923,0
external-mode-check-20260922T012707-197705,structured_obstacle,VALID,BLOCKED,command_source_interarrival_ms,ROS source time,per run; diagnostic samples not event-paired,1257,15.999999,16.0,16.000001,16.000001,16.000001,32.000001,16.01272871917263,0
external-mode-check-20260922T012707-197705,structured_obstacle,VALID,BLOCKED,command_store_publish_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,125,0.0,0.041,0.078,0.113,,0.129,0.043800000000000006,
external-mode-check-20260922T012707-197705,structured_obstacle,VALID,BLOCKED,command_transport_publish_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,125,0.0,0.038,0.073,0.109,,0.126,0.040848,
external-mode-check-20260922T012707-197705,structured_obstacle,VALID,BLOCKED,mapping_callback_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,354,11.959,24.838,35.852000000000004,42.758,,134.907,26.406186440677967,
external-mode-check-20260922T012707-197705,structured_obstacle,VALID,BLOCKED,mapping_observation_to_diagnostic_stamp_proxy_ms,ROS source time,per run; diagnostic samples not event-paired,354,28.0,40.0,56.0,64.0,,160.0,40.01129943502825,
external-mode-check-20260922T012707-197705,structured_obstacle,VALID,BLOCKED,mapping_snapshot_export_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,354,5.83,8.167,11.932,13.411,,20.276,8.65443220338983,
