run,localization_epoch,waypoint_index,request_id,sample_opportunities,first_source_ns,first_sequence,first_previous_source_ns,first_geometry,first_crossing_error_m,first_continuation_published,first_ready_source_ns,source_delay_ms,source_samples_before_ready,reentry_observed,accepted_source_ns,route_arc_delta_before_ready_m,measured_path_distance_before_ready_m,classification,adapter_receive_ns,mission_update_ns,exact_callback_continuation,lost_crossing
external-mode-gui-20260922T013029-201643,89513068443633,0,1,1,25800000000,1069,25780000000,CURRENT_IN_BALL,0.788817,1,25800000000,,0,False,25800000000,,,READY_BEFORE_CROSSING_OPPORTUNITY,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,NOT_REPRODUCED
external-mode-gui-20260922T013029-201643,89513068443633,1,2,1,34000000000,1479,33980000000,CURRENT_IN_BALL,0.774945,1,34008000000,,0,False,34000000000,,,READY_BEFORE_CROSSING_OPPORTUNITY,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,NOT_REPRODUCED
external-mode-gui-20260922T013029-201643,89513068443633,2,3,1,40840000000,1821,40820000000,CURRENT_IN_BALL,0.779627,1,40840000000,,0,False,40840000000,,,READY_BEFORE_CROSSING_OPPORTUNITY,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,NOT_REPRODUCED
external-mode-gui-20260922T013317-205860,89681429117739,0,1,1,26388000000,1118,26368000000,CURRENT_IN_BALL,0.793267,1,26391999999,,0,False,26392000000,,,READY_BEFORE_CROSSING_OPPORTUNITY,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,NOT_REPRODUCED
external-mode-gui-20260922T013317-205860,89681429117739,1,2,1,35508000000,1574,35488000000,CURRENT_IN_BALL,0.798907,1,35512000000,,0,False,35512000000,,,READY_BEFORE_CROSSING_OPPORTUNITY,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,NOT_REPRODUCED
external-mode-gui-20260922T013317-205860,89681429117739,2,3,1,43148000000,1956,43128000000,CURRENT_IN_BALL,0.767897,1,43159999999,,0,False,43160000000,,,READY_BEFORE_CROSSING_OPPORTUNITY,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,NOT_REPRODUCED
external-mode-gui-20260922T013317-205860,89681429117739,3,4,1,53408000000,2469,53388000000,CURRENT_IN_BALL,0.790352,1,53415999999,,0,False,53416000000,,,READY_BEFORE_CROSSING_OPPORTUNITY,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,NOT_REPRODUCED
external-mode-gui-20260922T014008-217087,90093700581918,0,1,1,33020000000,1444,33000000000,CURRENT_IN_BALL,0.798414,1,33024000000,,0,False,33024000000,,,READY_BEFORE_CROSSING_OPPORTUNITY,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,NOT_REPRODUCED
external-mode-gui-20260922T014008-217087,90093700581918,1,2,1,46300000000,2108,46280000000,CURRENT_IN_BALL,0.785954,1,46304000000,,0,False,46304000000,,,READY_BEFORE_CROSSING_OPPORTUNITY,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,NOT_REPRODUCED
external-mode-gui-20260922T014226-221089,90231820162504,0,1,1,30288000000,1284,30268000000,CURRENT_IN_BALL,0.797084,1,30292000000,,0,False,30292000000,,,READY_BEFORE_CROSSING_OPPORTUNITY,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,NOT_REPRODUCED
external-mode-gui-20260922T014226-221089,90231820162504,1,2,1,46428000000,2091,46408000000,CURRENT_IN_BALL,0.791478,1,46435999999,,0,False,46436000000,,,READY_BEFORE_CROSSING_OPPORTUNITY,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,NOT_REPRODUCED
external-mode-gui-20260922T014501-225072,90387008204045,0,1,1,29708000000,1279,29688000000,CURRENT_IN_BALL,0.788328,1,29716000000,,0,False,29716000000,,,READY_BEFORE_CROSSING_OPPORTUNITY,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,NOT_REPRODUCED
external-mode-gui-20260922T014501-225072,90387008204045,1,2,1,43348000000,1961,43328000000,CURRENT_IN_BALL,0.797037,1,43363999999,,0,False,43364000000,,,READY_BEFORE_CROSSING_OPPORTUNITY,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,NOT_REPRODUCED
external-mode-gui-20260922T014501-225072,90387008204045,2,3,1,55528000000,2570,55508000000,CURRENT_IN_BALL,0.798473,1,55539999999,,0,False,55536000000,,,READY_BEFORE_CROSSING_OPPORTUNITY,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,NOT_REPRODUCED
external-mode-gui-20260922T014501-225072,90387008204045,3,4,1,71848000000,3386,71828000000,CURRENT_IN_BALL,0.798533,1,71855999999,,0,False,71856000000,,,READY_BEFORE_CROSSING_OPPORTUNITY,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,NOT_REPRODUCED
external-mode-gui-20260922T015008-233245,90695073308889,0,1,1,45312000000,1253,45292000000,CURRENT_IN_BALL,0.794122,1,45323999999,,0,False,45324000000,,,READY_BEFORE_CROSSING_OPPORTUNITY,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,NOT_REPRODUCED
external-mode-gui-20260922T015008-233245,90695073308889,1,3,1,65832000000,2264,65812000000,CURRENT_IN_BALL,0.782451,1,65835999999,,0,False,65836000000,,,READY_BEFORE_CROSSING_OPPORTUNITY,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,NOT_REPRODUCED
external-mode-gui-20260922T015008-233245,90695073308889,2,5,1,80512000000,2998,80492000000,CURRENT_IN_BALL,0.78615,1,80524000000,,0,False,80524000000,,,READY_BEFORE_CROSSING_OPPORTUNITY,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,NOT_REPRODUCED
external-mode-gui-20260922T015008-233245,90695073308889,3,6,34,95732000000,3759,95712000000,CURRENT_IN_BALL,0.79928,0,96971999999,1239.999999,33,True,97916000000,0.1443000000000012,0.5525166823851192,CURRENT_IN_BALL_BEFORE_READY;REENTRY_ACCEPTED,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,NOT_REPRODUCED
external-mode-gui-20260922T015333-237627,90899334390437,0,1,1,22332000000,910,0,CURRENT_IN_BALL,0.120291,,,,0,False,22336000000,,,INITIAL_HANDOFF_EXCEPTION_OR_INSUFFICIENT_TRACE,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,NOT_REPRODUCED
external-mode-gui-20260922T015333-237627,90899334390437,1,2,1,82032000000,3895,82012000000,CURRENT_IN_BALL,0.879709,1,82036000000,,0,False,82036000000,,,READY_BEFORE_CROSSING_OPPORTUNITY,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,NOT_REPRODUCED
external-mode-gui-20260922T015333-237627,90899334390437,2,3,1,88252000000,4206,88232000000,CURRENT_IN_BALL,0.795047,1,88260000000,,0,False,88256000000,,,READY_BEFORE_CROSSING_OPPORTUNITY,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,NOT_REPRODUCED
external-mode-gui-20260922T015333-237627,90899334390437,3,4,1,94952000000,4541,94932000000,CURRENT_IN_BALL,0.797365,1,94963999999,,0,False,94964000000,,,READY_BEFORE_CROSSING_OPPORTUNITY,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,NOT_REPRODUCED
external-mode-gui-20260922T015649-241674,91096018763254,0,1,1,22436000000,925,0,CURRENT_IN_BALL,0.188554,,,,0,False,22452000000,,,INITIAL_HANDOFF_EXCEPTION_OR_INSUFFICIENT_TRACE,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,NOT_REPRODUCED
external-mode-gui-20260922T020310-247206,91477966411337,0,1,1,26400000000,1123,0,CURRENT_IN_BALL,0.250776,,26420000000,20.0,1,False,26420000000,,,INITIAL_HANDOFF_EXCEPTION_OR_INSUFFICIENT_TRACE,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,NOT_REPRODUCED
external-mode-gui-20260922T020310-247206,91477966411337,1,2,1,55140000000,2560,55120000000,CURRENT_IN_BALL,0.894723,1,55140000000,,0,False,55144000000,,,READY_BEFORE_CROSSING_OPPORTUNITY,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,NOT_REPRODUCED
external-mode-gui-20260922T020310-247206,91477966411337,2,3,1,96620000000,4634,96600000000,CURRENT_IN_BALL,0.887639,1,96628000000,,0,False,96628000000,,,READY_BEFORE_CROSSING_OPPORTUNITY,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,NOT_REPRODUCED
