run,profile,infrastructure,metric,n,commands,tracking_trace_rows,duplicate_command_keys,unmatched_tracking_traces,invalid_clock_pairs,p50_ms,p95_ms,p99_ms,p999_ms,max_ms,gt20,gt40,gt60,gt80,ge100
external-mode-check-20260922T012707-197705,structured_obstacle,VALID,authorization_to_first_tracking_setpoint_upper_bound_ms,610,958,610,0,0,0,18.392779,18.437629,18.45596,,18.475153,0,0,0,0,0
external-mode-check-20260922T012707-197705,structured_obstacle,VALID,authorization_to_reused_tracking_setpoint_age_ms,0,958,610,0,0,0,,,,,,0,0,0,0,0
external-mode-check-20260922T012707-197705,structured_obstacle,VALID,first_tracking_setpoint_interarrival_ms,609,958,610,0,0,0,19.999741,20.052794,20.065122,,660.05409,303,1,1,1,1
external-mode-check-20260922T012707-197705,structured_obstacle,VALID,runner_command_observer_interarrival_ms,957,958,610,0,0,0,19.990363,44.066176,51.773107,,57.520979,458,78,0,0,0
external-mode-gui-20260922T013029-201643,long_featured,VALID,authorization_to_first_tracking_setpoint_upper_bound_ms,2484,3240,2485,0,0,0,18.07961,18.169152,18.237702,18.403715,18.800468,0,0,0,0,0
external-mode-gui-20260922T013029-201643,long_featured,VALID,authorization_to_reused_tracking_setpoint_age_ms,1,3240,2485,0,0,0,37.98262,37.98262,37.98262,,37.98262,1,0,0,0,0
external-mode-gui-20260922T013029-201643,long_featured,VALID,first_tracking_setpoint_interarrival_ms,2483,3240,2485,0,0,0,19.998349,20.08921,20.169373,20.420985,39.99542,1202,0,0,0,0
external-mode-gui-20260922T013029-201643,long_featured,VALID,runner_command_observer_interarrival_ms,3239,3240,2485,0,0,0,19.776318,58.78032,67.347195,75.386215,85.101471,1198,457,143,1,0
external-mode-gui-20260922T013317-205860,long_featured,VALID,authorization_to_first_tracking_setpoint_upper_bound_ms,2053,2054,2053,0,0,0,12.930723,13.012584,13.092371,13.443945,13.668308,0,0,0,0,0
external-mode-gui-20260922T013317-205860,long_featured,VALID,authorization_to_reused_tracking_setpoint_age_ms,0,2054,2053,0,0,0,,,,,,0,0,0,0,0
external-mode-gui-20260922T013317-205860,long_featured,VALID,first_tracking_setpoint_interarrival_ms,2052,2054,2053,0,0,0,19.99999,20.095103,20.162712,20.495407,20.781414,1026,0,0,0,0
external-mode-gui-20260922T013317-205860,long_featured,VALID,runner_command_observer_interarrival_ms,2053,2054,2053,0,0,0,19.804874,57.647333,64.954871,74.674266,83.218472,783,277,77,1,0
external-mode-gui-20260922T013610-212855,occlusion_featured,INFRASTRUCTURE_INVALID,authorization_to_first_tracking_setpoint_upper_bound_ms,1892,2740,1898,0,0,0,10.12729,11.843526,11.906698,11.974145,12.001373,0,0,0,0,0
external-mode-gui-20260922T013610-212855,occlusion_featured,INFRASTRUCTURE_INVALID,authorization_to_reused_tracking_setpoint_age_ms,6,2740,1898,0,0,0,50.148673,110.210847,110.210847,,110.210847,6,4,3,2,1
external-mode-gui-20260922T013610-212855,occlusion_featured,INFRASTRUCTURE_INVALID,first_tracking_setpoint_interarrival_ms,1891,2740,1898,0,0,0,19.999021,20.110595,20.205438,1679.970973,13618.257259,940,4,4,4,4
external-mode-gui-20260922T013610-212855,occlusion_featured,INFRASTRUCTURE_INVALID,runner_command_observer_interarrival_ms,2739,2740,1898,0,0,0,19.574502,65.201999,74.813611,84.522994,120.095574,915,411,208,8,1
external-mode-gui-20260922T014008-217087,tunnel_irregular,VALID,authorization_to_first_tracking_setpoint_upper_bound_ms,2672,3298,2677,0,0,0,11.298936,11.395382,11.465743,11.832263,12.193428,0,0,0,0,0
external-mode-gui-20260922T014008-217087,tunnel_irregular,VALID,authorization_to_reused_tracking_setpoint_age_ms,5,3298,2677,0,0,0,31.337141,31.3851,31.3851,,31.3851,5,0,0,0,0
external-mode-gui-20260922T014008-217087,tunnel_irregular,VALID,first_tracking_setpoint_interarrival_ms,2671,3298,2677,0,0,0,20.000325,20.094013,20.172209,39.967439,40.030645,1342,2,0,0,0
external-mode-gui-20260922T014008-217087,tunnel_irregular,VALID,runner_command_observer_interarrival_ms,3297,3298,2677,0,0,0,18.620265,73.923265,85.007901,92.679205,98.023285,1063,498,401,83,0
external-mode-gui-20260922T014226-221089,forest_clutter,VALID,authorization_to_first_tracking_setpoint_upper_bound_ms,2778,4188,2778,0,0,0,8.837311,8.940511,9.03868,9.882363,9.977944,0,0,0,0,0
external-mode-gui-20260922T014226-221089,forest_clutter,VALID,authorization_to_reused_tracking_setpoint_age_ms,0,4188,2778,0,0,0,,,,,,0,0,0,0,0
external-mode-gui-20260922T014226-221089,forest_clutter,VALID,first_tracking_setpoint_interarrival_ms,2777,4188,2778,0,0,0,20.001638,20.099621,20.184122,21.027566,1080.026372,1420,1,1,1,1
external-mode-gui-20260922T014226-221089,forest_clutter,VALID,runner_command_observer_interarrival_ms,4187,4188,2778,0,0,0,19.773025,60.363024,69.776703,76.244887,78.368427,1518,605,226,0,0
external-mode-gui-20260922T014501-225072,long_featured,VALID,authorization_to_first_tracking_setpoint_upper_bound_ms,3954,4757,3973,0,0,0,2.081876,2.170095,2.236999,2.513575,2.546434,0,0,0,0,0
external-mode-gui-20260922T014501-225072,long_featured,VALID,authorization_to_reused_tracking_setpoint_age_ms,19,4757,3973,0,0,0,22.083431,22.164457,22.164457,,22.164457,19,0,0,0,0
external-mode-gui-20260922T014501-225072,long_featured,VALID,first_tracking_setpoint_interarrival_ms,3953,4757,3973,0,0,0,20.00048,20.085525,20.195579,40.090308,40.199303,1992,8,0,0,0
external-mode-gui-20260922T014501-225072,long_featured,VALID,runner_command_observer_interarrival_ms,4756,4757,3973,0,0,0,19.551715,60.219454,69.052311,76.781199,84.06544,1799,693,243,4,0
external-mode-gui-20260922T014758-229248,long_open,VALID,authorization_to_first_tracking_setpoint_upper_bound_ms,0,0,0,0,0,0,,,,,,0,0,0,0,0
external-mode-gui-20260922T014758-229248,long_open,VALID,authorization_to_reused_tracking_setpoint_age_ms,0,0,0,0,0,0,,,,,,0,0,0,0,0
external-mode-gui-20260922T014758-229248,long_open,VALID,first_tracking_setpoint_interarrival_ms,0,0,0,0,0,0,,,,,,0,0,0,0,0
external-mode-gui-20260922T014758-229248,long_open,VALID,runner_command_observer_interarrival_ms,0,0,0,0,0,0,,,,,,0,0,0,0,0
external-mode-gui-20260922T015008-233245,long_open_slow,VALID,authorization_to_first_tracking_setpoint_upper_bound_ms,3717,4084,3717,0,0,0,7.540697,7.697862,7.770488,8.082796,9.130851,0,0,0,0,0
external-mode-gui-20260922T015008-233245,long_open_slow,VALID,authorization_to_reused_tracking_setpoint_age_ms,0,4084,3717,0,0,0,,,,,,0,0,0,0,0
external-mode-gui-20260922T015008-233245,long_open_slow,VALID,first_tracking_setpoint_interarrival_ms,3716,4084,3717,0,0,0,20.00006,20.096138,20.189826,21.443254,12140.14834,1859,3,3,3,3
external-mode-gui-20260922T015008-233245,long_open_slow,VALID,runner_command_observer_interarrival_ms,4083,4084,3717,0,0,0,19.597126,69.152748,79.158099,91.092749,12118.897602,1367,614,434,31,2
external-mode-gui-20260922T015333-237627,long_three_pillars,VALID,authorization_to_first_tracking_setpoint_upper_bound_ms,4927,5329,4928,0,0,0,12.372228,12.482078,12.574086,13.04788,13.67712,0,0,0,0,0
external-mode-gui-20260922T015333-237627,long_three_pillars,VALID,authorization_to_reused_tracking_setpoint_age_ms,1,5329,4928,0,0,0,32.449537,32.449537,32.449537,,32.449537,1,0,0,0,0
external-mode-gui-20260922T015333-237627,long_three_pillars,VALID,first_tracking_setpoint_interarrival_ms,4926,5329,4928,0,0,0,20.000575,20.107696,20.192392,20.718794,39.971648,2482,0,0,0,0
external-mode-gui-20260922T015333-237627,long_three_pillars,VALID,runner_command_observer_interarrival_ms,5328,5329,4928,0,0,0,19.632396,63.901182,72.957649,78.946179,85.084277,1835,787,384,5,0
external-mode-gui-20260922T015649-241674,long_three_pillars_speed,VALID,authorization_to_first_tracking_setpoint_upper_bound_ms,10353,10651,10360,0,0,0,18.772688,18.943218,19.008292,19.259975,20.344572,2,0,0,0,0
external-mode-gui-20260922T015649-241674,long_three_pillars_speed,VALID,authorization_to_reused_tracking_setpoint_age_ms,7,10651,10360,0,0,0,53.221732,113.278221,113.278221,,113.278221,7,4,3,2,1
external-mode-gui-20260922T015649-241674,long_three_pillars_speed,VALID,first_tracking_setpoint_interarrival_ms,10352,10651,10360,0,0,0,19.999621,20.109011,20.184569,21.126856,9325.725428,5144,1,1,1,1
external-mode-gui-20260922T015649-241674,long_three_pillars_speed,VALID,runner_command_observer_interarrival_ms,10650,10651,10360,0,0,0,19.696884,62.481628,72.307305,82.515247,9320.203678,3755,1543,680,16,1
external-mode-gui-20260922T020310-247206,long_three_pillars_multiwaypoint,VALID,authorization_to_first_tracking_setpoint_upper_bound_ms,14560,14560,14568,0,0,0,8.02728,8.140671,8.225359,8.60745,10.423808,0,0,0,0,0
external-mode-gui-20260922T020310-247206,long_three_pillars_multiwaypoint,VALID,authorization_to_reused_tracking_setpoint_age_ms,8,14560,14568,0,0,0,28.043315,108.013083,108.013083,,108.013083,8,4,3,2,1
external-mode-gui-20260922T020310-247206,long_three_pillars_multiwaypoint,VALID,first_tracking_setpoint_interarrival_ms,14559,14560,14568,0,0,0,19.999209,20.109697,20.195729,20.63376,40.034129,7180,2,0,0,0
external-mode-gui-20260922T020310-247206,long_three_pillars_multiwaypoint,VALID,runner_command_observer_interarrival_ms,14559,14560,14568,0,0,0,19.618985,61.829915,73.200512,82.686038,95.861618,5243,2069,870,24,0
external-mode-gui-20260922T021353-252477,long_open_featured_speed,VALID,authorization_to_first_tracking_setpoint_upper_bound_ms,6925,6942,6941,0,0,0,17.131914,17.238937,17.320872,17.825348,18.25429,0,0,0,0,0
external-mode-gui-20260922T021353-252477,long_open_featured_speed,VALID,authorization_to_reused_tracking_setpoint_age_ms,16,6942,6941,0,0,0,37.135117,37.239366,37.239366,,37.239366,16,0,0,0,0
external-mode-gui-20260922T021353-252477,long_open_featured_speed,VALID,first_tracking_setpoint_interarrival_ms,6924,6942,6941,0,0,0,20.000251,20.108078,20.199788,40.026247,40.162379,3477,9,0,0,0
external-mode-gui-20260922T021353-252477,long_open_featured_speed,VALID,runner_command_observer_interarrival_ms,6941,6942,6941,0,0,0,19.429931,61.278556,70.772542,77.484339,80.835997,2443,1029,398,3,0
external-mode-gui-20260922T021832-256944,long_open_featured_core_60,VALID,authorization_to_first_tracking_setpoint_upper_bound_ms,12011,20652,12011,0,0,0,8.415677,8.952328,9.023171,9.324802,11.422008,0,0,0,0,0
external-mode-gui-20260922T021832-256944,long_open_featured_core_60,VALID,authorization_to_reused_tracking_setpoint_age_ms,0,20652,12011,0,0,0,,,,,,0,0,0,0,0
external-mode-gui-20260922T021832-256944,long_open_featured_core_60,VALID,first_tracking_setpoint_interarrival_ms,12010,20652,12011,0,0,0,20.00009,20.101879,20.19497,20.630592,178179.511233,6017,1,1,1,1
external-mode-gui-20260922T021832-256944,long_open_featured_core_60,VALID,runner_command_observer_interarrival_ms,20651,20652,12011,0,0,0,19.705533,62.397017,72.802209,82.47857,5314.997537,7159,3060,1340,43,1
