run,topic,bag_observer_wall_ns,px4_boot_us,command,nav_state,result,param1,source_system,source_component,target_system,target_component,from_external,executor_in_charge,failsafe,mission_id,waypoint_index,request_id
external-mode-check-20260923T034522-65026,/fmu/out/vehicle_status_v1,1790135144959402700,6288000,,4,,,,,,,,0,False,,,
external-mode-check-20260923T034522-65026,/fmu/out/vehicle_status_v1,1790135145139397103,6432000,,4,,,,,,,,0,False,,,
external-mode-check-20260923T034522-65026,/fmu/out/vehicle_command_ack,1790135145439241014,6672000,211,,0,,,,63,124,False,,,,,
external-mode-check-20260923T034522-65026,/fmu/out/vehicle_status_v1,1790135145769228829,6936000,,4,,,,,,,,0,False,,,
external-mode-check-20260923T034522-65026,/fmu/out/vehicle_command_ack,1790135145814173173,6972000,100001,,0,,,,1,1,False,,,,,
external-mode-check-20260923T034522-65026,/fmu/out/vehicle_status_v1,1790135145814215579,6972000,,4,,,,,,,,0,False,,,
external-mode-check-20260923T034522-65026,/fmu/out/vehicle_status_v1,1790135146025015856,6984000,,26,,,,,,,,1,False,,,
external-mode-check-20260923T034522-65026,/fmu/out/vehicle_command_ack,1790135146069178961,7176000,400,,0,,,,1,1,False,,,,,
external-mode-check-20260923T034522-65026,/fmu/out/vehicle_status_v1,1790135146274532743,7176000,,26,,,,,,,,1,False,,,
external-mode-check-20260923T034522-65026,/fmu/in/vehicle_command_mode_executor,1790135146275518072,0,100001,,,26.0,0,1001,0,0,False,,,,,
external-mode-check-20260923T034522-65026,/fmu/out/vehicle_command_ack,1790135146294181860,7356000,100001,,0,,,,1,1001,False,,,,,
external-mode-check-20260923T034522-65026,/navigation/mode_status,1790135146294743941,,,,,,,,,,,,,external_mode_pillar_route,0,0
external-mode-check-20260923T034522-65026,/fmu/out/vehicle_command_ack,1790135146444161240,7476000,100001,,0,,,,1,1,False,,,,,
external-mode-check-20260923T034522-65026,/fmu/out/vehicle_status_v1,1790135146525106576,7488000,,4,,,,,,,,0,False,,,
external-mode-check-20260923T034522-65026,/navigation/mode_status,1790135146525295523,,,,,,,,,,,,,external_mode_pillar_route,0,0
external-mode-check-20260923T034522-65026,/fmu/out/vehicle_status_v1,1790135147089332603,7992000,,4,,,,,,,,0,False,,,
external-mode-check-20260923T034522-65026,/fmu/in/vehicle_command,1790135147352628421,8200000,22,,,nan,1,1,1,1,True,,,,,
external-mode-check-20260923T034522-65026,/fmu/out/vehicle_command_ack,1790135147359162807,8208000,22,,0,,,,1,1,False,,,,,
external-mode-check-20260923T034522-65026,/fmu/out/vehicle_status_v1,1790135147359167403,8208000,,4,,,,,,,,0,False,,,
external-mode-check-20260923T034522-65026,/fmu/out/vehicle_status_v1,1790135147374334456,8220000,,17,,,,,,,,0,False,,,
external-mode-check-20260923T034522-65026,/fmu/out/vehicle_status_v1,1790135148004124369,8724000,,17,,,,,,,,0,False,,,
external-mode-check-20260923T034522-65026,/fmu/out/vehicle_status_v1,1790135148634170854,9228000,,17,,,,,,,,0,False,,,
external-mode-check-20260923T034522-65026,/fmu/out/vehicle_status_v1,1790135149264265777,9732000,,17,,,,,,,,0,False,,,
external-mode-check-20260923T034522-65026,/fmu/out/vehicle_status_v1,1790135149384232150,9828000,,17,,,,,,,,0,False,,,
external-mode-check-20260923T034522-65026,/fmu/out/vehicle_status_v1,1790135150014238381,10332000,,17,,,,,,,,0,False,,,
external-mode-check-20260923T034522-65026,/fmu/out/vehicle_status_v1,1790135150644153779,10836000,,17,,,,,,,,0,False,,,
external-mode-check-20260923T034522-65026,/fmu/out/vehicle_status_v1,1790135151274348584,11340000,,17,,,,,,,,0,False,,,
external-mode-check-20260923T034522-65026,/fmu/out/vehicle_status_v1,1790135151904530776,11844000,,17,,,,,,,,0,False,,,
external-mode-check-20260923T034522-65026,/fmu/out/vehicle_status_v1,1790135152534206453,12348000,,17,,,,,,,,0,False,,,
external-mode-check-20260923T034522-65026,/fmu/out/vehicle_status_v1,1790135153164189884,12852000,,17,,,,,,,,0,False,,,
external-mode-check-20260923T034522-65026,/fmu/out/vehicle_status_v1,1790135153794191364,13356000,,17,,,,,,,,0,False,,,
external-mode-check-20260923T034522-65026,/fmu/out/vehicle_status_v1,1790135154424261180,13860000,,17,,,,,,,,0,False,,,
external-mode-check-20260923T034522-65026,/fmu/out/vehicle_status_v1,1790135155054176776,14364000,,17,,,,,,,,0,False,,,
external-mode-check-20260923T034522-65026,/fmu/out/vehicle_status_v1,1790135155684183747,14868000,,17,,,,,,,,0,False,,,
external-mode-check-20260923T034522-65026,/fmu/out/mode_completed,1790135155879593822,15024000,,17,0,,,,,,,,,,,
external-mode-check-20260923T034522-65026,/fmu/out/vehicle_status_v1,1790135155894320642,15036000,,4,,,,,,,,0,False,,,
external-mode-check-20260923T034522-65026,/fmu/out/vehicle_status_v1,1790135156524156142,15540000,,4,,,,,,,,0,False,,,
external-mode-check-20260923T034522-65026,/fmu/out/vehicle_status_v1,1790135157154168037,16044000,,4,,,,,,,,0,False,,,
external-mode-check-20260923T034522-65026,/fmu/out/vehicle_status_v1,1790135157784225448,16548000,,4,,,,,,,,0,False,,,
external-mode-check-20260923T034522-65026,/fmu/out/vehicle_status_v1,1790135158414105230,17052000,,4,,,,,,,,0,False,,,
external-mode-check-20260923T034522-65026,/fmu/out/vehicle_status_v1,1790135159044141441,17556000,,4,,,,,,,,0,False,,,
external-mode-check-20260923T034522-65026,/fmu/out/vehicle_status_v1,1790135159674103119,18060000,,4,,,,,,,,0,False,,,
external-mode-check-20260923T034522-65026,/fmu/out/vehicle_status_v1,1790135160304153997,18564000,,4,,,,,,,,0,False,,,
external-mode-check-20260923T034522-65026,/fmu/out/vehicle_status_v1,1790135160934150746,19068000,,4,,,,,,,,0,False,,,
external-mode-check-20260923T034522-65026,/fmu/in/vehicle_command,1790135160952605216,19080000,100001,,,26.0,1,1,1,1,True,,,,,
external-mode-check-20260923T034522-65026,/fmu/out/vehicle_command_ack,1790135160964106902,19092000,100001,,0,,,,1,1,False,,,,,
external-mode-check-20260923T034522-65026,/fmu/out/vehicle_status_v1,1790135160964118550,19092000,,4,,,,,,,,0,False,,,
external-mode-check-20260923T034522-65026,/fmu/out/vehicle_status_v1,1790135161189515418,19104000,,26,,,,,,,,1,False,,,
