run,profile,infrastructure,run_verdict,metric,clock_domain,scope,n,min,p50,p95,p99,p999,max,mean,over_100_ms
external-mode-check-20260922T012707-197705,structured_obstacle,VALID,BLOCKED,COUNTER_LAST_world_freshness_command_recovery_count,counter,last observed cumulative counter,125,,,,,,0.0,,
external-mode-check-20260922T012707-197705,structured_obstacle,VALID,BLOCKED,COUNTER_LAST_world_freshness_command_suspend_count,counter,last observed cumulative counter,125,,,,,,0.0,,
external-mode-check-20260922T012707-197705,structured_obstacle,VALID,BLOCKED,active_revalidation_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,125,0.001,0.931,1.85,2.39,,2.748,0.916256,
external-mode-check-20260922T012707-197705,structured_obstacle,VALID,BLOCKED,mapping_callback_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,354,11.959,24.838,35.852000000000004,42.758,,134.907,26.406186440677967,
external-mode-check-20260922T012707-197705,structured_obstacle,VALID,BLOCKED,mapping_snapshot_export_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,354,5.83,8.167,11.932,13.411,,20.276,8.65443220338983,
external-mode-check-20260922T012707-197705,structured_obstacle,VALID,BLOCKED,pending_revalidation_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,125,0.0,0.0,0.0,0.0,,1.588,0.012704,
external-mode-gui-20260922T013029-201643,long_featured,VALID,FAIL,COUNTER_LAST_world_freshness_command_recovery_count,counter,last observed cumulative counter,463,,,,,,0.0,,
external-mode-gui-20260922T013029-201643,long_featured,VALID,FAIL,COUNTER_LAST_world_freshness_command_suspend_count,counter,last observed cumulative counter,463,,,,,,0.0,,
external-mode-gui-20260922T013029-201643,long_featured,VALID,FAIL,active_revalidation_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,463,0.002,1.0050000000000001,1.891,2.578,,3.608,1.0468185745140388,
external-mode-gui-20260922T013029-201643,long_featured,VALID,FAIL,mapping_callback_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,652,17.878,60.475,78.193,88.412,,97.949,59.2881763803681,
external-mode-gui-20260922T013029-201643,long_featured,VALID,FAIL,mapping_snapshot_export_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,652,6.774,11.335,14.557,17.024,,18.56,11.538499999999999,
external-mode-gui-20260922T013029-201643,long_featured,VALID,FAIL,pending_revalidation_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,463,0.0,0.0,0.0,1.616,,2.497,0.045058315334773225,
external-mode-gui-20260922T013317-205860,long_featured,VALID,FAIL,COUNTER_LAST_world_freshness_command_recovery_count,counter,last observed cumulative counter,379,,,,,,0.0,,
external-mode-gui-20260922T013317-205860,long_featured,VALID,FAIL,COUNTER_LAST_world_freshness_command_suspend_count,counter,last observed cumulative counter,379,,,,,,0.0,,
external-mode-gui-20260922T013317-205860,long_featured,VALID,FAIL,active_revalidation_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,379,0.001,0.991,1.966,2.484,,4.0360000000000005,1.0712849604221635,
external-mode-gui-20260922T013317-205860,long_featured,VALID,FAIL,mapping_callback_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,465,18.496,59.179,76.297,86.622,,102.376,57.181455913978496,
external-mode-gui-20260922T013317-205860,long_featured,VALID,FAIL,mapping_snapshot_export_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,465,7.156000000000001,11.434000000000001,14.884,16.594,,17.098,11.5825311827957,
external-mode-gui-20260922T013317-205860,long_featured,VALID,FAIL,pending_revalidation_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,379,0.0,0.0,0.0,1.548,,2.575,0.05113456464379947,
external-mode-gui-20260922T013610-212855,occlusion_featured,INFRASTRUCTURE_INVALID,BLOCKED,COUNTER_LAST_world_freshness_command_recovery_count,counter,last observed cumulative counter,531,,,,,,0.0,,
external-mode-gui-20260922T013610-212855,occlusion_featured,INFRASTRUCTURE_INVALID,BLOCKED,COUNTER_LAST_world_freshness_command_suspend_count,counter,last observed cumulative counter,531,,,,,,0.0,,
external-mode-gui-20260922T013610-212855,occlusion_featured,INFRASTRUCTURE_INVALID,BLOCKED,active_revalidation_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,531,0.001,0.657,1.992,2.853,,5.037,0.7122316384180791,
external-mode-gui-20260922T013610-212855,occlusion_featured,INFRASTRUCTURE_INVALID,BLOCKED,mapping_callback_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,1107,13.383000000000001,32.018,41.423,46.353,72.815,98.793,32.54086178861789,
external-mode-gui-20260922T013610-212855,occlusion_featured,INFRASTRUCTURE_INVALID,BLOCKED,mapping_snapshot_export_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,1107,6.1450000000000005,11.455,15.303,16.781,18.267,18.536,11.629022583559168,
external-mode-gui-20260922T013610-212855,occlusion_featured,INFRASTRUCTURE_INVALID,BLOCKED,pending_revalidation_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,531,0.0,0.0,0.0,0.001,,2.652,0.013800376647834275,
external-mode-gui-20260922T014008-217087,tunnel_irregular,VALID,FAIL,COUNTER_LAST_world_freshness_command_recovery_count,counter,last observed cumulative counter,545,,,,,,0.0,,
external-mode-gui-20260922T014008-217087,tunnel_irregular,VALID,FAIL,COUNTER_LAST_world_freshness_command_suspend_count,counter,last observed cumulative counter,545,,,,,,0.0,,
external-mode-gui-20260922T014008-217087,tunnel_irregular,VALID,FAIL,active_revalidation_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,545,0.003,1.564,3.302,4.494,,5.264,1.641267889908257,
