Field,Semantic cluster,Mapping confidence,Prior disposition,Source,Note
NavigationRuntimeNode.data_freshness_window_s_,TimingConfiguration,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:394,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.data_freshness_window_ns_,TimingConfiguration,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:395,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.command_stream_timeout_ns_,TimingConfiguration,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:396,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.planner_watchdog_timeout_s_,TimingConfiguration,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:397,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.planner_watchdog_timeout_ns_,TimingConfiguration,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:398,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.dynamics_hash_,DynamicsIdentity,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:409,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.mission_dynamic_limits_,DynamicsIdentity,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:410,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.execution_state_store_,MeasuredStateHistory,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:434,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.execution_episode_,ActiveExecutionIdentity,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:435,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.active_goal_,DesiredMissionIntent,LEXICAL_TENTATIVE,KEEP,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:436,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.mission_start_position_world_,RouteGeometry,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:440,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.mission_start_mission_id_,RouteGeometry,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:441,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.mission_start_route_revision_,RouteGeometry,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:442,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.mission_start_localization_epoch_,RouteGeometry,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:443,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.executing_goal_,ActiveExecutionIdentity,LEXICAL_TENTATIVE,KEEP,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:447,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.pending_goal_owner_,DesiredMissionIntent,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:450,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.deferred_terminal_status_,ExecutionSafetyDisposition,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:453,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.foreign_mission_hold_after_stop_,ExecutionSafetyDisposition,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:457,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.foreign_mission_cancel_pending_,ExecutionSafetyDisposition,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:458,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.foreign_cancel_target_epoch_,ExecutionSafetyDisposition,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:459,Cluster is not a field disposition or D_f proof
