field,type,source,preliminary_class,consumer_proof,split_action
header,std_msgs/Header,src/contracts/navigation_contracts/msg/NavigationCommand.msg:1,CONTROL_REQUIRED,schema and selected adapter paths; full consumer map pending,KEEP pending consumer audit
localization_epoch,uint64,src/contracts/navigation_contracts/msg/NavigationCommand.msg:3,SAFETY_ADMISSION_REQUIRED,schema and selected adapter paths; full consumer map pending,KEEP pending consumer audit
goal_epoch,uint64,src/contracts/navigation_contracts/msg/NavigationCommand.msg:4,PROVENANCE_REQUIRED,schema and selected adapter paths; full consumer map pending,KEEP pending consumer audit
mission_id,string,src/contracts/navigation_contracts/msg/NavigationCommand.msg:5,PROVENANCE_REQUIRED,schema and selected adapter paths; full consumer map pending,KEEP pending consumer audit
waypoint_index,uint32,src/contracts/navigation_contracts/msg/NavigationCommand.msg:6,PROVENANCE_REQUIRED,schema and selected adapter paths; full consumer map pending,KEEP pending consumer audit
request_id,uint64,src/contracts/navigation_contracts/msg/NavigationCommand.msg:7,PROVENANCE_REQUIRED,schema and selected adapter paths; full consumer map pending,KEEP pending consumer audit
world_generation,uint64,src/contracts/navigation_contracts/msg/NavigationCommand.msg:9,SAFETY_ADMISSION_REQUIRED,schema and selected adapter paths; full consumer map pending,KEEP pending consumer audit
world_revision,uint64,src/contracts/navigation_contracts/msg/NavigationCommand.msg:10,SAFETY_ADMISSION_REQUIRED,schema and selected adapter paths; full consumer map pending,KEEP pending consumer audit
world_observation_stamp,builtin_interfaces/Time,src/contracts/navigation_contracts/msg/NavigationCommand.msg:11,SAFETY_ADMISSION_REQUIRED,schema and selected adapter paths; full consumer map pending,KEEP pending consumer audit
bundle_generation,uint64,src/contracts/navigation_contracts/msg/NavigationCommand.msg:13,SAFETY_ADMISSION_REQUIRED,schema and selected adapter paths; full consumer map pending,KEEP pending consumer audit
certified_main_continuation,bool,src/contracts/navigation_contracts/msg/NavigationCommand.msg:16,SAFETY_ADMISSION_REQUIRED,schema and selected adapter paths; full consumer map pending,KEEP pending consumer audit
continuation_boundary_stamp_ns,uint64,src/contracts/navigation_contracts/msg/NavigationCommand.msg:17,SAFETY_ADMISSION_REQUIRED,schema and selected adapter paths; full consumer map pending,KEEP pending consumer audit
sample_id,uint64,src/contracts/navigation_contracts/msg/NavigationCommand.msg:18,SAFETY_ADMISSION_REQUIRED,schema and selected adapter paths; full consumer map pending,KEEP pending consumer audit
state_source_stamp,builtin_interfaces/Time,src/contracts/navigation_contracts/msg/NavigationCommand.msg:22,SAFETY_ADMISSION_REQUIRED,schema and selected adapter paths; full consumer map pending,KEEP pending consumer audit
valid_until,builtin_interfaces/Time,src/contracts/navigation_contracts/msg/NavigationCommand.msg:23,SAFETY_ADMISSION_REQUIRED,schema and selected adapter paths; full consumer map pending,KEEP pending consumer audit
role,uint8,src/contracts/navigation_contracts/msg/NavigationCommand.msg:28,SAFETY_ADMISSION_REQUIRED,schema and selected adapter paths; full consumer map pending,KEEP pending consumer audit
status,uint8,src/contracts/navigation_contracts/msg/NavigationCommand.msg:36,SAFETY_ADMISSION_REQUIRED,schema and selected adapter paths; full consumer map pending,KEEP pending consumer audit
reason_code,uint16,src/contracts/navigation_contracts/msg/NavigationCommand.msg:38,DIAGNOSTIC_ONLY,schema and selected adapter paths; full consumer map pending,KEEP pending consumer audit
position,geometry_msgs/Point,src/contracts/navigation_contracts/msg/NavigationCommand.msg:40,CONTROL_REQUIRED,schema and selected adapter paths; full consumer map pending,KEEP pending consumer audit
velocity,geometry_msgs/Vector3,src/contracts/navigation_contracts/msg/NavigationCommand.msg:41,CONTROL_REQUIRED,schema and selected adapter paths; full consumer map pending,KEEP pending consumer audit
acceleration,geometry_msgs/Vector3,src/contracts/navigation_contracts/msg/NavigationCommand.msg:42,CONTROL_REQUIRED,schema and selected adapter paths; full consumer map pending,KEEP pending consumer audit
jerk,geometry_msgs/Vector3,src/contracts/navigation_contracts/msg/NavigationCommand.msg:43,SAFETY_ADMISSION_REQUIRED,schema and selected adapter paths; full consumer map pending,KEEP pending consumer audit
yaw,float64,src/contracts/navigation_contracts/msg/NavigationCommand.msg:45,CONTROL_REQUIRED,schema and selected adapter paths; full consumer map pending,KEEP pending consumer audit
yaw_rate,float64,src/contracts/navigation_contracts/msg/NavigationCommand.msg:46,CONTROL_REQUIRED,schema and selected adapter paths; full consumer map pending,KEEP pending consumer audit
trajectory_time_s,float64,src/contracts/navigation_contracts/msg/NavigationCommand.msg:47,PROVENANCE_REQUIRED,schema and selected adapter paths; full consumer map pending,KEEP pending consumer audit
analytic_sample_role,uint8,src/contracts/navigation_contracts/msg/NavigationCommand.msg:53,DIAGNOSTIC_ONLY,schema comment; all consumers unverified,TRACE candidate; do not remove before consumer audit
backup_available,bool,src/contracts/navigation_contracts/msg/NavigationCommand.msg:54,DIAGNOSTIC_ONLY,schema comment; all consumers unverified,TRACE candidate; do not remove before consumer audit
backup_start_time_s,float64,src/contracts/navigation_contracts/msg/NavigationCommand.msg:55,DIAGNOSTIC_ONLY,schema comment; all consumers unverified,TRACE candidate; do not remove before consumer audit
time_to_backup_start_s,float64,src/contracts/navigation_contracts/msg/NavigationCommand.msg:56,DIAGNOSTIC_ONLY,schema comment; all consumers unverified,TRACE candidate; do not remove before consumer audit
safety_suffix_active,bool,src/contracts/navigation_contracts/msg/NavigationCommand.msg:57,DIAGNOSTIC_ONLY,schema comment; all consumers unverified,TRACE candidate; do not remove before consumer audit
execution_recovery_state,uint8,src/contracts/navigation_contracts/msg/NavigationCommand.msg:58,DIAGNOSTIC_ONLY,schema comment; all consumers unverified,TRACE candidate; do not remove before consumer audit
anchor_error_m,float64,src/contracts/navigation_contracts/msg/NavigationCommand.msg:59,DIAGNOSTIC_ONLY,schema comment; all consumers unverified,TRACE candidate; do not remove before consumer audit
projected_anchor_error_m,float64,src/contracts/navigation_contracts/msg/NavigationCommand.msg:60,DIAGNOSTIC_ONLY,schema comment; all consumers unverified,TRACE candidate; do not remove before consumer audit
retained_tracking_limit_m,float64,src/contracts/navigation_contracts/msg/NavigationCommand.msg:61,DIAGNOSTIC_ONLY,schema comment; all consumers unverified,TRACE candidate; do not remove before consumer audit
relative_anchor_speed_mps,float64,src/contracts/navigation_contracts/msg/NavigationCommand.msg:62,DIAGNOSTIC_ONLY,schema comment; all consumers unverified,TRACE candidate; do not remove before consumer audit
committed_suffix_usable,bool,src/contracts/navigation_contracts/msg/NavigationCommand.msg:63,DIAGNOSTIC_ONLY,schema comment; all consumers unverified,TRACE candidate; do not remove before consumer audit
sampled_path_clear,bool,src/contracts/navigation_contracts/msg/NavigationCommand.msg:64,DIAGNOSTIC_ONLY,schema comment; all consumers unverified,TRACE candidate; do not remove before consumer audit
tracking_certificate_exceeded,bool,src/contracts/navigation_contracts/msg/NavigationCommand.msg:65,DIAGNOSTIC_ONLY,schema comment; all consumers unverified,TRACE candidate; do not remove before consumer audit
projected_tracking_certificate_exceeded,bool,src/contracts/navigation_contracts/msg/NavigationCommand.msg:66,DIAGNOSTIC_ONLY,schema comment; all consumers unverified,TRACE candidate; do not remove before consumer audit
emergency_authorization_reason,uint8,src/contracts/navigation_contracts/msg/NavigationCommand.msg:73,DIAGNOSTIC_ONLY,schema comment; all consumers unverified,TRACE candidate; do not remove before consumer audit
causal_planning_cycle_id,uint64,src/contracts/navigation_contracts/msg/NavigationCommand.msg:74,DIAGNOSTIC_ONLY,schema comment; all consumers unverified,TRACE candidate; do not remove before consumer audit
causal_timestamp_ns,uint64,src/contracts/navigation_contracts/msg/NavigationCommand.msg:75,DIAGNOSTIC_ONLY,schema comment; all consumers unverified,TRACE candidate; do not remove before consumer audit
emergency_candidate_commit_result,uint8,src/contracts/navigation_contracts/msg/NavigationCommand.msg:76,DIAGNOSTIC_ONLY,schema comment; all consumers unverified,TRACE candidate; do not remove before consumer audit
execution_authorization,uint8,src/contracts/navigation_contracts/msg/NavigationCommand.msg:84,PROVENANCE_REQUIRED,schema comment; all consumers unverified,TRACE candidate; do not remove before consumer audit
execution_authorization_steady_ns,uint64,src/contracts/navigation_contracts/msg/NavigationCommand.msg:85,PROVENANCE_REQUIRED,schema comment; all consumers unverified,TRACE candidate; do not remove before consumer audit
evaluation_now_ns,uint64,src/contracts/navigation_contracts/msg/NavigationCommand.msg:89,DIAGNOSTIC_ONLY,schema comment; all consumers unverified,TRACE candidate; do not remove before consumer audit
execution_state_source_stamp_ns,uint64,src/contracts/navigation_contracts/msg/NavigationCommand.msg:90,DIAGNOSTIC_ONLY,schema comment; all consumers unverified,TRACE candidate; do not remove before consumer audit
execution_state_receive_stamp_ns,uint64,src/contracts/navigation_contracts/msg/NavigationCommand.msg:91,DIAGNOSTIC_ONLY,schema comment; all consumers unverified,TRACE candidate; do not remove before consumer audit
execution_state_source_age_ms,float64,src/contracts/navigation_contracts/msg/NavigationCommand.msg:92,DIAGNOSTIC_ONLY,schema comment; all consumers unverified,TRACE candidate; do not remove before consumer audit
execution_state_receive_age_ms,float64,src/contracts/navigation_contracts/msg/NavigationCommand.msg:93,DIAGNOSTIC_ONLY,schema comment; all consumers unverified,TRACE candidate; do not remove before consumer audit
committed_bundle_start_stamp_ns,uint64,src/contracts/navigation_contracts/msg/NavigationCommand.msg:94,DIAGNOSTIC_ONLY,schema comment; all consumers unverified,TRACE candidate; do not remove before consumer audit
measured_position_at_state_source,geometry_msgs/Point,src/contracts/navigation_contracts/msg/NavigationCommand.msg:95,DIAGNOSTIC_ONLY,schema comment; all consumers unverified,TRACE candidate; do not remove before consumer audit
measured_velocity_at_state_source,geometry_msgs/Vector3,src/contracts/navigation_contracts/msg/NavigationCommand.msg:96,DIAGNOSTIC_ONLY,schema comment; all consumers unverified,TRACE candidate; do not remove before consumer audit
committed_command_position_at_now,geometry_msgs/Point,src/contracts/navigation_contracts/msg/NavigationCommand.msg:97,DIAGNOSTIC_ONLY,schema comment; all consumers unverified,TRACE candidate; do not remove before consumer audit
committed_command_velocity_at_now,geometry_msgs/Vector3,src/contracts/navigation_contracts/msg/NavigationCommand.msg:98,DIAGNOSTIC_ONLY,schema comment; all consumers unverified,TRACE candidate; do not remove before consumer audit
committed_command_position_at_state_source,geometry_msgs/Point,src/contracts/navigation_contracts/msg/NavigationCommand.msg:99,DIAGNOSTIC_ONLY,schema comment; all consumers unverified,TRACE candidate; do not remove before consumer audit
committed_command_velocity_at_state_source,geometry_msgs/Vector3,src/contracts/navigation_contracts/msg/NavigationCommand.msg:100,DIAGNOSTIC_ONLY,schema comment; all consumers unverified,TRACE candidate; do not remove before consumer audit
anchor_error_raw_m,float64,src/contracts/navigation_contracts/msg/NavigationCommand.msg:101,DIAGNOSTIC_ONLY,schema comment; all consumers unverified,TRACE candidate; do not remove before consumer audit
anchor_error_time_aligned_m,float64,src/contracts/navigation_contracts/msg/NavigationCommand.msg:102,DIAGNOSTIC_ONLY,schema comment; all consumers unverified,TRACE candidate; do not remove before consumer audit
command_motion_over_state_age_m,float64,src/contracts/navigation_contracts/msg/NavigationCommand.msg:103,DIAGNOSTIC_ONLY,schema comment; all consumers unverified,TRACE candidate; do not remove before consumer audit
velocity_residual_time_aligned_mps,float64,src/contracts/navigation_contracts/msg/NavigationCommand.msg:104,DIAGNOSTIC_ONLY,schema comment; all consumers unverified,TRACE candidate; do not remove before consumer audit
retained_elapsed_s,float64,src/contracts/navigation_contracts/msg/NavigationCommand.msg:105,DIAGNOSTIC_ONLY,schema comment; all consumers unverified,TRACE candidate; do not remove before consumer audit
committed_bundle_duration_s,float64,src/contracts/navigation_contracts/msg/NavigationCommand.msg:106,DIAGNOSTIC_ONLY,schema comment; all consumers unverified,TRACE candidate; do not remove before consumer audit
committed_safety_transition_time_s,float64,src/contracts/navigation_contracts/msg/NavigationCommand.msg:107,DIAGNOSTIC_ONLY,schema comment; all consumers unverified,TRACE candidate; do not remove before consumer audit
