Field,Current owner,Semantic meaning,Writer(s),Reader(s),Lifetime,Invalidation,Independent info?,Can derive?,Target action,Target owner,Replacement,Equivalence evidence,Category,Type,Source,Blob
NavigationRuntimeNode.data_freshness_window_s_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,double,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:394,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.data_freshness_window_ns_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::int64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:395,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.command_stream_timeout_ns_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::int64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:396,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.planner_watchdog_timeout_s_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,double,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:397,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.planner_watchdog_timeout_ns_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::int64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:398,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.dynamics_hash_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::uint64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:409,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.mission_dynamic_limits_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,navigation_planning::DynamicLimits,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:410,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.execution_state_store_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,navigation_execution::ExecutionStateStore,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:434,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.execution_episode_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,ExecutionEpisode,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:435,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.active_goal_,NavigationRuntimeNode,desired goal,goal/reset callbacks,planning key/admission/command guard,desired goal,new goal/reset,yes: desired intent,no,KEEP,MissionIntent,desired goal,navigation_runtime_node.hpp:429-463; .cpp:3006-3015; target equivalence pending,behavioral candidate,std::optional<navigation_contracts::msg::NavigationGoal>,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:436,bcd4235d7abe5dcef8730a751760b130f745cac2
