branch,commit,classification,old_intent,current_equivalent,evidence,action
origin/codex/as-is-architecture-audit-20260920,,AUDIT_ARCHIVAL_ONLY,Unique delta contains artifacts/docs paths only.,,head=f2bd3f46f9936d622377ea4761f733f988273b66; merge_base=9534d8dc15920c8b3e80c8fa12f28ec972b8c6a2; candidate_ahead=79; branch_ahead=2; ancestor=no,See branch note.
origin/codex/audit-claim-validation,,AUDIT_ARCHIVAL_ONLY,Unique delta contains artifacts/docs paths only.,,head=f2ed429bef80b2c7a2964b3b32d3c00e8089e55f; merge_base=8eaab3d33db36e9e636ad4005ed91b8f055f4d68; candidate_ahead=78; branch_ahead=1; ancestor=no,See branch note.
origin/codex/audit-runtime-evidence-closure-20260923,,AUDIT_ARCHIVAL_ONLY,Unique delta contains artifacts/docs paths only.,,head=8334e1f1c3c3064d63d5f136d43fcfe218514540; merge_base=7da3e97cb399c2e39d62cfe60213a45e8a92300e; candidate_ahead=77; branch_ahead=4; ancestor=no,See branch note.
origin/codex/audit-runtime-observability-20260923,,AUDIT_ARCHIVAL_ONLY,Unique delta contains artifacts/docs paths only.,,head=84abeeb2ae379b7483e32520c68043337de71312; merge_base=7da3e97cb399c2e39d62cfe60213a45e8a92300e; candidate_ahead=77; branch_ahead=5; ancestor=no,See branch note.
origin/codex/audit-semantic-closure-20260923,,AUDIT_ARCHIVAL_ONLY,Unique delta contains artifacts/docs paths only.,,head=c9ab99e20e78d92dc4cd04be25a9f623915e0296; merge_base=7da3e97cb399c2e39d62cfe60213a45e8a92300e; candidate_ahead=77; branch_ahead=3; ancestor=no,See branch note.
origin/codex/audit-state-authority-conservation-20260923,,AUDIT_ARCHIVAL_ONLY,Unique delta contains artifacts/docs paths only.,,head=02ed671a47cb701e02f554a7d2949f9892ec704c; merge_base=7da3e97cb399c2e39d62cfe60213a45e8a92300e; candidate_ahead=77; branch_ahead=2; ancestor=no,See branch note.
origin/codex/audit-state-contracts-20260921T013409Z-8eaab3d3,,AUDIT_ARCHIVAL_ONLY,Unique delta contains artifacts/docs paths only.,,head=6ff508217778aa42e60e208d4dd0a49785a4fae6; merge_base=8eaab3d33db36e9e636ad4005ed91b8f055f4d68; candidate_ahead=78; branch_ahead=2; ancestor=no,See branch note.
origin/codex/close-findings-followup,,CANONICAL_ANCESTOR,Head is an ancestor of pinned candidate.,,head=9534d8dc15920c8b3e80c8fa12f28ec972b8c6a2; merge_base=9534d8dc15920c8b3e80c8fa12f28ec972b8c6a2; candidate_ahead=79; branch_ahead=0; ancestor=yes,See branch note.
origin/codex/close-proven-findings,,CANONICAL_ANCESTOR,Head is an ancestor of pinned candidate.,,head=7da3e97cb399c2e39d62cfe60213a45e8a92300e; merge_base=7da3e97cb399c2e39d62cfe60213a45e8a92300e; candidate_ahead=77; branch_ahead=0; ancestor=yes,See branch note.
origin/codex/evidence-exact-planner-failure-status-20260924,,CANONICAL_ANCESTOR,Head is an ancestor of pinned candidate.,,head=2b9279b42f3dce0d2565e4ef008852b018baf99f; merge_base=2b9279b42f3dce0d2565e4ef008852b018baf99f; candidate_ahead=44; branch_ahead=0; ancestor=yes,See branch note.
origin/codex/experiment-runtime-observability-instrumentation-20260923,,EXPERIMENT_ONLY,Diagnostic experiment; do not merge as product branch.,,head=d926013eff4d46af9756427dd53a8028710f2765; merge_base=7da3e97cb399c2e39d62cfe60213a45e8a92300e; candidate_ahead=77; branch_ahead=8; ancestor=no,See branch note.
origin/codex/major-runtime-boundary-hardening-20260924,,CANONICAL_ANCESTOR,Head is an ancestor of pinned candidate.,,head=4d184896e6c2680311ef246bd2cde61bc4ee2e88; merge_base=4d184896e6c2680311ef246bd2cde61bc4ee2e88; candidate_ahead=38; branch_ahead=0; ancestor=yes,See branch note.
origin/codex/migrate-core-mission-progress-20260923,,CANONICAL_ANCESTOR,Head is an ancestor of pinned candidate.,,head=db5880a05ffbb82f3f528bc18934af0cb0390bab; merge_base=db5880a05ffbb82f3f528bc18934af0cb0390bab; candidate_ahead=71; branch_ahead=0; ancestor=yes,See branch note.
origin/codex/post-evidence-policy-decisions-20260924,,CANONICAL_ANCESTOR,Head is an ancestor of pinned candidate.,,head=c422b8485a372e5b3a792682ef0773784b6cf1c4; merge_base=c422b8485a372e5b3a792682ef0773784b6cf1c4; candidate_ahead=9; branch_ahead=0; ancestor=yes,See branch note.
origin/codex/qualification-evidence-contract-closure-20260924,,CANONICAL_ANCESTOR,Head is an ancestor of pinned candidate.,,head=b39661ae16036ae6199077a03736ece81e79d4d1; merge_base=b39661ae16036ae6199077a03736ece81e79d4d1; candidate_ahead=11; branch_ahead=0; ancestor=yes,See branch note.
origin/codex/qualification-gate-recovery-state-transport-20260924,,CANONICAL_ANCESTOR,Head is an ancestor of pinned candidate.,,head=dee89a7ee7fff0199e2ca02b3b1166b9c8285fdb; merge_base=dee89a7ee7fff0199e2ca02b3b1166b9c8285fdb; candidate_ahead=25; branch_ahead=0; ancestor=yes,See branch note.
