session,source_head,old_request,new_request,admission_gap_ms,core_command_gap_ms,nearest_px4_setpoint_gap_ms
external-mode-check-20260923T151450-509084,473b2121817b2ba248c0c6eb40f9cfed89a3c2d3,1,2,19.98306,20.00243,19.996759
external-mode-check-20260923T151450-509084,473b2121817b2ba248c0c6eb40f9cfed89a3c2d3,2,3,19.95845,19.952151,20.001373
external-mode-check-20260923T151450-509084,473b2121817b2ba248c0c6eb40f9cfed89a3c2d3,3,4,19.971042,20.000779,19.994377
external-mode-check-20260923T151450-509084,473b2121817b2ba248c0c6eb40f9cfed89a3c2d3,4,5,19.972818,20.024894,19.971271
external-mode-check-20260923T151832-512307,473b2121817b2ba248c0c6eb40f9cfed89a3c2d3,1,2,20.035192,20.038886,19.961125
external-mode-check-20260923T151832-512307,473b2121817b2ba248c0c6eb40f9cfed89a3c2d3,2,3,20.106586,20.117125,19.997425
external-mode-check-20260923T151832-512307,473b2121817b2ba248c0c6eb40f9cfed89a3c2d3,3,4,20.059793,20.051351,20.002661
external-mode-check-20260923T151832-512307,473b2121817b2ba248c0c6eb40f9cfed89a3c2d3,4,5,20.052126,20.053741,20.081767
external-mode-check-20260923T152036-515456,473b2121817b2ba248c0c6eb40f9cfed89a3c2d3,1,2,20.084301,20.03058,20.024702
external-mode-check-20260923T152036-515456,473b2121817b2ba248c0c6eb40f9cfed89a3c2d3,2,3,20.052677,20.020568,20.073486
external-mode-check-20260923T152036-515456,473b2121817b2ba248c0c6eb40f9cfed89a3c2d3,3,4,20.086417,20.121528,20.023054
external-mode-check-20260923T152036-515456,473b2121817b2ba248c0c6eb40f9cfed89a3c2d3,4,5,20.169289,20.127862,20.094684
