source,session,old_request,new_request,adapter_admission_gap_ms,core_command_gap_ms,nearest_recorded_px4_setpoint_gap_ms
cut,external-mode-check-20260923T134651-412471,1,2,19.893638,20.003442,20.00853
cut,external-mode-check-20260923T134651-412471,2,3,19.973872,19.925822,19.993922
cut,external-mode-check-20260923T134651-412471,3,4,20.025743,20.025361,20.046218
cut,external-mode-check-20260923T134651-412471,4,5,20.026471,20.087856,20.001129
cut,external-mode-check-20260923T134910-415618,1,2,20.033971,20.035614,20.008649
cut,external-mode-check-20260923T134910-415618,2,3,20.032983,19.99385,19.995062
cut,external-mode-check-20260923T134910-415618,3,4,20.034584,20.01373,19.97978
cut,external-mode-check-20260923T134910-415618,4,5,19.979997,19.994745,19.999713
cut,external-mode-check-20260923T135131-418913,1,2,20.035067,20.028893,20.068179
cut,external-mode-check-20260923T135131-418913,2,3,20.004203,20.001105,20.059226
cut,external-mode-check-20260923T135131-418913,3,4,20.093004,20.051805,20.108765
cut,external-mode-check-20260923T135131-418913,4,5,20.043083,20.022586,20.102672
repair,external-mode-check-20260923T112040-309344,1,2,19.984283,20.074115,20.019248
repair,external-mode-check-20260923T112040-309344,2,3,20.027064,20.014645,20.023781
repair,external-mode-check-20260923T112040-309344,3,4,19.928205,20.062881,20.051873
repair,external-mode-check-20260923T112040-309344,4,5,19.96001,20.00325,19.935969
repair,external-mode-check-20260923T112251-312566,1,2,20.03895,20.012045,20.003852
repair,external-mode-check-20260923T112251-312566,2,3,20.071867,20.044754,19.989764
repair,external-mode-check-20260923T112251-312566,3,4,19.930624,19.990852,19.955274
repair,external-mode-check-20260923T112251-312566,4,5,20.057985,20.051221,19.963789
repair,external-mode-check-20260923T112456-315691,1,2,20.035221,20.007442,19.968623
repair,external-mode-check-20260923T112456-315691,2,3,20.01305,20.004786,19.974387
repair,external-mode-check-20260923T112456-315691,3,4,20.001322,19.99142,20.02836
repair,external-mode-check-20260923T112456-315691,4,5,19.897532,19.879932,19.955006
