run,classification,mission_hash,localization_epoch,route_revision,waypoint_index,request_id,first_ready_ros_ns,cross_ros_ns,ready_lead_ms,diagnostic_sequence,phase,outcome,flags,crossing_error_m,sample_gap_s,previous_sample_sequence,current_sample_sequence,previous_sample_stamp_ns,current_sample_stamp_ns,continuation_bundle_generation,continuation_sample_id,waypoint_accepted,source_file
C,READY_BEFORE_CROSS+CROSS_AND_READY_SAME_UPDATE,18110031447199154478,1452948046641,1,1,2,33020000000,33896000000,876.0,1911,1,1,1935,0.7952868288277354,0.015999999999998238,1568,1569,33868000000,33888000000,6,790,True,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-C-normalized/O1_PASS_THROUGH_EVENTS.csv
C,READY_BEFORE_CROSS+CROSS_AND_READY_SAME_UPDATE,18110031447199154478,1452948046641,1,2,3,42296000000,47896000000,5600.0,3531,1,1,1935,0.7917142254608783,0.015999999999998238,2268,2269,47868000000,47888000000,10,1665,True,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-C-normalized/O1_PASS_THROUGH_EVENTS.csv
C,READY_BEFORE_CROSS+CROSS_AND_READY_SAME_UPDATE,18110031447199154478,1452948046641,1,3,4,57976000000,59928000000,1952.0,4746,1,1,1935,0.7945817374841992,0.015999999999998238,2870,2871,59908000000,59928000000,13,2417,True,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-C-normalized/O1_PASS_THROUGH_EVENTS.csv
C,MEASURED_STOP_ACCEPTED,18110031447199154478,1452948046641,1,4,5,,70500000000,,5706,0,3,516,0.0,0.0,3397,3399,70448000000,70488000000,15,3077,True,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-C-normalized/O1_PASS_THROUGH_EVENTS.csv
W1-fixed,READY_BEFORE_CROSS+CROSS_AND_READY_SAME_UPDATE,18110031447199154478,2023653042843,1,0,1,19516000000,23996000000,4480.0,1086,1,1,1935,0.787730464495401,0.015999999999998238,1067,1068,23968000000,23988000000,2,281,True,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W1-fixed-normalized/O1_PASS_THROUGH_EVENTS.csv
W1-fixed,READY_BEFORE_CROSS+CROSS_AND_READY_SAME_UPDATE,18110031447199154478,2023653042843,1,1,2,30540000000,33852000000,3312.0,2188,1,1,1935,0.7907983225779246,0.015999999999998238,1560,1561,33828000000,33848000000,5,896,True,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W1-fixed-normalized/O1_PASS_THROUGH_EVENTS.csv
W1-fixed,READY_BEFORE_CROSS+CROSS_AND_READY_SAME_UPDATE,18110031447199154478,2023653042843,1,2,3,34300000000,41812000000,7512.0,3381,1,1,1935,0.776384467805236,0.007999999999995566,1958,1959,41788000000,41808000000,6,1394,True,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W1-fixed-normalized/O1_PASS_THROUGH_EVENTS.csv
W1-fixed,READY_BEFORE_CROSS+CROSS_AND_READY_SAME_UPDATE,18110031447199154478,2023653042843,1,3,4,51100000000,52028000000,928.0,4366,1,1,1935,0.7903446564332459,0.015999999999998238,2469,2470,52008000000,52028000000,8,2033,True,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W1-fixed-normalized/O1_PASS_THROUGH_EVENTS.csv
W1-fixed,MEASURED_STOP_ACCEPTED,18110031447199154478,2023653042843,1,4,5,,70132000000,,6009,0,3,516,0.0,0.0,3373,3375,70088000000,70128000000,13,3164,True,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W1-fixed-normalized/O1_PASS_THROUGH_EVENTS.csv
O1-F1,READY_BEFORE_CROSS+CROSS_AND_READY_SAME_UPDATE,18110031447199154478,2745665912276,1,0,1,19544000000,23656000000,4112.0,1036,1,1,1935,0.7917729862138041,0.012000000000000455,1051,1052,23636000000,23656000000,2,258,True,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-O1-F1-normalized/O1_PASS_THROUGH_EVENTS.csv
O1-F1,READY_BEFORE_CROSS+CROSS_AND_READY_SAME_UPDATE,18110031447199154478,2745665912276,1,1,2,28088000000,31844000000,3756.0,2014,1,1,1935,0.7761983471203074,0.012000000000000455,1460,1461,31816000000,31836000000,4,769,True,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-O1-F1-normalized/O1_PASS_THROUGH_EVENTS.csv
