clock_proof,first_use,first_use_boundary,first_use_trace_drop_count,first_use_trace_sequence,key,publish_count,publish_process_incarnation,receive_count,receive_entry_ros_ns,receive_outcome,receive_process_incarnation,receive_reason,ros_publish_enter_to_receive_ns,ros_publish_return_to_receive_ns,ros_receive_to_first_use_ns,status
C_SHARED_SIM_CLOCK_11008_MONOTONE_SAMPLES,EXACT_KEY_OBSERVED,tracking,0,739,"(1452948046641, 3, 18110031447199154478, 1, 2, 6, 736)",1,135735066638878,1,33032000000,1,134613087549345,0,0,0,12000000,PAIRED_ROS_CLOCK
C_SHARED_SIM_CLOCK_11008_MONOTONE_SAMPLES,EXACT_KEY_OBSERVED,tracking,0,740,"(1452948046641, 3, 18110031447199154478, 1, 2, 6, 737)",1,135735066638878,1,33048000000,1,134613087549345,0,0,0,12000000,PAIRED_ROS_CLOCK
C_SHARED_SIM_CLOCK_11008_MONOTONE_SAMPLES,EXACT_KEY_OBSERVED,tracking,0,741,"(1452948046641, 3, 18110031447199154478, 1, 2, 6, 738)",1,135735066638878,1,33064000000,1,134613087549345,0,0,0,12000000,PAIRED_ROS_CLOCK
C_SHARED_SIM_CLOCK_11008_MONOTONE_SAMPLES,EXACT_KEY_OBSERVED,tracking,0,742,"(1452948046641, 3, 18110031447199154478, 1, 2, 6, 739)",1,135735066638878,1,33080000000,1,134613087549345,0,0,0,12000000,PAIRED_ROS_CLOCK
C_SHARED_SIM_CLOCK_11008_MONOTONE_SAMPLES,EXACT_KEY_OBSERVED,tracking,0,743,"(1452948046641, 3, 18110031447199154478, 1, 2, 6, 740)",1,135735066638878,1,33096000000,1,134613087549345,0,0,0,12000000,PAIRED_ROS_CLOCK
C_SHARED_SIM_CLOCK_11008_MONOTONE_SAMPLES,EXACT_KEY_OBSERVED,tracking,0,744,"(1452948046641, 3, 18110031447199154478, 1, 2, 6, 741)",1,135735066638878,1,33112000000,1,134613087549345,0,0,0,12000000,PAIRED_ROS_CLOCK
C_SHARED_SIM_CLOCK_11008_MONOTONE_SAMPLES,EXACT_KEY_OBSERVED,tracking,0,745,"(1452948046641, 3, 18110031447199154478, 1, 2, 6, 742)",1,135735066638878,1,33128000000,1,134613087549345,0,0,0,12000000,PAIRED_ROS_CLOCK
C_SHARED_SIM_CLOCK_11008_MONOTONE_SAMPLES,EXACT_KEY_OBSERVED,tracking,0,746,"(1452948046641, 3, 18110031447199154478, 1, 2, 6, 743)",1,135735066638878,1,33144000000,1,134613087549345,0,0,0,12000000,PAIRED_ROS_CLOCK
C_SHARED_SIM_CLOCK_11008_MONOTONE_SAMPLES,EXACT_KEY_OBSERVED,tracking,0,747,"(1452948046641, 3, 18110031447199154478, 1, 2, 6, 744)",1,135735066638878,1,33160000000,1,134613087549345,0,0,0,12000000,PAIRED_ROS_CLOCK
C_SHARED_SIM_CLOCK_11008_MONOTONE_SAMPLES,EXACT_KEY_OBSERVED,tracking,0,748,"(1452948046641, 3, 18110031447199154478, 1, 2, 6, 745)",1,135735066638878,1,33176000000,1,134613087549345,0,0,0,12000000,PAIRED_ROS_CLOCK
C_SHARED_SIM_CLOCK_11008_MONOTONE_SAMPLES,EXACT_KEY_OBSERVED,tracking,0,749,"(1452948046641, 3, 18110031447199154478, 1, 2, 6, 746)",1,135735066638878,1,33192000000,1,134613087549345,0,0,0,12000000,PAIRED_ROS_CLOCK
C_SHARED_SIM_CLOCK_11008_MONOTONE_SAMPLES,EXACT_KEY_OBSERVED,tracking,0,750,"(1452948046641, 3, 18110031447199154478, 1, 2, 6, 747)",1,135735066638878,1,33208000000,1,134613087549345,0,0,0,12000000,PAIRED_ROS_CLOCK
