run,origin,kind,bag_observer_ns,ros_now_ns,px4_source_stamp_ns,diagnostic_sequence,attempt_generation,outcome,nav_state,executor_in_charge,flags,retry_deadline_steady_ns,raw_command,raw_result,source_file
C,PX4_RAW,RAW_MODE_COMPLETED,1790144836901798782,,70512000000,,,,26,,,,:,0,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-C-normalized/px4_protocol_raw.jsonl
C,PX4_RAW,RAW_HOLD_COMMAND,1790144836902991095,,0,,,,,,,,100001:4.0,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-C-normalized/px4_protocol_raw.jsonl
C,PX4_RAW,RAW_MODE_COMMAND_ACK,1790144836926636378,,70532000000,,,,,,,,100001:,0,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-C-normalized/px4_protocol_raw.jsonl
C,AUDIT,HOLD_REQUEST,1790144836927703652,70512000000,0,5708,0,0,,,1,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-C-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
C,AUDIT,SCHEDULE_ATTEMPT,1790144836927711165,70512000000,0,5709,1,0,,,3,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-C-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
C,AUDIT,RETRY_TICK,1790144836957636605,70540000000,0,5713,1,0,,,3,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-C-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
C,AUDIT,VEHICLE_STATUS,1790144836957642050,70544000000,70544000000,5714,1,1,4,1,4,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-C-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
C,AUDIT,VEHICLE_STATUS,1790144837577598562,71048000000,71048000000,5747,1,1,4,1,4,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-C-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
C,AUDIT,VEHICLE_STATUS,1790144838217649371,71552000000,71552000000,5780,1,1,4,1,4,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-C-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
C,AUDIT,VEHICLE_STATUS,1790144838837676960,72056000000,72056000000,5813,1,1,4,1,4,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-C-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
C,AUDIT,VEHICLE_STATUS,1790144839477642917,72560000000,72560000000,5847,1,1,4,1,4,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-C-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
C,AUDIT,VEHICLE_STATUS,1790144840097624611,73064000000,73064000000,5879,1,1,4,1,4,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-C-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
C,AUDIT,VEHICLE_STATUS,1790144840737569501,73568000000,73568000000,5913,1,1,4,1,4,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-C-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
C,AUDIT,VEHICLE_STATUS,1790144841357603863,74072000000,74072000000,5945,1,1,4,1,4,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-C-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
C,AUDIT,VEHICLE_STATUS,1790144841997612201,74576000000,74576000000,5979,1,1,4,1,4,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-C-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
C,AUDIT,VEHICLE_STATUS,1790144842617667821,75080000000,75080000000,6012,1,1,4,1,4,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-C-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
C,AUDIT,VEHICLE_STATUS,1790144843257641292,75584000000,75584000000,6045,1,1,4,1,4,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-C-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
