run,kind,ros_now_ns,source_stamp_ns,bag_observer_ns,diagnostic_sequence,world_generation,world_revision,active_bundle_generation,outcome,flags,reason,dropped_input_count,source_file
W1-fixed,FAULT_START,19916000000,19900000000,,,,,,,,,0,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260923T063510-38964/audit_world_fault.jsonl
W1-fixed,FAULT_END,20116000000,,,,,,,,,,2,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260923T063510-38964/audit_world_fault.jsonl
W1-fixed,FIRST_FRESH_WORLD_AFTER_FAULT,20152000000,20100000000,1790145345107036045,964,2,167,0,1,0,0,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W1-fixed-normalized/O4_WORLD_EVENTS.csv
W1-fixed,RECERT_START_AFTER_FAULT,20152000000,20100000000,1790145345107037234,965,2,167,2,0,0,0,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W1-fixed-normalized/O4_WORLD_EVENTS.csv
W1-fixed,RECERT_END_AFTER_FAULT,20156000000,20100000000,1790145345107038407,966,2,167,2,1,4,0,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W1-fixed-normalized/O4_WORLD_EVENTS.csv
W1-fixed,WORLD_COMMIT_AFTER_FAULT,20156000000,20100000000,1790145345107039435,967,2,167,2,1,1,0,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W1-fixed-normalized/O4_WORLD_EVENTS.csv
W1-fixed,HOLD_REQUEST,70136000000,0,1790145407588156435,6010,,,,0,1,0,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W1-fixed-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W1-fixed,HOLD_SCHEDULE_ATTEMPT,70136000000,0,1790145407588163809,6011,,,,0,3,0,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W1-fixed-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W2,FAULT_START,20420000000,20400000000,,,,,,,,,0,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260923T063803-42512/audit_world_fault.jsonl
W2,WORLD_STALE_REJECT,20808000000,20300000000,1790145518202505976,982,2,165,0,2,0,0,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W2-normalized/O4_WORLD_EVENTS.csv
