Site,Function,Trigger,Async?,Desired witness,Execution witness,Causal evidence,Mutates what,Classification,Repair
navigation_runtime_node.cpp:1186,NavigationRuntimeNode,world transaction version,yes,desired revision where relevant,exact owner or global scope,world transaction version,pending_goal_owner_.clearGoal();,EXACT_PENDING_OWNER,retain exact pending identity
navigation_runtime_node.cpp:1554,NavigationRuntimeNode,fatal worker,no,desired revision where relevant,exact owner or global scope,fatal worker,failClosedLocked();,GLOBAL_SAFETY_EVENT,retain synchronous global policy
navigation_runtime_node.cpp:1726,failClosedLocked,internal primitive,no,desired revision where relevant,exact owner or global scope,internal primitive,execution_authority_.failClosed();,EXACT_EXECUTION_OWNER,retain atomic exact-owner gate
navigation_runtime_node.cpp:1761,resetForLocalizationEpochLocked,localization reset,no,desired revision where relevant,exact owner or global scope,localization reset,execution_authority_.reset(localization_epoch);,LEGITIMATE_RESET,retain global epoch reset
navigation_runtime_node.cpp:1771,resetForLocalizationEpochLocked,localization reset,no,desired revision where relevant,exact owner or global scope,localization reset,pending_goal_owner_.clearGoal();,LEGITIMATE_RESET,retain global epoch reset
navigation_runtime_node.cpp:1780,resetForLocalizationEpochLocked,localization reset,no,desired revision where relevant,exact owner or global scope,localization reset,pending_goal_owner_.clearGoal();,LEGITIMATE_RESET,retain global epoch reset
navigation_runtime_node.cpp:1782,resetForLocalizationEpochLocked,localization reset,no,desired revision where relevant,exact owner or global scope,localization reset,execution_authority_.invalidate();,LEGITIMATE_RESET,retain global epoch reset
navigation_runtime_node.cpp:1796,resetForLocalizationEpochLocked,localization reset,no,desired revision where relevant,exact owner or global scope,localization reset,execution_authority_.clearRestartFromRest();,LEGITIMATE_RESET,retain global epoch reset
navigation_runtime_node.cpp:1806,resetForLocalizationEpochLocked,localization reset,no,desired revision where relevant,exact owner or global scope,localization reset,failClosedLocked();,LEGITIMATE_RESET,retain global epoch reset
navigation_runtime_node.cpp:2045,transitionForeignMissionLocked,foreign mission,no,desired revision where relevant,exact owner or global scope,foreign mission,pending_goal_owner_.clearGoal();,EXTERNAL_AUTHORITY_EVENT,retain ordered boundary status gate
navigation_runtime_node.cpp:2055,transitionForeignMissionLocked,foreign mission,no,desired revision where relevant,exact owner or global scope,foreign mission,pending_goal_owner_.clearGoal();,EXTERNAL_AUTHORITY_EVENT,retain ordered boundary status gate
navigation_runtime_node.cpp:2063,transitionForeignMissionLocked,foreign mission,no,desired revision where relevant,exact owner or global scope,foreign mission,execution_authority_.invalidate();,EXTERNAL_AUTHORITY_EVENT,retain ordered boundary status gate
navigation_runtime_node.cpp:2067,transitionForeignMissionLocked,foreign mission,no,desired revision where relevant,exact owner or global scope,foreign mission,execution_authority_.invalidate();,EXTERNAL_AUTHORITY_EVENT,retain ordered boundary status gate
navigation_runtime_node.cpp:2070,transitionForeignMissionLocked,foreign mission,no,desired revision where relevant,exact owner or global scope,foreign mission,execution_authority_.clearRestartFromRest();,EXTERNAL_AUTHORITY_EVENT,retain ordered boundary status gate
navigation_runtime_node.cpp:2071,transitionForeignMissionLocked,foreign mission,no,desired revision where relevant,exact owner or global scope,foreign mission,failClosedLocked();,EXTERNAL_AUTHORITY_EVENT,retain ordered boundary status gate
navigation_runtime_node.cpp:2208,applyValidatedGoalLocked,goal revision exhaustion/transition,no,desired revision where relevant,exact owner or global scope,goal revision exhaustion/transition,execution_authority_.invalidate();,GLOBAL_SAFETY_EVENT,retain synchronous global policy
navigation_runtime_node.cpp:2209,applyValidatedGoalLocked,goal revision exhaustion/transition,no,desired revision where relevant,exact owner or global scope,goal revision exhaustion/transition,pending_goal_owner_.clearGoal();,GLOBAL_SAFETY_EVENT,retain synchronous global policy
navigation_runtime_node.cpp:2213,applyValidatedGoalLocked,goal revision exhaustion/transition,no,desired revision where relevant,exact owner or global scope,goal revision exhaustion/transition,failClosedLocked();,GLOBAL_SAFETY_EVENT,retain synchronous global policy
navigation_runtime_node.cpp:2260,applyValidatedGoalLocked,goal revision exhaustion/transition,no,desired revision where relevant,exact owner or global scope,goal revision exhaustion/transition,execution_authority_.clearRestartFromRest();,GLOBAL_SAFETY_EVENT,retain synchronous global policy
navigation_runtime_node.cpp:2346,onModeStatus,matched terminal status,yes,desired revision where relevant,exact owner or global scope,matched terminal status,pending_goal_owner_.clearGoal();,EXACT_PENDING_OWNER,retain exact pending identity
navigation_runtime_node.cpp:2433,onModeStatus,terminal mode status,no,desired revision where relevant,exact owner or global scope,terminal mode status,execution_authority_.invalidate();,EXTERNAL_AUTHORITY_EVENT,retain ordered boundary status gate
navigation_runtime_node.cpp:2438,onModeStatus,terminal mode status,no,desired revision where relevant,exact owner or global scope,terminal mode status,pending_goal_owner_.clearGoal();,EXTERNAL_AUTHORITY_EVENT,retain ordered boundary status gate
navigation_runtime_node.cpp:2440,onModeStatus,terminal mode status,no,desired revision where relevant,exact owner or global scope,terminal mode status,execution_authority_.clearGoal(,EXTERNAL_AUTHORITY_EVENT,retain ordered boundary status gate
navigation_runtime_node.cpp:2445,onModeStatus,terminal mode status,no,desired revision where relevant,exact owner or global scope,terminal mode status,execution_authority_.clearRestartFromRest();,EXTERNAL_AUTHORITY_EVENT,retain ordered boundary status gate
navigation_runtime_node.cpp:2478,applyMissionDecisionLocked,Core mission invariant failure,no,desired revision where relevant,exact owner or global scope,Core mission invariant failure,execution_authority_.invalidate();,GLOBAL_SAFETY_EVENT,retain synchronous global policy
navigation_runtime_node.cpp:2479,applyMissionDecisionLocked,Core mission invariant failure,no,desired revision where relevant,exact owner or global scope,Core mission invariant failure,failClosedLocked();,GLOBAL_SAFETY_EVENT,retain synchronous global policy
navigation_runtime_node.cpp:2494,applyMissionDecisionLocked,Core mission invariant failure,no,desired revision where relevant,exact owner or global scope,Core mission invariant failure,execution_authority_.invalidate();,GLOBAL_SAFETY_EVENT,retain synchronous global policy
navigation_runtime_node.cpp:2495,applyMissionDecisionLocked,Core mission invariant failure,no,desired revision where relevant,exact owner or global scope,Core mission invariant failure,failClosedLocked();,GLOBAL_SAFETY_EVENT,retain synchronous global policy
navigation_runtime_node.cpp:3129,commitPlannerCandidate,transaction ID exhaustion,no,desired revision where relevant,exact owner or global scope,transaction ID exhaustion,execution_authority_.invalidate();,GLOBAL_SAFETY_EVENT,retain synchronous global policy
navigation_runtime_node.cpp:3130,commitPlannerCandidate,transaction ID exhaustion,no,desired revision where relevant,exact owner or global scope,transaction ID exhaustion,failClosedLocked();,GLOBAL_SAFETY_EVENT,retain synchronous global policy
navigation_runtime_node.cpp:3213,clearCommandForCurrentIdentity,exact candidate ACK failure,no,desired revision where relevant,exact owner or global scope,exact candidate ACK failure,if (!goal_current || !execution_authority_.invalidateIfCurrent(expected)) return false;,EXACT_EXECUTION_OWNER,retain atomic exact-owner gate
navigation_runtime_node.cpp:3214,clearCommandForCurrentIdentity,exact candidate ACK failure,no,desired revision where relevant,exact owner or global scope,exact candidate ACK failure,pending_goal_owner_.clearGoal();,EXACT_EXECUTION_OWNER,retain atomic exact-owner gate
navigation_runtime_node.cpp:3216,clearCommandForCurrentIdentity,exact candidate ACK failure,no,desired revision where relevant,exact owner or global scope,exact candidate ACK failure,failClosedLocked();,EXACT_EXECUTION_OWNER,retain atomic exact-owner gate
navigation_runtime_node.cpp:3235,suspendCommandForWorldFreshness,world freshness suspension,yes,desired revision where relevant,exact owner or global scope,world freshness suspension,execution_authority_.suspendCommand();,STALE_CALLBACK_RISK,exact current execution and causal witness before mutation; stale discard only
navigation_runtime_node.cpp:3372,schedulePlanningCycle,owner invariant failure,no,desired revision where relevant,exact owner or global scope,owner invariant failure,execution_authority_.invalidate();,GLOBAL_SAFETY_EVENT,retain synchronous global policy
navigation_runtime_node.cpp:4154,runCycle,deferred terminal status,no,desired revision where relevant,exact owner or global scope,deferred terminal status,pending_goal_owner_.clearGoal();,EXTERNAL_AUTHORITY_EVENT,retain ordered boundary status gate
navigation_runtime_node.cpp:4155,runCycle,deferred terminal status,no,desired revision where relevant,exact owner or global scope,deferred terminal status,execution_authority_.clearGoal(,EXTERNAL_AUTHORITY_EVENT,retain ordered boundary status gate
navigation_runtime_node.cpp:4158,runCycle,deferred terminal status,no,desired revision where relevant,exact owner or global scope,deferred terminal status,execution_authority_.invalidate();,EXTERNAL_AUTHORITY_EVENT,retain ordered boundary status gate
navigation_runtime_node.cpp:4160,runCycle,deferred terminal status,no,desired revision where relevant,exact owner or global scope,deferred terminal status,failClosedLocked();,EXTERNAL_AUTHORITY_EVENT,retain ordered boundary status gate
navigation_runtime_node.cpp:4279,runCycle,motion after certified stop,yes,desired revision where relevant,exact owner or global scope,motion after certified stop,execution_authority_.invalidate();,STALE_CALLBACK_RISK,exact current execution and causal witness before mutation; stale discard only
navigation_runtime_node.cpp:4281,runCycle,motion after certified stop,yes,desired revision where relevant,exact owner or global scope,motion after certified stop,failClosedLocked();,STALE_CALLBACK_RISK,exact current execution and causal witness before mutation; stale discard only
navigation_runtime_node.cpp:4335,runCycle,deferred terminal status,no,desired revision where relevant,exact owner or global scope,deferred terminal status,pending_goal_owner_.clearGoal();,EXTERNAL_AUTHORITY_EVENT,retain ordered boundary status gate
navigation_runtime_node.cpp:4336,runCycle,deferred terminal status,no,desired revision where relevant,exact owner or global scope,deferred terminal status,execution_authority_.clearGoal(,EXTERNAL_AUTHORITY_EVENT,retain ordered boundary status gate
