session,old_request,new_request,adapter_admission_gap_ms,core_command_gap_ms,nearest_px4_setpoint_gap_ms
external-mode-check-20260923T233224-587903,1,2,20.011856,20.014521,20.01892
external-mode-check-20260923T233224-587903,2,3,20.089662,20.07953,20.020089
external-mode-check-20260923T233224-587903,3,4,20.076621,20.033875,20.00867
external-mode-check-20260923T233224-587903,4,5,20.030861,20.049398,19.965398
external-mode-check-20260923T233507-591132,1,2,20.055446,20.052723,20.016857
external-mode-check-20260923T233507-591132,2,3,19.986416,19.974769,19.938622
external-mode-check-20260923T233507-591132,3,4,20.06614,20.093916,20.004697
external-mode-check-20260923T233507-591132,4,5,20.019412,20.048796,19.985443
external-mode-check-20260923T233732-594439,1,2,19.938233,19.970654,20.017218
external-mode-check-20260923T233732-594439,2,3,20.002175,20.05579,19.971416
external-mode-check-20260923T233732-594439,3,4,20.059787,20.079633,20.029019
external-mode-check-20260923T233732-594439,4,5,20.010472,19.933324,19.970882
