run,request_id,planning_cycle_id,structural_class,observed_phases,reasons
1,2,56,MISSING_CONSUMER_OR_SUPERSESSION_WITNESS,export|request,LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:publish
1,2,,MISSING_PRODUCER_EXPORT_IDENTITY,authorize|publish,BUNDLE_OWNER_MISSING_EXPORT|LIFECYCLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:request
1,3,156,MISSING_CONSUMER_OR_SUPERSESSION_WITNESS,export|request,LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:publish
1,3,,MISSING_PRODUCER_EXPORT_IDENTITY,authorize|publish,BUNDLE_OWNER_MISSING_EXPORT|LIFECYCLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:request
1,5,287,MISSING_CONSUMER_OR_SUPERSESSION_WITNESS,export|request,LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:publish
1,5,,MISSING_PRODUCER_EXPORT_IDENTITY,authorize|publish,BUNDLE_IDENTITY_CONFLICT|BUNDLE_OWNER_MISSING_EXPORT|LIFECYCLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:request
1,5,323,MISSING_BUNDLE_IDENTITY,request,BUNDLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:publish
1,5,356,MISSING_BUNDLE_IDENTITY,request,BUNDLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:publish
1,5,390,MISSING_BUNDLE_IDENTITY,request,BUNDLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:publish
1,,,MISSING_PRODUCER_EXPORT_IDENTITY,publish,BUNDLE_IDENTITY_MISSING|BUNDLE_OWNER_MISSING_EXPORT|COMMAND_AUTHORIZATION_LINEAGE_MISSING|COMMAND_IDENTITY_MISSING|LIFECYCLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:request
