run,original_outcome,original_assessment,reevaluated_assessment,eligible,valid_lifecycle,unresolved_lifecycle,conflicting_lifecycle,unbound_goal_requests,unbound_activations,reference_lineage,position_p95_m,position_max_m,velocity_p95_mps,velocity_max_mps,blocking_reasons,session
1,PAUSED_SAFETY_STOP,NOT_EVALUABLE,NOT_EVALUABLE,False,45,10,0,0,3,False,0.4955871201013584,0.7690812527865354,0.9483927805814251,1.6473797219495558,LIFECYCLE_ATTRIBUTION_INCOMPLETE|MOTION_ACCEPTANCE_POLICY_UNAVAILABLE|REFERENCE_LINEAGE_MISMATCH|REQUIRED_DIMENSION_NOT_PASS|TRACKING_COVERAGE_POLICY_UNAVAILABLE,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T094122-193534
2,PAUSED_SAFETY_STOP,NOT_EVALUABLE,NOT_EVALUABLE,False,33,9,0,0,2,False,0.3511846585332595,0.6651343994020456,0.8300914617124175,1.2932895216954652,LIFECYCLE_ATTRIBUTION_INCOMPLETE|MOTION_ACCEPTANCE_POLICY_UNAVAILABLE|REFERENCE_LINEAGE_MISMATCH|REQUIRED_DIMENSION_NOT_PASS|TRACKING_COVERAGE_POLICY_UNAVAILABLE,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T094341-193534
3,COMPLETE,NOT_EVALUABLE,NOT_EVALUABLE,False,40,23,0,0,1,False,0.40591538388772586,0.5717131389247228,1.0520442098015252,1.4328514531346384,LIFECYCLE_ATTRIBUTION_INCOMPLETE|MOTION_ACCEPTANCE_POLICY_UNAVAILABLE|REFERENCE_LINEAGE_MISMATCH|REQUIRED_DIMENSION_NOT_PASS|TRACKING_COVERAGE_POLICY_UNAVAILABLE,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T094550-193534
4,COMPLETE,NOT_EVALUABLE,NOT_EVALUABLE,False,24,19,0,0,1,False,0.3538424293092778,0.6610637996538244,0.8245001925436922,1.1806796320739852,LIFECYCLE_ATTRIBUTION_INCOMPLETE|MOTION_ACCEPTANCE_POLICY_UNAVAILABLE|REFERENCE_LINEAGE_MISMATCH|REQUIRED_DIMENSION_NOT_PASS|TRACKING_COVERAGE_POLICY_UNAVAILABLE,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T094856-193534
5,COMPLETE,NOT_EVALUABLE,NOT_EVALUABLE,False,21,5,0,0,2,False,0.2896552645255349,0.44974079702619296,0.4759992578833971,1.0821975144263944,LIFECYCLE_ATTRIBUTION_INCOMPLETE|MOTION_ACCEPTANCE_POLICY_UNAVAILABLE|REFERENCE_LINEAGE_MISMATCH|REQUIRED_DIMENSION_NOT_PASS|TRACKING_COVERAGE_POLICY_UNAVAILABLE,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T095113-193534
6,COMPLETE,NOT_EVALUABLE,NOT_EVALUABLE,False,9,16,0,0,2,False,0.23322377254572493,0.27202480899009995,0.3758888197638233,0.7560266262676202,LIFECYCLE_ATTRIBUTION_INCOMPLETE|MOTION_ACCEPTANCE_POLICY_UNAVAILABLE|REFERENCE_LINEAGE_MISMATCH|REQUIRED_DIMENSION_NOT_PASS|TRACKING_COVERAGE_POLICY_UNAVAILABLE,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T095318-193534
7,COMPLETE,NOT_EVALUABLE,NOT_EVALUABLE,False,21,13,0,0,2,False,0.25878033828337765,0.4426540489533171,0.6198333968178087,0.982450676804103,LIFECYCLE_ATTRIBUTION_INCOMPLETE|MOTION_ACCEPTANCE_POLICY_UNAVAILABLE|REFERENCE_LINEAGE_MISMATCH|REQUIRED_DIMENSION_NOT_PASS|TRACKING_COVERAGE_POLICY_UNAVAILABLE,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T095531-193534
8,COMPLETE,NOT_EVALUABLE,NOT_EVALUABLE,False,15,13,0,0,2,False,0.2632881787549938,0.3677287518469926,0.4867572291098779,0.8899837541440127,LIFECYCLE_ATTRIBUTION_INCOMPLETE|MOTION_ACCEPTANCE_POLICY_UNAVAILABLE|REFERENCE_LINEAGE_MISMATCH|REQUIRED_DIMENSION_NOT_PASS|TRACKING_COVERAGE_POLICY_UNAVAILABLE,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T095746-193534
9,COMPLETE,NOT_EVALUABLE,NOT_EVALUABLE,False,12,18,0,0,3,False,0.2403935076964164,0.3553661398496666,0.44648539095708284,0.9078010241893031,LIFECYCLE_ATTRIBUTION_INCOMPLETE|MOTION_ACCEPTANCE_POLICY_UNAVAILABLE|REFERENCE_LINEAGE_MISMATCH|REQUIRED_DIMENSION_NOT_PASS|TRACKING_COVERAGE_POLICY_UNAVAILABLE,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T095950-193534
10,COMPLETE,NOT_EVALUABLE,NOT_EVALUABLE,False,11,14,0,0,2,False,0.21787456777564368,0.34067844252512314,0.378366613739916,0.9280291520419991,LIFECYCLE_ATTRIBUTION_INCOMPLETE|MOTION_ACCEPTANCE_POLICY_UNAVAILABLE|REFERENCE_LINEAGE_MISMATCH|REQUIRED_DIMENSION_NOT_PASS|TRACKING_COVERAGE_POLICY_UNAVAILABLE,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T100159-193534
