run,session,result,generation,analytic_completion_ros_ns,analytic_anchor_error_m,analytic_speed_mps,analytic_state_skew_ms,command_state_source_age_ms,terminal_rejection_error_m,terminal_rejection_speed_mps,mission_acceptance_error_m,mission_acceptance_speed_mps,max_accepted_state_gap_ms
1,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T094122-193534,PAUSED_SAFETY_STOP,54,70120000000,0.406080698751722,0.12843699455170174,8.0,-12.0,0.762,0.5795931463264326,,,27.742182
2,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T094341-193534,PAUSED_SAFETY_STOP,40,65208000000,0.2834929019554568,0.06874998526070554,8.0,8.0,0.759,0.8632256789250886,,,35.591519
3,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T094550-193534,COMPLETE,58,98736000000,0.39390623684680226,0.4806480968929202,4.0,4.0,,,0.2360738495592182,0.09762785671936647,27.856031
4,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T094856-193534,COMPLETE,33,70720000000,0.38743902935731656,0.4097519966532908,0.0,0.0,,,0.2702882371692843,0.09381504486027015,35.58154
5,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T095113-193534,COMPLETE,28,63864000000,0.10139013555920959,0.3073106039334018,4.0,4.0,,,0.2722844098121044,0.0991861368606094,34.871902
6,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T095318-193534,COMPLETE,13,70796000000,0.22125424530948956,0.21516924491001413,-4.0,16.0,,,0.22971332662376767,0.09371656513210237,35.263469
7,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T095531-193534,COMPLETE,28,70120000000,0.3810309668375442,0.5265833204213466,8.0,-12.0,,,0.2733049627008916,0.09240226232859414,28.059614
8,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T095746-193534,COMPLETE,19,62972000000,0.29716336738845833,0.309640648191724,-4.0,16.0,,,0.23479469540372078,0.08621604740572038,30.34878
9,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T095950-193534,COMPLETE,20,66112000000,0.35471410373763806,0.19764068010598065,0.0,0.0,,,0.22946079376627754,0.0806857411983661,27.273902
10,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T100159-193534,COMPLETE,15,62964000000,0.2031258288373481,0.03899072946116187,-8.0,12.0,,,0.22239564211561721,0.04632091644599139,26.686727
