cohort,run,outcome,metric,n,p50_ms,p95_ms,p99_ms,max_ms
predecessor,1,PAUSED_SAFETY_STOP,source_period_ms,3795,20.0,20.0,20.0,20.0
predecessor,1,PAUSED_SAFETY_STOP,producer_publish_interval_ms,3938,25.001005,25.4051,25.677297,27.805225
predecessor,1,PAUSED_SAFETY_STOP,worker_ready_to_publish_ms,3939,0.061544,0.086799,0.106822,0.781728
predecessor,1,PAUSED_SAFETY_STOP,publisher_enter_to_publish_ms,3939,0.061106,0.08615,0.106348,0.78131
predecessor,1,PAUSED_SAFETY_STOP,publisher_publish_to_exit_ms,3939,0.052992,0.089448,0.118215,0.653381
predecessor,1,PAUSED_SAFETY_STOP,publish_to_callback_ms,3796,0.09319,0.168746,0.257766,2.191269
predecessor,1,PAUSED_SAFETY_STOP,mutex_wait_ms,3796,8.7e-05,0.000304,0.000522,0.111385
predecessor,1,PAUSED_SAFETY_STOP,callback_to_accept_ms,3796,0.000857,0.001794,0.00261,0.112212
predecessor,1,PAUSED_SAFETY_STOP,accepted_receive_gap_ms,3795,25.003295,25.424721,25.740273,27.742182
predecessor,2,PAUSED_SAFETY_STOP,source_period_ms,3440,20.0,20.0,20.0,28.0
predecessor,2,PAUSED_SAFETY_STOP,producer_publish_interval_ms,3593,24.997711,25.437307,25.697283,35.526611
predecessor,2,PAUSED_SAFETY_STOP,worker_ready_to_publish_ms,3594,0.060404,0.085519,0.105115,0.158049
predecessor,2,PAUSED_SAFETY_STOP,publisher_enter_to_publish_ms,3594,0.059948,0.084927,0.104612,0.157503
predecessor,2,PAUSED_SAFETY_STOP,publisher_publish_to_exit_ms,3594,0.05018,0.07929,0.096942,0.733351
predecessor,2,PAUSED_SAFETY_STOP,publish_to_callback_ms,3441,0.109385,0.186188,0.257479,0.790757
predecessor,2,PAUSED_SAFETY_STOP,mutex_wait_ms,3441,0.000179,0.00054,0.000937,0.021288
predecessor,2,PAUSED_SAFETY_STOP,callback_to_accept_ms,3441,0.001097,0.002144,0.003087,0.02311
predecessor,2,PAUSED_SAFETY_STOP,accepted_receive_gap_ms,3440,25.000275,25.463151,25.767035,35.591519
predecessor,3,COMPLETE,source_period_ms,5096,20.0,20.0,20.0,20.0
predecessor,3,COMPLETE,producer_publish_interval_ms,5232,24.998142,25.356053,25.58594,27.395459
predecessor,3,COMPLETE,worker_ready_to_publish_ms,5233,0.061189,0.087388,0.105108,0.156957
predecessor,3,COMPLETE,publisher_enter_to_publish_ms,5233,0.0608,0.086589,0.104166,0.156212
predecessor,3,COMPLETE,publisher_publish_to_exit_ms,5233,0.052476,0.085762,0.108319,0.359127
predecessor,3,COMPLETE,publish_to_callback_ms,5097,0.112814,0.194247,0.253145,1.811446
predecessor,3,COMPLETE,mutex_wait_ms,5097,0.000149,0.000472,0.000828,0.008778
predecessor,3,COMPLETE,callback_to_accept_ms,5097,0.001025,0.002114,0.003236,0.013198
predecessor,3,COMPLETE,accepted_receive_gap_ms,5096,24.998831,25.381673,25.651441,27.856031
predecessor,4,COMPLETE,source_period_ms,3726,20.0,20.0,20.0,28.0
predecessor,4,COMPLETE,producer_publish_interval_ms,3864,24.998958,25.414255,25.652322,35.547436
predecessor,4,COMPLETE,worker_ready_to_publish_ms,3865,0.061164,0.087823,0.111159,0.178414
