session,tracking,successor_request,core_H4_to_planner_submit_ms,submit_to_solve_start_ms,solve_start_to_return_ms,last_predecessor_to_first_successor_sample_ms,last_predecessor_to_first_successor_core_publish_ms,bag_command_to_adapter_admission_receipt_ms,first_successor_core_publish_to_px4_input_ms,last_predecessor_to_first_successor_px4_input_ms
112040-309344,off,2,0,0,12,16,16,0.015,4,16
112040-309344,off,3,40,0,12,16,16,0.137,8,16
112040-309344,off,4,0,0,16,16,16,0.082,4,16
112040-309344,off,5,40,0,4,16,16,0.076,4,16
112251-312566,off,2,40,0,16,16,16,0.101,16,16
112251-312566,off,3,64,0,12,16,4,0.113,28,28
112251-312566,off,4,40,0,12,16,16,0.072,12,12
112251-312566,off,5,0,0,8,16,16,0.073,12,16
112456-315691,off,2,40,0,16,16,32,0.127,16,16
112456-315691,off,3,40,0,12,16,16,0.062,16,16
112456-315691,off,4,0,0,16,16,20,0.080,8,4
112456-315691,off,5,40,0,8,16,16,0.094,16,16
105937-284324,relaxed,2,0,0,12,16,16,,8,16
105937-284324,relaxed,3,0,0,12,16,16,,8,16
105937-284324,relaxed,4,0,0,20,16,16,,12,16
105937-284324,relaxed,5,40,0,8,16,16,,12,20
110442-292258,relaxed,2,40,0,16,16,20,,12,16
110442-292258,relaxed,3,40,0,12,16,20,,8,8
110442-292258,relaxed,4,80,0,20,16,16,,16,16
110442-292258,relaxed,5,40,0,8,16,16,,16,16
110706-295798,relaxed,2,40,0,12,16,16,,16,16
110706-295798,relaxed,3,40,0,16,16,16,,8,4
110706-295798,relaxed,4,0,0,12,16,4,,28,24
110706-295798,relaxed,5,80,0,12,16,16,,8,8
