cohort,run,raw_session,capture_source_sha,capture_repo_dirty,px4_sha,runner_verdict,scenario_outcome,accepted,c0_sw_assessment_reevaluated,c0_sw_eligible_reevaluated,required_lifecycle_unresolved,required_lifecycle_conflicting,required_reference_count,required_reference_missing,required_reference_conflicting,references_admitted_without_setpoint_trace,no_execution_signals,no_execution_adapter_rejections_missing,adapter_receipts_missing,adapter_receipts_unbound,blocking_reasons
final,1,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T212956-266563,5a77f5e06697f50643e918cb16a1e81b90696acc,False,deaff86ee335dd697677bcfc2415a23878e1b895,FAIL,COMPLETE,"0,1,2,3,4",PASS,True,0,0,3836,0,0,0,0,0,0,0,
final,2,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T213230-269809,5a77f5e06697f50643e918cb16a1e81b90696acc,False,deaff86ee335dd697677bcfc2415a23878e1b895,FAIL,COMPLETE,"0,1,2,3,4",PASS,True,0,0,3197,0,0,147,0,0,0,0,
final,3,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T213446-273012,5a77f5e06697f50643e918cb16a1e81b90696acc,False,deaff86ee335dd697677bcfc2415a23878e1b895,FAIL,COMPLETE,"0,1,2,3,4",PASS,True,0,0,2884,0,0,0,0,0,0,0,
final,4,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T213648-276250,5a77f5e06697f50643e918cb16a1e81b90696acc,False,deaff86ee335dd697677bcfc2415a23878e1b895,FAIL,COMPLETE,"0,1,2,3,4",PASS,True,0,0,3027,0,0,0,0,0,0,0,
final,5,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T213854-279425,5a77f5e06697f50643e918cb16a1e81b90696acc,False,deaff86ee335dd697677bcfc2415a23878e1b895,FAIL,COMPLETE,"0,1,2,3,4",PASS,True,0,0,2912,0,0,0,0,0,0,0,
verified,1,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T214936-290844,61ee1e503a520491b62c38ba312b877cc4ae00d4,False,deaff86ee335dd697677bcfc2415a23878e1b895,FAIL,COMPLETE,"0,1,2,3,4",PASS,True,0,0,3257,0,0,2,0,0,0,0,
verified,2,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T215146-294111,61ee1e503a520491b62c38ba312b877cc4ae00d4,False,deaff86ee335dd697677bcfc2415a23878e1b895,FAIL,FAILED_COMPONENT,0,NOT_EVALUABLE,False,0,0,716,0,0,1,0,0,0,0,PRODUCT_OUTCOME_UNATTRIBUTED
verified,3,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T215301-297196,61ee1e503a520491b62c38ba312b877cc4ae00d4,False,deaff86ee335dd697677bcfc2415a23878e1b895,FAIL,FAILED_COMPONENT,"0,1,2",NOT_EVALUABLE,False,0,0,2031,0,0,0,0,0,0,0,PRODUCT_OUTCOME_UNATTRIBUTED
verified,4,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T215446-300386,61ee1e503a520491b62c38ba312b877cc4ae00d4,False,deaff86ee335dd697677bcfc2415a23878e1b895,FAIL,COMPLETE,"0,1,2,3,4",PASS,True,0,0,2881,0,0,0,0,0,0,0,
verified,5,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T215649-303572,61ee1e503a520491b62c38ba312b877cc4ae00d4,False,deaff86ee335dd697677bcfc2415a23878e1b895,BLOCKED,PAUSED_SAFETY_STOP,"0,1,2,3",NOT_EVALUABLE,False,0,0,2643,0,0,0,312,0,0,0,PRODUCT_OUTCOME_UNATTRIBUTED;SAFETY_STOP_GATE_DECISION_WITNESS_NOT_ASSESSED
