cohort,run,path,size_bytes,sha256
final,1,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T212956-266563/metadata.json,251435,950b27e338e1aa854e45957cd0b269e2e831ad3bffbbaf232427a6146dfc28bd
final,1,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T212956-266563/scenario.json,1417031,17782f4988b68a8d75239de1f4fa21d1cc09123ce2bf4590726d0df119a277f5
final,1,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T212956-266563/scenario.jsonl,43847777,56d3ea10ba455313809b2d55cdcdea09e298e699ce2e6bc227c0b660e6540568
final,1,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T212956-266563/samples.jsonl,75376750,03446b1c3a9149ba415ea626591ff0aa6dc8102350cf5691da543ce3405f2052
final,1,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T212956-266563/report.json,35354946,274afb27080a9c9958a3248fdc45bd51be7b265d503d48cdd88b2df3b920760f
final,1,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T212956-266563/rosbag/rosbag_0.db3,660275200,cf059f9c98e83ad9e92733f9d93317e18ae4a75cfc823c3f00e2a7729eb45da5
final,2,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T213230-269809/metadata.json,251435,d269660b1c42b78542b552e9b7199dfd4bf28e533385798bb62f66cc6097023a
final,2,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T213230-269809/scenario.json,1390886,ec3e2944c1d9856f25bd0d0e3bcc2d7f98134cac61c2e34864494b89abcf4128
final,2,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T213230-269809/scenario.jsonl,36844126,247b60039c38fca01a21766b017104d9df8cc0c942a257b8bcc99783668249c1
final,2,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T213230-269809/samples.jsonl,64915465,c6a9f3900ac1aa7ac010c4a257ec094870415095e6d204a55cebfd1737db3315
final,2,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T213230-269809/report.json,27538926,8e5dd7d9f2d0a3bb1a6093a4fce73377cd38463aceccf08e4efc9e8c70c68800
final,2,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T213230-269809/rosbag/rosbag_0.db3,575770624,c876a5e7cecab0b60436b8d6775a03f9860a7d4e06ba08bf9cce525873514ecf
final,3,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T213446-273012/metadata.json,251435,445c5eb3f932d9fe13ca5b40224d35ca0657a99fe42dc805b5bd55ebcc5cc011
final,3,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T213446-273012/scenario.json,1154540,1d98b387e9b8e09c6a29bf60532ffebc4fbcdfe9de78d0a3440f276a006e086b
final,3,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T213446-273012/scenario.jsonl,32841001,dc213edbef04364334a2ae11b3efc526771a14747fb218b71c7e937bd7b3522d
final,3,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T213446-273012/samples.jsonl,58350173,f1f1f7b50a9ce55df20587f236dfe528b9d8c62dd9bb2b4edc43766bdaae7bf9
final,3,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T213446-273012/report.json,24850417,0bf0cfd5697e035b3484e17dcc9a8ec428cc20622bfe1b2e0c800c23cd4a969c
final,3,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T213446-273012/rosbag/rosbag_0.db3,532455424,8d56f1d32bc8f818d31125c7fa37e0333c6e6408283cf9931de6f8433b96c645
final,4,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T213648-276250/metadata.json,251435,da0e3c9f50455ec943c99379a8dc01b5b001eb67cd21aefe2a6c07ff91b8b8a0
final,4,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T213648-276250/scenario.json,1177720,efa79ed0dc838f1e1f876f8fe27c94d088843751bd430b185ad1d00fc9edf229
final,4,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T213648-276250/scenario.jsonl,34650472,83b5777af3c38ae6e8977cbc100a50007773817b1287066fae9ec9e94ac94bda
final,4,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T213648-276250/samples.jsonl,61083432,a77cfb9ea72db5a929356634165070b9640b1e8f88cdf46726cd21882e473336
final,4,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T213648-276250/report.json,25890450,e2043572e50033968ab66953445aee7d71bcb1e1c6b1bfc346786192c0543562
final,4,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T213648-276250/rosbag/rosbag_0.db3,555335680,98a39671ecd8627717be8a5ada6285feaf79a7c6835d18b526d3668e8f25692f
final,5,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T213854-279425/metadata.json,251435,2a16d93b65c1db2bfadbaa91894df58b47980943b303155e7ec3d801414b79d8
