cohort,run,writer,capture_complete,submitted_records,accepted_records,written_records,dropped_records,pending_records,snapshot_rejected_records,queue_full_drop_records,closed_rejected_records,serialization_error_count,write_error_count
final,1,scenario,True,22551,22551,22551,0,0,0,0,0,0,0
final,1,monitor,True,76518,76518,76518,0,0,0,0,0,0,0
final,2,scenario,True,18758,18758,18758,0,0,0,0,0,0,0
final,2,monitor,True,66296,66296,66296,0,0,0,0,0,0,0
final,3,scenario,True,16901,16901,16901,0,0,0,0,0,0,0
final,3,monitor,True,60550,60550,60550,0,0,0,0,0,0,0
final,4,scenario,True,17762,17762,17762,0,0,0,0,0,0,0
final,4,monitor,True,62750,62750,62750,0,0,0,0,0,0,0
final,5,scenario,True,17143,17143,17143,0,0,0,0,0,0,0
final,5,monitor,True,61257,61257,61257,0,0,0,0,0,0,0
verified,1,scenario,True,19094,19094,19094,0,0,0,0,0,0,0
verified,1,monitor,True,65402,65402,65402,0,0,0,0,0,0,0
verified,2,scenario,True,4423,4423,4423,0,0,0,0,0,0,0
verified,2,monitor,True,33284,33284,33284,0,0,0,0,0,0,0
verified,3,scenario,True,12080,12080,12080,0,0,0,0,0,0,0
verified,3,monitor,True,52791,52791,52791,0,0,0,0,0,0,0
verified,4,scenario,True,17033,17033,17033,0,0,0,0,0,0,0
verified,4,monitor,True,60685,60685,60685,0,0,0,0,0,0,0
verified,5,scenario,True,17269,17269,17269,0,0,0,0,0,0,0
verified,5,monitor,True,60881,60881,60881,0,0,0,0,0,0,0
