time_ns,status,iterations,residual_rms,map_points
1701245215591902282,SUCCEEDED,6,0.104139,3842
1701245215658233907,SUCCEEDED,7,0.0821793,5101
1701245215691392210,SUCCEEDED,6,0.0820165,6498
1701245215725162771,SUCCEEDED,5,0.152912,7012
1701245215758171108,SUCCEEDED,10,0.0730036,8092
1701245215791394737,SUCCEEDED,6,0.0597508,8981
1701245215825384643,SUCCEEDED,4,0.083543,9308
1701245215891864088,SUCCEEDED,7,0.0603557,10086
1701245215958210018,SUCCEEDED,5,0.0677957,10869
1701245215991404321,SUCCEEDED,4,0.0567379,11592
1701245216058186558,SUCCEEDED,6,0.066663,12303
1701245216091319349,SUCCEEDED,4,0.0500243,12878
1701245216125378874,SUCCEEDED,3,0.0708964,13080
1701245216191898849,SUCCEEDED,4,0.0511195,13677
1701245216258217123,SUCCEEDED,5,0.0591798,14181
1701245216291404512,SUCCEEDED,4,0.0459673,14716
1701245216325298813,SUCCEEDED,3,0.0654959,14932
1701245216358179357,SUCCEEDED,3,0.0607785,15383
1701245216391349819,SUCCEEDED,3,0.0407222,15782
1701245216425440099,SUCCEEDED,4,0.0589812,16017
1701245216491645363,SUCCEEDED,3,0.0432909,16433
1701245216558221605,SUCCEEDED,4,0.0536606,16758
1701245216591420915,SUCCEEDED,3,0.0358493,16997
1701245216625165489,SUCCEEDED,3,0.0484004,17150
1701245216691306141,SUCCEEDED,3,0.0333399,17430
1701245216725390699,SUCCEEDED,4,0.0492059,17636
1701245216791842726,SUCCEEDED,3,0.0354527,17847
1701245216858205107,SUCCEEDED,4,0.0504711,18026
1701245216891379860,SUCCEEDED,3,0.0345846,18246
1701245216925147560,SUCCEEDED,3,0.047252,18439
1701245216958185938,SUCCEEDED,3,0.065349,18707
1701245216991356638,SUCCEEDED,3,0.0406458,19017
1701245217025377300,SUCCEEDED,3,0.0578792,19330
1701245217091874388,SUCCEEDED,3,0.0393241,19642
1701245217158236053,SUCCEEDED,4,0.0478141,19745
1701245217191397932,SUCCEEDED,3,0.0404347,20085
1701245217225171592,SUCCEEDED,3,0.0486809,20392
1701245217258185413,SUCCEEDED,3,0.0512716,20527
1701245217291280296,SUCCEEDED,3,0.0395899,20830
1701245217325351503,SUCCEEDED,3,0.0542263,21186
1701245217391843345,SUCCEEDED,3,0.036862,21408
1701245217458248165,SUCCEEDED,3,0.0475553,21484
1701245217491392162,SUCCEEDED,3,0.0415694,21781
1701245217525164154,SUCCEEDED,3,0.0488665,22096
1701245217558193710,SUCCEEDED,3,0.0492124,22173
1701245217591326263,SUCCEEDED,3,0.0427952,22448
1701245217625384357,SUCCEEDED,3,0.0456858,22744
1701245217691833284,SUCCEEDED,3,0.0378118,22977
1701245217758190182,SUCCEEDED,3,0.042177,23022
1701245217791400697,SUCCEEDED,3,0.0430836,23306
1701245217825181511,SUCCEEDED,2,0.0411965,23567
1701245217858146217,SUCCEEDED,3,0.0439218,23616
1701245217891317156,SUCCEEDED,3,0.0389344,23862
1701245217925356891,SUCCEEDED,3,0.0391577,24122
1701245217991874960,SUCCEEDED,3,0.0410272,24376
1701245218058225897,SUCCEEDED,3,0.0444634,24413
1701245218091399696,SUCCEEDED,3,0.0412318,24668
1701245218125148800,SUCCEEDED,3,0.0401463,24879
1701245218191338804,SUCCEEDED,3,0.0442282,25091
1701245218225391653,SUCCEEDED,3,0.0381469,25298
1701245218291860607,SUCCEEDED,3,0.0403188,25469
1701245218358187225,SUCCEEDED,3,0.0453367,25518
1701245218391396787,SUCCEEDED,3,0.0456085,25709
1701245218425141599,SUCCEEDED,3,0.0362955,25903
1701245218458159473,SUCCEEDED,3,0.0429932,25951
1701245218491317060,SUCCEEDED,3,0.041962,26129
1701245218525358942,SUCCEEDED,3,0.0332534,26298
1701245218591842678,SUCCEEDED,3,0.0453271,26490
1701245218658176925,SUCCEEDED,3,0.0424716,26552
1701245218691380527,SUCCEEDED,3,0.0440018,26708
1701245218725158956,SUCCEEDED,3,0.0356979,26889
1701245218758175638,SUCCEEDED,2,0.0431537,26959
1701245218791354683,SUCCEEDED,3,0.0452435,27087
1701245218825455454,SUCCEEDED,3,0.0322715,27234
1701245218891846683,SUCCEEDED,3,0.0455857,27378
1701245218958204057,SUCCEEDED,3,0.0424419,27446
1701245218991395023,SUCCEEDED,3,0.0417049,27524
1701245219025145796,SUCCEEDED,3,0.0290348,27625
1701245219058196333,SUCCEEDED,3,0.0416661,27699
1701245219091331270,SUCCEEDED,3,0.0439864,27768
1701245219125353601,SUCCEEDED,3,0.0285052,27876
1701245219191854503,SUCCEEDED,3,0.0421245,27949
1701245219258181122,SUCCEEDED,3,0.0435168,28085
1701245219291358497,SUCCEEDED,3,0.0436858,28130
