record_time_ns,status,iteration_count,final_increment_norm
1785256486610845889,false,0,0.000000
1785256486643545848,false,0,0.000000
1785256486676111523,false,0,0.000000
1785256486710075527,false,0,0.000000
1785256486742463688,false,0,0.000000
1785256486776571055,false,0,0.000000
1785256486809810865,false,0,0.000000
1785256486843403216,false,0,0.000000
1785256486876624583,false,0,0.000000
1785256486909763508,false,0,0.000000
1785256486943960643,false,0,0.000000
1785256486976017086,false,0,0.000000
1785256487010149171,false,0,0.000000
1785256487042441519,false,0,0.000000
1785256487076599779,false,0,0.000000
1785256487110100012,false,0,0.000000
1785256487143517850,false,0,0.000000
1785256487176626669,false,0,0.000000
1785256487209841946,false,0,0.000000
1785256487243843647,false,0,0.000000
1785256487276177862,false,0,0.000000
1785256487310293937,false,0,0.000000
1785256487342768197,false,0,0.000000
1785256487376662843,false,0,0.000000
1785256487409861143,false,0,0.000000
1785256487443677686,false,0,0.000000
1785256487476542674,false,0,0.000000
1785256487509714760,false,0,0.000000
1785256487543646453,false,0,0.000000
1785256487576083890,false,0,0.000000
1785256487610321373,false,0,0.000000
1785256487642401393,false,0,0.000000
1785256487676387214,false,0,0.000000
1785256487709586365,false,0,0.000000
1785256487743411712,false,0,0.000000
1785256487776349184,false,0,0.000000
1785256487815294905,false,0,0.000000
1785256487852864053,false,10,0.017740
1785256487876244590,false,10,0.017740
1785256487972812382,true,6,0.000939
1785256487973204293,false,6,0.000939
1785256488017267374,true,7,0.001329
1785256488057302787,true,6,0.000123
1785256488066139013,true,5,0.000029
1785256488135003070,true,10,0.000016
1785256488174466153,true,6,0.000634
1785256488184571719,true,4,0.000042
1785256488184718214,false,4,0.000042
1785256488251529079,true,7,0.000003
1785256488251703697,false,7,0.000003
1785256488307457691,true,5,0.000458
1785256488337941854,true,4,0.000019
1785256488342324475,false,4,0.000019
1785256488412248940,true,6,0.000809
1785256488440927075,true,4,0.000171
1785256488451166048,true,3,0.000155
1785256488475842098,false,3,0.000155
1785256488538191652,true,4,0.000386
1785256488542338131,false,4,0.000386
1785256488604306745,true,5,0.000208
1785256488635426075,true,4,0.000366
1785256488652678227,true,3,0.000262
1785256488693856664,true,3,0.000059
1785256488730284533,true,3,0.000314
1785256488758272312,true,4,0.000001
1785256488776361560,false,4,0.000001
1785256488829612226,true,3,0.000290
1785256488842450099,false,3,0.000290
1785256488897523063,true,4,0.000197
1785256488928709873,true,3,0.000227
1785256488956126761,true,3,0.000010
1785256488975925221,false,3,0.000010
1785256489029526765,true,3,0.000135
1785256489061091126,true,4,0.000002
1785256489076013228,false,4,0.000002
1785256489129778736,true,3,0.000156
1785256489142863344,false,3,0.000156
1785256489193464533,true,4,0.000051
1785256489229036873,true,3,0.000046
1785256489261437755,true,3,0.000029
1785256489288530927,true,3,0.000064
1785256489329807176,true,3,0.000362
1785256489360501882,true,3,0.000330
1785256489376126611,false,3,0.000330
1785256489430560226,true,3,0.000127
1785256489442576620,false,3,0.000127
1785256489488808737,true,4,0.000001
1785256489531350829,true,3,0.000193
1785256489561187971,true,3,0.000227
1785256489585041656,true,3,0.000002
1785256489631001946,true,3,0.000042
1785256489667163133,true,3,0.000108
1785256489675847295,false,3,0.000108
1785256489730297707,true,3,0.000094
1785256489742666121,false,3,0.000094
1785256489784534181,true,3,0.000241
1785256489830094980,true,3,0.000208
1785256489865627107,true,3,0.000047
1785256489884467123,true,3,0.000067
1785256489932413008,true,3,0.000131
1785256489966078421,true,3,0.000183
1785256489976044171,false,3,0.000183
1785256490033348944,true,3,0.000188
1785256490042683721,false,3,0.000188
1785256490083284062,true,3,0.000089
1785256490136106014,true,3,0.000386
1785256490159841819,true,2,0.000261
1785256490182584971,true,3,0.000054
1785256490233478818,true,3,0.000118
1785256490266572350,true,3,0.000184
1785256490276202092,false,3,0.000184
1785256490333940446,true,3,0.000213
1785256490342375851,false,3,0.000213
1785256490382145040,true,3,0.000066
1785256490432493510,true,3,0.000308
1785256490466978815,true,3,0.000053
1785256490475867104,false,3,0.000053
1785256490530565367,true,3,0.000238
1785256490571737870,true,3,0.000079
1785256490576158455,false,3,0.000079
1785256490629837099,true,3,0.000247
1785256490642735946,false,3,0.000247
1785256490684484792,true,3,0.000001
1785256490728640601,true,3,0.000432
1785256490767021445,true,3,0.000128
1785256490784792274,true,3,0.000100
1785256490827806900,true,3,0.000153
1785256490865962362,true,3,0.000057
1785256490876073907,false,3,0.000057
1785256490930581762,true,3,0.000155
1785256490942470505,false,3,0.000155
1785256490986446516,true,3,0.000001
1785256491030290793,true,3,0.000194
1785256491064699477,true,3,0.000051
1785256491085328295,true,2,0.000072
1785256491126802817,true,3,0.000122
1785256491163961003,true,3,0.000061
1785256491176050591,false,3,0.000061
1785256491226526316,true,3,0.000121
1785256491242417278,false,3,0.000121
1785256491289473876,true,3,0.000222
1785256491323815737,true,3,0.000107
1785256491362574525,true,3,0.000265
1785256491390118063,true,3,0.000077
1785256491426830953,true,3,0.000250
1785256491464015877,true,3,0.000111
1785256491476035570,false,3,0.000111
1785256491523390702,true,3,0.000088
1785256491542361630,false,3,0.000088
1785256491592408934,true,3,0.000466
1785256491620160792,true,3,0.000173
1785256491664619324,true,3,0.000330
1785256491695144991,true,3,0.000136
1785256491720824343,true,3,0.000091
1785256491764205811,true,3,0.000161
1785256491775836409,false,3,0.000161
1785256491820813041,true,3,0.000142
