record_time_ns,trace,minimum_eigenvalue,maximum_asymmetry
1785256486610845889,0.017000,0.000000,0.000000
1785256486643545848,0.017000,0.000000,0.000000
1785256486676111523,0.017000,0.000000,0.000000
1785256486710075527,0.017000,0.000000,0.000000
1785256486742463688,0.017000,0.000000,0.000000
1785256486776571055,0.017000,0.000000,0.000000
1785256486809810865,0.017000,0.000000,0.000000
1785256486843403216,0.017000,0.000000,0.000000
1785256486876624583,0.017000,0.000000,0.000000
1785256486909763508,0.017000,0.000000,0.000000
1785256486943960643,0.017000,0.000000,0.000000
1785256486976017086,0.017000,0.000000,0.000000
1785256487010149171,0.017000,0.000000,0.000000
1785256487042441519,0.017000,0.000000,0.000000
1785256487076599779,0.017000,0.000000,0.000000
1785256487110100012,0.017000,0.000000,0.000000
1785256487143517850,0.017000,0.000000,0.000000
1785256487176626669,0.017000,0.000000,0.000000
1785256487209841946,0.017000,0.000000,0.000000
1785256487243843647,0.017000,0.000000,0.000000
1785256487276177862,0.017000,0.000000,0.000000
1785256487310293937,0.017000,0.000000,0.000000
1785256487342768197,0.017000,0.000000,0.000000
1785256487376662843,0.017000,0.000000,0.000000
1785256487409861143,0.017000,0.000000,0.000000
1785256487443677686,0.017000,0.000000,0.000000
1785256487476542674,0.017000,0.000000,0.000000
1785256487509714760,0.017000,0.000000,0.000000
1785256487543646453,0.017000,0.000000,0.000000
1785256487576083890,0.017000,0.000000,0.000000
1785256487610321373,0.017000,0.000000,0.000000
1785256487642401393,0.017000,0.000000,0.000000
1785256487676387214,0.017000,0.000000,0.000000
1785256487709586365,0.017000,0.000000,0.000000
1785256487743411712,0.017000,0.000000,0.000000
1785256487776349184,0.017000,0.000000,0.000000
1785256487815294905,0.017425,0.000000,0.000000
1785256487852864053,0.018768,0.000000,0.000000
1785256487876244590,0.018768,0.000000,0.000000
1785256487972812382,0.014324,0.000000,0.000000
1785256487973204293,0.014324,0.000000,0.000000
1785256488017267374,0.009173,0.000000,0.000000
1785256488057302787,0.007030,0.000000,0.000000
1785256488066139013,0.007537,0.000000,0.000000
1785256488135003070,0.005000,0.000000,0.000000
1785256488174466153,0.004338,0.000000,0.000000
1785256488184571719,0.004421,0.000000,0.000000
1785256488184718214,0.004421,0.000000,0.000000
1785256488251529079,0.003710,0.000000,0.000000
1785256488251703697,0.003710,0.000000,0.000000
1785256488307457691,0.003429,0.000000,0.000000
1785256488337941854,0.003252,0.000000,0.000000
1785256488342324475,0.003252,0.000000,0.000000
1785256488412248940,0.003113,0.000000,0.000000
1785256488440927075,0.002922,0.000000,0.000000
1785256488451166048,0.002947,0.000000,0.000000
1785256488475842098,0.002947,0.000000,0.000000
1785256488538191652,0.002686,0.000000,0.000000
1785256488542338131,0.002686,0.000000,0.000000
1785256488604306745,0.002586,0.000000,0.000000
1785256488635426075,0.002451,0.000000,0.000000
1785256488652678227,0.002453,0.000000,0.000000
1785256488693856664,0.002401,0.000000,0.000000
1785256488730284533,0.002328,0.000000,0.000000
1785256488758272312,0.002328,0.000000,0.000000
1785256488776361560,0.002328,0.000000,0.000000
1785256488829612226,0.002274,0.000000,0.000000
1785256488842450099,0.002274,0.000000,0.000000
1785256488897523063,0.002258,0.000000,0.000000
1785256488928709873,0.002215,0.000000,0.000000
1785256488956126761,0.002211,0.000000,0.000000
1785256488975925221,0.002211,0.000000,0.000000
1785256489029526765,0.002189,0.000000,0.000000
1785256489061091126,0.002181,0.000000,0.000000
1785256489076013228,0.002181,0.000000,0.000000
1785256489129778736,0.002166,0.000000,0.000000
1785256489142863344,0.002166,0.000000,0.000000
1785256489193464533,0.002168,0.000000,0.000000
1785256489229036873,0.002146,0.000000,0.000000
1785256489261437755,0.002141,0.000000,0.000000
1785256489288530927,0.002143,0.000000,0.000000
1785256489329807176,0.002129,0.000000,0.000000
1785256489360501882,0.002128,0.000000,0.000000
1785256489376126611,0.002128,0.000000,0.000000
1785256489430560226,0.002124,0.000000,0.000000
1785256489442576620,0.002124,0.000000,0.000000
1785256489488808737,0.002135,0.000000,0.000000
1785256489531350829,0.002117,0.000000,0.000000
