accepted_residual_count,buffer_acceptance_ratio,buffer_accepted_lidar_count,clock_domain,config_path,config_sha256,core_accepted_imu_count,core_accepted_lidar_count,corrected_estimate_valid,correction_attempt_count,correction_failure_count,correction_success_count,correction_success_ratio,covariance_maximum_asymmetry,covariance_minimum_eigenvalue,covariance_trace,deskew_applied,deskew_us,estimate_validity,final_increment_norm,ikfom_update_us,imu_samples_per_scan,invalid_timestamp_rejected_count,iteration_count,last_lidar_correction_time_ns,level,lidar_update_status,map_insert_crop_us,map_point_count,missing_bracket_rejected_count,output_time_ns,overlap_rejected_count,predicted_estimate_valid,prediction_us,preprocessing_us,processing_queue_high_water_mark,raw_lidar_count,reason,record_time_ns,registered_scan_valid,residual_build_us,residual_rms_m,ros_maximum_imu_gap_ns,ros_received_imu_count,ros_received_lidar_count,snapshot_us,status,synchronization_ratio,synchronized_group_count,total_processing_us
0,1.000000,1,,/home/letandat/Dev/uav-navigation/src/navigation_estimator/fast_lio_ros/config/mid360_mutual_avoidance_uav1.yaml,ee37646f3b4668f13cad1febce5b79dcaa5f896c91709a9ca80740c72dcb0a3e,1,1,false,0,0,0,0.000000,0.000000,0.000000,0.017000,false,0,UNAVAILABLE,0.000000,0,0,0,0,-1,1,NOT_ATTEMPTED,0,0,1,-1,0,false,0,0,1,1,No IMU sample at or before LiDAR scan start,1785256486610845889,false,0,0.000000,0,1,1,0,COLLECTING_IMU,0.000000,0,0
0,1.000000,2,,/home/letandat/Dev/uav-navigation/src/navigation_estimator/fast_lio_ros/config/mid360_mutual_avoidance_uav1.yaml,ee37646f3b4668f13cad1febce5b79dcaa5f896c91709a9ca80740c72dcb0a3e,6,2,false,0,0,0,0.000000,0.000000,0.000000,0.017000,false,0,UNAVAILABLE,0.000000,0,0,0,0,-1,1,NOT_ATTEMPTED,0,0,2,-1,0,false,0,0,1,2,No IMU sample at or before LiDAR scan start,1785256486643545848,false,0,0.000000,6082215,6,2,0,COLLECTING_IMU,0.000000,0,0
0,1.000000,3,sensor_time,/home/letandat/Dev/uav-navigation/src/navigation_estimator/fast_lio_ros/config/mid360_mutual_avoidance_uav1.yaml,ee37646f3b4668f13cad1febce5b79dcaa5f896c91709a9ca80740c72dcb0a3e,12,3,false,0,0,0,0.000000,0.000000,0.000000,0.017000,false,0,UNAVAILABLE,0.000000,0,8,0,0,-1,1,NOT_ATTEMPTED,0,0,2,-1,0,false,0,0,1,3,IMU_INITIALIZATION_NOT_READY,1785256486676111523,false,0,0.000000,6484400,12,3,0,COLLECTING_IMU,0.333333,1,0
0,1.000000,4,sensor_time,/home/letandat/Dev/uav-navigation/src/navigation_estimator/fast_lio_ros/config/mid360_mutual_avoidance_uav1.yaml,ee37646f3b4668f13cad1febce5b79dcaa5f896c91709a9ca80740c72dcb0a3e,18,4,false,0,0,0,0.000000,0.000000,0.000000,0.017000,false,0,UNAVAILABLE,0.000000,0,8,0,0,-1,1,NOT_ATTEMPTED,0,0,2,-1,0,false,0,0,1,4,IMU_INITIALIZATION_NOT_READY,1785256486710075527,false,0,0.000000,6484400,18,4,0,COLLECTING_IMU,0.500000,2,0
0,1.000000,5,,/home/letandat/Dev/uav-navigation/src/navigation_estimator/fast_lio_ros/config/mid360_mutual_avoidance_uav1.yaml,ee37646f3b4668f13cad1febce5b79dcaa5f896c91709a9ca80740c72dcb0a3e,23,5,false,0,0,0,0.000000,0.000000,0.000000,0.017000,false,0,UNAVAILABLE,0.000000,0,8,0,0,-1,1,NOT_ATTEMPTED,0,0,2,-1,1,false,0,0,1,5,OVERLAPPING_LIDAR_INTERVAL previous_synchronized_end_ns=1701245214391873863 current_scan_start_ns=1701245214391548395 current_scan_end_ns=1701245214424183395 overlap_duration_ns=325468 scan_index=2,1785256486742463688,false,0,0.000000,6484400,23,5,0,COLLECTING_IMU,0.400000,2,0
0,1.000000,6,sensor_time,/home/letandat/Dev/uav-navigation/src/navigation_estimator/fast_lio_ros/config/mid360_mutual_avoidance_uav1.yaml,ee37646f3b4668f13cad1febce5b79dcaa5f896c91709a9ca80740c72dcb0a3e,29,6,false,0,0,0,0.000000,0.000000,0.000000,0.017000,false,0,UNAVAILABLE,0.000000,0,13,0,0,-1,1,NOT_ATTEMPTED,0,0,2,-1,1,false,0,0,1,6,IMU_INITIALIZATION_NOT_READY,1785256486776571055,false,0,0.000000,6484400,29,6,0,COLLECTING_IMU,0.500000,3,0
0,1.000000,7,sensor_time,/home/letandat/Dev/uav-navigation/src/navigation_estimator/fast_lio_ros/config/mid360_mutual_avoidance_uav1.yaml,ee37646f3b4668f13cad1febce5b79dcaa5f896c91709a9ca80740c72dcb0a3e,35,7,false,0,0,0,0.000000,0.000000,0.000000,0.017000,false,0,UNAVAILABLE,0.000000,0,8,0,0,-1,1,NOT_ATTEMPTED,0,0,2,-1,1,false,0,0,1,7,IMU_INITIALIZATION_NOT_READY,1785256486809810865,false,0,0.000000,8055247,35,7,0,COLLECTING_IMU,0.571429,4,0
0,1.000000,8,sensor_time,/home/letandat/Dev/uav-navigation/src/navigation_estimator/fast_lio_ros/config/mid360_mutual_avoidance_uav1.yaml,ee37646f3b4668f13cad1febce5b79dcaa5f896c91709a9ca80740c72dcb0a3e,41,8,false,0,0,0,0.000000,0.000000,0.000000,0.017000,false,0,UNAVAILABLE,0.000000,0,8,0,0,-1,1,NOT_ATTEMPTED,0,0,2,-1,1,false,0,0,1,8,IMU_INITIALIZATION_NOT_READY,1785256486843403216,false,0,0.000000,8055247,41,8,0,COLLECTING_IMU,0.625000,5,0
0,1.000000,9,sensor_time,/home/letandat/Dev/uav-navigation/src/navigation_estimator/fast_lio_ros/config/mid360_mutual_avoidance_uav1.yaml,ee37646f3b4668f13cad1febce5b79dcaa5f896c91709a9ca80740c72dcb0a3e,47,9,false,0,0,0,0.000000,0.000000,0.000000,0.017000,false,0,UNAVAILABLE,0.000000,0,8,0,0,-1,1,NOT_ATTEMPTED,0,0,2,-1,1,false,0,0,1,9,IMU_INITIALIZATION_NOT_READY,1785256486876624583,false,0,0.000000,8055247,47,9,0,COLLECTING_IMU,0.666667,6,0
0,1.000000,10,sensor_time,/home/letandat/Dev/uav-navigation/src/navigation_estimator/fast_lio_ros/config/mid360_mutual_avoidance_uav1.yaml,ee37646f3b4668f13cad1febce5b79dcaa5f896c91709a9ca80740c72dcb0a3e,52,10,false,0,0,0,0.000000,0.000000,0.000000,0.017000,false,0,UNAVAILABLE,0.000000,0,7,0,0,-1,1,NOT_ATTEMPTED,0,0,2,-1,1,false,0,0,1,10,IMU_INITIALIZATION_NOT_READY,1785256486909763508,false,0,0.000000,8055247,52,10,0,COLLECTING_IMU,0.700000,7,0
0,1.000000,11,sensor_time,/home/letandat/Dev/uav-navigation/src/navigation_estimator/fast_lio_ros/config/mid360_mutual_avoidance_uav1.yaml,ee37646f3b4668f13cad1febce5b79dcaa5f896c91709a9ca80740c72dcb0a3e,58,11,false,0,0,0,0.000000,0.000000,0.000000,0.017000,false,0,UNAVAILABLE,0.000000,0,8,0,0,-1,1,NOT_ATTEMPTED,0,0,2,-1,1,false,0,0,1,11,IMU_INITIALIZATION_NOT_READY,1785256486943960643,false,0,0.000000,8055247,58,11,0,COLLECTING_IMU,0.727273,8,0
0,1.000000,12,,/home/letandat/Dev/uav-navigation/src/navigation_estimator/fast_lio_ros/config/mid360_mutual_avoidance_uav1.yaml,ee37646f3b4668f13cad1febce5b79dcaa5f896c91709a9ca80740c72dcb0a3e,64,12,false,0,0,0,0.000000,0.000000,0.000000,0.017000,false,0,UNAVAILABLE,0.000000,0,8,0,0,-1,1,NOT_ATTEMPTED,0,0,2,-1,2,false,0,0,1,12,OVERLAPPING_LIDAR_INTERVAL previous_synchronized_end_ns=1701245214625386741 current_scan_start_ns=1701245214624883413 current_scan_end_ns=1701245214657518413 overlap_duration_ns=503328 scan_index=9,1785256486976017086,false,0,0.000000,8055247,64,12,0,COLLECTING_IMU,0.666667,8,0
0,1.000000,13,sensor_time,/home/letandat/Dev/uav-navigation/src/navigation_estimator/fast_lio_ros/config/mid360_mutual_avoidance_uav1.yaml,ee37646f3b4668f13cad1febce5b79dcaa5f896c91709a9ca80740c72dcb0a3e,70,13,false,0,0,0,0.000000,0.000000,0.000000,0.017000,false,0,UNAVAILABLE,0.000000,0,14,0,0,-1,1,NOT_ATTEMPTED,0,0,2,-1,2,false,0,0,1,13,IMU_INITIALIZATION_NOT_READY,1785256487010149171,false,0,0.000000,8055247,70,13,0,COLLECTING_IMU,0.692308,9,0
0,1.000000,14,,/home/letandat/Dev/uav-navigation/src/navigation_estimator/fast_lio_ros/config/mid360_mutual_avoidance_uav1.yaml,ee37646f3b4668f13cad1febce5b79dcaa5f896c91709a9ca80740c72dcb0a3e,75,14,false,0,0,0,0.000000,0.000000,0.000000,0.017000,false,0,UNAVAILABLE,0.000000,0,14,0,0,-1,1,NOT_ATTEMPTED,0,0,2,-1,3,false,0,0,1,14,OVERLAPPING_LIDAR_INTERVAL previous_synchronized_end_ns=1701245214691853550 current_scan_start_ns=1701245214691558838 current_scan_end_ns=1701245214724193838 overlap_duration_ns=294712 scan_index=11,1785256487042441519,false,0,0.000000,8055247,75,14,0,COLLECTING_IMU,0.642857,9,0
0,1.000000,15,sensor_time,/home/letandat/Dev/uav-navigation/src/navigation_estimator/fast_lio_ros/config/mid360_mutual_avoidance_uav1.yaml,ee37646f3b4668f13cad1febce5b79dcaa5f896c91709a9ca80740c72dcb0a3e,81,15,false,0,0,0,0.000000,0.000000,0.000000,0.017000,false,0,UNAVAILABLE,0.000000,0,13,0,0,-1,1,NOT_ATTEMPTED,0,0,2,-1,3,false,0,0,1,15,IMU_INITIALIZATION_NOT_READY,1785256487076599779,false,0,0.000000,8055247,82,15,0,COLLECTING_IMU,0.666667,10,0
