record_time_ns,accepted_count,rms_m
1785256486610845889,0,0.000000
1785256486643545848,0,0.000000
1785256486676111523,0,0.000000
1785256486710075527,0,0.000000
1785256486742463688,0,0.000000
1785256486776571055,0,0.000000
1785256486809810865,0,0.000000
1785256486843403216,0,0.000000
1785256486876624583,0,0.000000
1785256486909763508,0,0.000000
1785256486943960643,0,0.000000
1785256486976017086,0,0.000000
1785256487010149171,0,0.000000
1785256487042441519,0,0.000000
1785256487076599779,0,0.000000
1785256487110100012,0,0.000000
1785256487143517850,0,0.000000
1785256487176626669,0,0.000000
1785256487209841946,0,0.000000
1785256487243843647,0,0.000000
1785256487276177862,0,0.000000
1785256487310293937,0,0.000000
1785256487342768197,0,0.000000
1785256487376662843,0,0.000000
1785256487409861143,0,0.000000
1785256487443677686,0,0.000000
1785256487476542674,0,0.000000
1785256487509714760,0,0.000000
1785256487543646453,0,0.000000
1785256487576083890,0,0.000000
1785256487610321373,0,0.000000
1785256487642401393,0,0.000000
1785256487676387214,0,0.000000
1785256487709586365,0,0.000000
1785256487743411712,0,0.000000
1785256487776349184,0,0.000000
1785256487815294905,0,0.000000
1785256487852864053,185,0.128659
1785256487876244590,185,0.128659
1785256487972812382,1426,0.104139
1785256487973204293,1426,0.104139
1785256488017267374,1653,0.082179
1785256488057302787,1828,0.082017
1785256488066139013,150,0.152912
1785256488135003070,1759,0.073004
1785256488174466153,1855,0.059751
1785256488184571719,537,0.083543
1785256488184718214,537,0.083543
1785256488251529079,1815,0.060356
1785256488251703697,1815,0.060356
1785256488307457691,1776,0.067796
1785256488337941854,1887,0.056738
1785256488342324475,1887,0.056738
1785256488412248940,1681,0.066663
1785256488440927075,1950,0.050024
1785256488451166048,546,0.070896
1785256488475842098,546,0.070896
1785256488538191652,2001,0.051119
1785256488542338131,2001,0.051119
1785256488604306745,1472,0.059180
1785256488635426075,1970,0.045967
1785256488652678227,695,0.065496
1785256488693856664,1432,0.060778
1785256488730284533,1942,0.040722
1785256488758272312,857,0.058981
1785256488776361560,857,0.058981
1785256488829612226,1894,0.043291
1785256488842450099,1894,0.043291
1785256488897523063,1342,0.053661
1785256488928709873,1799,0.035849
1785256488956126761,1034,0.048400
1785256488975925221,1034,0.048400
1785256489029526765,1861,0.033340
1785256489061091126,1171,0.049206
1785256489076013228,1171,0.049206
1785256489129778736,1882,0.035453
1785256489142863344,1882,0.035453
1785256489193464533,1029,0.050471
1785256489229036873,1840,0.034585
1785256489261437755,1278,0.047252
1785256489288530927,931,0.065349
1785256489329807176,1917,0.040646
1785256489360501882,1300,0.057879
1785256489376126611,1300,0.057879
1785256489430560226,1867,0.039324
1785256489442576620,1867,0.039324
1785256489488808737,741,0.047814
1785256489531350829,1945,0.040435
1785256489561187971,1502,0.048681
1785256489585041656,658,0.051272
1785256489631001946,1925,0.039590
1785256489667163133,1625,0.054226
1785256489675847295,1625,0.054226
1785256489730297707,1863,0.036862
1785256489742666121,1863,0.036862
1785256489784534181,587,0.047555
1785256489830094980,1897,0.041569
1785256489865627107,1808,0.048867
1785256489884467123,517,0.049212
1785256489932413008,1873,0.042795
1785256489966078421,1794,0.045686
1785256489976044171,1794,0.045686
1785256490033348944,1951,0.037812
1785256490042683721,1951,0.037812
1785256490083284062,491,0.042177
1785256490136106014,1954,0.043084
1785256490159841819,1808,0.041196
1785256490182584971,462,0.043922
1785256490233478818,1964,0.038934
1785256490266572350,1867,0.039158
1785256490276202092,1867,0.039158
1785256490333940446,1936,0.041027
1785256490342375851,1936,0.041027
1785256490382145040,394,0.044463
1785256490432493510,1868,0.041232
1785256490466978815,1951,0.040146
1785256490475867104,1951,0.040146
1785256490530565367,1738,0.044228
1785256490571737870,2053,0.038147
1785256490576158455,2053,0.038147
1785256490629837099,1600,0.040319
1785256490642735946,1600,0.040319
1785256490684484792,519,0.045337
1785256490728640601,1492,0.045609
1785256490767021445,2006,0.036296
1785256490784792274,583,0.042993
1785256490827806900,1501,0.041962
1785256490865962362,1936,0.033253
1785256490876073907,1936,0.033253
1785256490930581762,1457,0.045327
1785256490942470505,1457,0.045327
1785256490986446516,723,0.042472
1785256491030290793,1327,0.044002
1785256491064699477,1895,0.035698
1785256491085328295,849,0.043154
1785256491126802817,1282,0.045243
1785256491163961003,1855,0.032271
1785256491176050591,1855,0.032271
1785256491226526316,1189,0.045586
1785256491242417278,1189,0.045586
1785256491289473876,938,0.042442
1785256491323815737,1022,0.041705
1785256491362574525,1795,0.029035
1785256491390118063,970,0.041666
1785256491426830953,955,0.043986
1785256491464015877,1831,0.028505
1785256491476035570,1831,0.028505
1785256491523390702,889,0.042124
1785256491542361630,889,0.042124
1785256491592408934,1206,0.043517
1785256491620160792,724,0.043686
1785256491664619324,1870,0.032244
1785256491695144991,1303,0.046741
1785256491720824343,748,0.041508
1785256491764205811,1868,0.032962
1785256491775836409,1868,0.032962
1785256491820813041,687,0.039510
1785256491842290349,687,0.039510
1785256491900195323,1440,0.041548
1785256491919107123,571,0.037654
1785256491965877918,1852,0.031893
1785256491998956855,1570,0.041884
1785256492018157470,515,0.041393
1785256492067094305,1988,0.035889
1785256492076138480,1988,0.035889
1785256492117630390,452,0.041480
1785256492142674983,452,0.041480
1785256492197277524,1604,0.042516
1785256492216707236,422,0.044129
1785256492268030357,2001,0.036982
1785256492275985583,2001,0.036982
1785256492319086408,370,0.041822
1785256492367690322,1945,0.035722
1785256492376038838,1945,0.035722
1785256492416018835,352,0.038824
1785256492442199941,352,0.038824
1785256492494316187,1932,0.035963
1785256492515487306,307,0.046859
