record_time_ns,prediction_us,deskew_us,preprocessing_us,residual_build_us,ikfom_update_us,map_insert_crop_us,snapshot_us,total_processing_us
1785256486610845889,0,0,0,0,0,0,0,0
1785256486643545848,0,0,0,0,0,0,0,0
1785256486676111523,0,0,0,0,0,0,0,0
1785256486710075527,0,0,0,0,0,0,0,0
1785256486742463688,0,0,0,0,0,0,0,0
1785256486776571055,0,0,0,0,0,0,0,0
1785256486809810865,0,0,0,0,0,0,0,0
1785256486843403216,0,0,0,0,0,0,0,0
1785256486876624583,0,0,0,0,0,0,0,0
1785256486909763508,0,0,0,0,0,0,0,0
1785256486943960643,0,0,0,0,0,0,0,0
1785256486976017086,0,0,0,0,0,0,0,0
1785256487010149171,0,0,0,0,0,0,0,0
1785256487042441519,0,0,0,0,0,0,0,0
1785256487076599779,0,0,0,0,0,0,0,0
1785256487110100012,0,0,0,0,0,0,0,0
1785256487143517850,0,0,0,0,0,0,0,0
1785256487176626669,0,0,0,0,0,0,0,0
1785256487209841946,0,0,0,0,0,0,0,0
1785256487243843647,0,0,0,0,0,0,0,0
1785256487276177862,0,0,0,0,0,0,0,0
1785256487310293937,0,0,0,0,0,0,0,0
1785256487342768197,0,0,0,0,0,0,0,0
1785256487376662843,0,0,0,0,0,0,0,0
1785256487409861143,0,0,0,0,0,0,0,0
1785256487443677686,0,0,0,0,0,0,0,0
1785256487476542674,0,0,0,0,0,0,0,0
1785256487509714760,0,0,0,0,0,0,0,0
1785256487543646453,0,0,0,0,0,0,0,0
1785256487576083890,0,0,0,0,0,0,0,0
1785256487610321373,0,0,0,0,0,0,0,0
1785256487642401393,0,0,0,0,0,0,0,0
1785256487676387214,0,0,0,0,0,0,0,0
1785256487709586365,0,0,0,0,0,0,0,0
1785256487743411712,0,0,0,0,0,0,0,0
1785256487776349184,0,0,0,0,0,0,0,0
1785256487815294905,233,904,241,0,0,0,0,0
1785256487852864053,134,857,157,7029,7875,0,0,0
1785256487876244590,134,857,157,7029,7875,0,0,0
1785256487972812382,226,836,240,24487,30720,29813,302,62391
1785256487973204293,226,836,240,24487,30720,29813,302,62391
1785256488017267374,512,1766,405,27435,35144,2436,302,40575
1785256488057302787,133,1053,250,28132,35328,2611,302,39694
1785256488066139013,153,1053,111,4956,5467,1617,302,8619
1785256488135003070,138,918,240,42897,54240,2683,302,58408
1785256488174466153,162,1058,246,27292,35299,2064,302,39140
1785256488184571719,156,1057,115,5954,7151,1108,302,9841
1785256488184718214,156,1057,115,5954,7151,1108,302,9841
1785256488251529079,207,846,226,29080,37776,2102,302,41363
1785256488251703697,207,846,226,29080,37776,2102,302,41363
1785256488307457691,220,846,240,20758,26882,2150,302,30707
1785256488337941854,141,1007,356,17655,22990,2180,971,28076
1785256488342324475,141,1007,356,17655,22990,2180,971,28076
1785256488412248940,229,838,232,25177,31628,2029,971,35418
1785256488440927075,152,1050,256,19054,24173,2466,971,28335
1785256488451166048,155,1046,120,4299,5171,691,971,7436
1785256488475842098,155,1046,120,4299,5171,691,971,7436
1785256488538191652,238,931,270,18309,23604,2314,971,27668
1785256488542338131,238,931,270,18309,23604,2314,971,27668
1785256488604306745,273,915,213,18870,24166,1883,971,27763
1785256488635426075,142,933,274,16671,21886,2108,971,25633
1785256488652678227,116,921,146,5524,6569,868,971,8976
1785256488693856664,143,997,190,11126,13967,1681,971,17211
1785256488730284533,131,865,267,12910,16942,1864,971,20395
1785256488758272312,137,961,128,8506,10307,983,1470,14268
1785256488776361560,137,961,128,8506,10307,983,1470,14268
1785256488829612226,233,931,262,12438,16431,1575,1470,19750
1785256488842450099,233,931,262,12438,16431,1575,1470,19750
1785256488897523063,249,931,204,14442,17845,1436,1470,20979
1785256488928709873,133,869,264,11631,15555,1634,1470,18759
1785256488956126761,120,872,204,8035,9732,1084,1470,12325
1785256488975925221,120,872,204,8035,9732,1084,1470,12325
1785256489029526765,235,936,275,12448,16348,1573,1470,19671
1785256489061091126,130,865,184,11927,14550,1189,1470,17252
1785256489076013228,130,865,184,11927,14550,1189,1470,17252
1785256489129778736,240,884,293,12241,16107,1511,1470,19352
1785256489142863344,240,884,293,12241,16107,1511,1470,19352
1785256489193464533,233,902,186,11776,14058,1145,1470,16821
1785256489229036873,122,831,276,12016,15923,1682,1470,19069
1785256489261437755,116,846,226,10498,12978,1339,1758,17586
1785256489288530927,131,877,172,7759,9159,1131,1758,11649
1785256489329807176,147,867,282,12874,16867,1832,1758,20287
1785256489360501882,134,889,206,10789,13408,1626,1758,16722
1785256489376126611,134,889,206,10789,13408,1626,1758,16722
1785256489430560226,256,931,312,13230,16969,1651,1758,20412
1785256489442576620,256,931,312,13230,16969,1651,1758,20412
1785256489488808737,259,910,146,8375,9892,801,1758,12208
1785256489531350829,138,934,299,14060,18015,1998,1758,21623
1785256489561187971,138,930,264,12138,14439,1767,1758,17792
1785256489585041656,109,837,142,5414,6367,735,1758,8364
1785256489631001946,124,840,272,13831,17767,1941,1758,21180
1785256489667163133,139,947,254,13998,17161,2235,2273,23313
1785256489675847295,139,947,254,13998,17161,2235,2273,23313
1785256489730297707,254,878,277,12978,16761,1717,2273,20259
1785256489742666121,254,878,277,12978,16761,1717,2273,20259
1785256489784534181,210,835,130,5129,6000,584,2273,7973
1785256489830094980,130,863,258,13230,16954,1908,2273,20384
1785256489865627107,135,859,262,14994,18210,2224,2273,22070
1785256489884467123,123,930,131,4829,5643,637,2273,7715
1785256489932413008,140,929,289,14774,18525,2200,2273,22334
1785256489966078421,140,941,282,14881,18164,2117,2273,22057
