record_time_ns,trace,minimum_eigenvalue,maximum_asymmetry
1785252866496077470,0.017000,0.000000,0.000000
1785252866529265016,0.017000,0.000000,0.000000
1785252866561509693,0.017000,0.000000,0.000000
1785252866595735238,0.017000,0.000000,0.000000
1785252866627950592,0.017000,0.000000,0.000000
1785252866661951149,0.017000,0.000000,0.000000
1785252866695185450,0.017000,0.000000,0.000000
1785252866728846306,0.017000,0.000000,0.000000
1785252866761825050,0.017000,0.000000,0.000000
1785252866795011783,0.017000,0.000000,0.000000
1785252866829041533,0.017000,0.000000,0.000000
1785252866861256911,0.017000,0.000000,0.000000
1785252866895548186,0.017000,0.000000,0.000000
1785252866927617755,0.017000,0.000000,0.000000
1785252866961990647,0.017000,0.000000,0.000000
1785252866995466821,0.017000,0.000000,0.000000
1785252867028799786,0.017000,0.000000,0.000000
1785252867061798389,0.017000,0.000000,0.000000
1785252867095008952,0.017000,0.000000,0.000000
1785252867128819769,0.017000,0.000000,0.000000
1785252867161389931,0.017000,0.000000,0.000000
1785252867195698756,0.017000,0.000000,0.000000
1785252867228075441,0.017000,0.000000,0.000000
1785252867262065056,0.017000,0.000000,0.000000
1785252867295130651,0.017000,0.000000,0.000000
1785252867328867348,0.017000,0.000000,0.000000
1785252867361943559,0.017000,0.000000,0.000000
1785252867394844766,0.017000,0.000000,0.000000
1785252867428974144,0.017000,0.000000,0.000000
1785252867461193463,0.017000,0.000000,0.000000
1785252867495506654,0.017000,0.000000,0.000000
1785252867527561866,0.017000,0.000000,0.000000
1785252867561674934,0.017000,0.000000,0.000000
1785252867594948328,0.017000,0.000000,0.000000
1785252867628953961,0.017000,0.000000,0.000000
1785252867661780383,0.017000,0.000000,0.000000
1785252867701038613,0.017425,0.000000,0.000000
1785252867737992218,0.018768,0.000000,0.000000
1785252867761075482,0.018768,0.000000,0.000000
1785252867846488696,0.014324,0.000000,0.000000
1785252867846660677,0.014324,0.000000,0.000000
1785252867893933668,0.009173,0.000000,0.000000
1785252867927921778,0.007030,0.000000,0.000000
1785252867936386333,0.007537,0.000000,0.000000
