record_time_ns,prediction_us,deskew_us,preprocessing_us,residual_build_us,ikfom_update_us,map_insert_crop_us,snapshot_us,total_processing_us
1785252866496077470,0,0,0,0,0,0,0,0
1785252866529265016,0,0,0,0,0,0,0,0
1785252866561509693,0,0,0,0,0,0,0,0
1785252866595735238,0,0,0,0,0,0,0,0
1785252866627950592,0,0,0,0,0,0,0,0
1785252866661951149,0,0,0,0,0,0,0,0
1785252866695185450,0,0,0,0,0,0,0,0
1785252866728846306,0,0,0,0,0,0,0,0
1785252866761825050,0,0,0,0,0,0,0,0
1785252866795011783,0,0,0,0,0,0,0,0
1785252866829041533,0,0,0,0,0,0,0,0
1785252866861256911,0,0,0,0,0,0,0,0
1785252866895548186,0,0,0,0,0,0,0,0
1785252866927617755,0,0,0,0,0,0,0,0
1785252866961990647,0,0,0,0,0,0,0,0
1785252866995466821,0,0,0,0,0,0,0,0
1785252867028799786,0,0,0,0,0,0,0,0
1785252867061798389,0,0,0,0,0,0,0,0
1785252867095008952,0,0,0,0,0,0,0,0
1785252867128819769,0,0,0,0,0,0,0,0
1785252867161389931,0,0,0,0,0,0,0,0
1785252867195698756,0,0,0,0,0,0,0,0
1785252867228075441,0,0,0,0,0,0,0,0
1785252867262065056,0,0,0,0,0,0,0,0
1785252867295130651,0,0,0,0,0,0,0,0
1785252867328867348,0,0,0,0,0,0,0,0
1785252867361943559,0,0,0,0,0,0,0,0
1785252867394844766,0,0,0,0,0,0,0,0
1785252867428974144,0,0,0,0,0,0,0,0
1785252867461193463,0,0,0,0,0,0,0,0
1785252867495506654,0,0,0,0,0,0,0,0
1785252867527561866,0,0,0,0,0,0,0,0
1785252867561674934,0,0,0,0,0,0,0,0
1785252867594948328,0,0,0,0,0,0,0,0
1785252867628953961,0,0,0,0,0,0,0,0
1785252867661780383,0,0,0,0,0,0,0,0
1785252867701038613,232,1347,263,0,0,0,0,0
1785252867737992218,134,863,235,7217,7896,0,0,0
1785252867761075482,134,863,235,7217,7896,0,0,0
1785252867846488696,447,1680,320,22299,25513,22729,229,51066
1785252867846660677,447,1680,320,22299,25513,22729,229,51066
1785252867893933668,302,878,212,24090,28024,2231,229,32018
1785252867927921778,123,932,210,24584,28662,2496,229,32670
1785252867936386333,137,935,93,4378,4719,1407,229,7385
1785252868012437908,189,1425,258,39229,46433,1943,229,50422
1785252868043636353,140,918,206,23763,27663,1928,229,31101
1785252868052080537,137,938,95,5248,5956,938,229,8250
1785252868061837448,137,938,95,5248,5956,938,229,8250
1785252868129569764,225,871,237,25844,30626,1774,229,33885
1785252868129640953,225,871,237,25844,30626,1774,229,33885
1785252868187733678,228,899,240,18958,22239,1873,229,25767
1785252868217217618,121,909,242,15380,17984,1789,782,22130
1785252868227605407,121,909,242,15380,17984,1789,782,22130
1785252868291294226,238,876,229,22436,25764,1793,782,29351
1785252868317113273,136,967,217,16186,18934,1857,782,22362
1785252868335437796,143,940,117,3939,4476,575,782,6535
1785252868361151709,143,940,117,3939,4476,575,782,6535
1785252868420383228,320,1673,362,17135,20210,2118,782,24873
1785252868427662546,320,1673,362,17135,20210,2118,782,24873
1785252868485159596,367,1668,301,16530,18961,1420,782,23161
1785252868516322746,132,859,203,15346,18286,1766,782,21431
1785252868537336538,114,914,116,5538,6254,808,782,8442
1785252868576785853,130,952,202,10416,11996,1312,782,14783
1785252868611337410,122,820,255,11257,13420,1401,782,16234
1785252868641376806,129,924,129,7771,8787,723,1159,12127
1785252868661386877,129,924,129,7771,8787,723,1159,12127
1785252868712681079,242,927,269,11836,14050,1546,1159,17272
1785252868727752152,242,927,269,11836,14050,1546,1159,17272
1785252868780968454,270,926,214,13953,15789,1317,1159,18966
1785252868811207723,139,928,272,10630,12792,1458,1159,15825
1785252868840385147,124,911,151,8018,9048,914,1159,11423
1785252868861067926,124,911,151,8018,9048,914,1159,11423
1785252868911056915,251,928,283,11046,12989,1295,1159,15941
1785252868944467743,148,876,186,11364,12910,1102,1159,15538
1785252868961224657,148,876,186,11364,12910,1102,1159,15538
1785252869012751259,221,865,280,12362,14467,1346,1159,17397
