record_time_ns,header_ns,timebase_ns,point_count,offset_min_ns,offset_max_ns,offset_regressions,scan_start_ns,scan_end_ns,frame_id,imu_sample_count,first_imu_ns,last_imu_ns,start_bracket,end_bracket,maximum_imu_gap_ns
1701245214302987347,1701245214258688450,1701245214258688450,6528,0,32635000,0,1701245214258688450,1701245214291323450,livox_frame,1,1701245214304233295,1701245214304233295,0,0,0
1701245214337028674,1701245214292727709,1701245214292727709,6528,0,32635000,0,1701245214292727709,1701245214325362709,livox_frame,5,1701245214304233295,1701245214326237213,0,1,6082215
1701245214369395990,1701245214325081587,1701245214325081587,6528,0,32635000,0,1701245214325081587,1701245214357716587,livox_frame,8,1701245214320154998,1701245214362395489,1,1,6484400
1701245214403583900,1701245214359238863,1701245214359238863,6528,0,32635000,0,1701245214359238863,1701245214391873863,livox_frame,8,1701245214356187744,1701245214396339140,1,1,6207745
1701245214435882279,1701245214391548395,1701245214391548395,6528,0,32635000,0,1701245214391548395,1701245214424183395,livox_frame,7,1701245214390331035,1701245214425308542,1,1,6127817
1701245214469848631,1701245214425586462,1701245214425586462,6528,0,32635000,0,1701245214425586462,1701245214458221462,livox_frame,7,1701245214425308542,1701245214459192518,1,1,6119335
1701245214503150305,1701245214458816767,1701245214458816767,6528,0,32635000,0,1701245214458816767,1701245214491451767,livox_frame,8,1701245214453139323,1701245214495350726,1,1,8055247
1701245214536841686,1701245214492572784,1701245214492572546,6528,0,32635000,0,1701245214492572546,1701245214525207546,livox_frame,8,1701245214489447740,1701245214529193401,1,1,6145782
1701245214569935602,1701245214525591373,1701245214525591373,6528,0,32635000,0,1701245214525591373,1701245214558226373,livox_frame,8,1701245214523216927,1701245214562167206,1,1,6494999
1701245214603081785,1701245214558746815,1701245214558746815,6528,0,32635000,0,1701245214558746815,1701245214591381815,livox_frame,7,1701245214558190679,1701245214592161969,1,1,6015583
1701245214637175064,1701245214592751503,1701245214592751741,6528,0,32635000,0,1701245214592751741,1701245214625386741,livox_frame,7,1701245214592161969,1701245214626299573,1,1,6359029
1701245214669305278,1701245214624883413,1701245214624883413,6528,0,32635000,0,1701245214624883413,1701245214657518413,livox_frame,8,1701245214620419200,1701245214660291599,1,1,6140243
1701245214703526237,1701245214659218550,1701245214659218550,6528,0,32635000,0,1701245214659218550,1701245214691853550,livox_frame,8,1701245214654331890,1701245214696192133,1,1,6143950
1701245214735859396,1701245214691558838,1701245214691558838,6528,0,32635000,0,1701245214691558838,1701245214724193838,livox_frame,7,1701245214690195453,1701245214724258527,1,1,6197936
