event,timestamp_ns,planner_result,planning_failure_stage,planning_failure_reason,emergency_authorization_reason,emergency_candidate_commit_result,raw_retained_anchor_error_m,time_aligned_retained_anchor_error_m,retained_suffix_usable,tracking_certificate_exceeded,projected_tracking_certificate_exceeded,aligned_LIO_tracking_error_m,px4_tracking_error_m,frame_position_residual_m,frame_velocity_residual_mps,planner_velocity_norm_mps,planner_acceleration_norm_mps2,PX4_effective_velocity_setpoint,PX4_effective_acceleration_setpoint,delta_v_px4_controller_mps,delta_a_px4_controller_mps2,command_gap_ms,setpoint_gap_ms,external_mode_output_state,analytic_role,NavigationCommand_role,recovery_state,safety_suffix_active
bundle_activation_first,23064000000,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,4.232395941161326e-05,4.232395941161326e-05,0.0,0.012810894666068206,0.03730201149683061,0.00017108999393727314,"-0.0043802317231893539,-0.0057673165574669838,-0.00062274932861328125","-0.040441019460558891,-0.018940630368888378,0.18516910076141357",0.03927583584912618,0.19049155072957585,NOT_RECORDED,NOT_RECORDED,WAIT_FIRST_COMMAND,MAIN,MAIN,TRACK_MAIN,False
gen2_activation,29048000000,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,0.13391529046791872,0.0479478934997001,0.09068095541653026,0.12704739382778624,0.7564397593978365,1.7409691824486044,"0.057423699647188187,0.7492741197347641,-0.0016578389331698418","0.020617577712982893,2.2993972301483154,0.17716047167778015",0.01705240414063086,0.5699315065963939,28.0,40.0,TRACK_TRAJECTORY,MAIN,MAIN,TRACK_MAIN,False
sustained_error_growth_start,27515487170,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,0.1007906480874,0.035146231401463786,0.07718820403587413,0.028477071622084377,0.5817395762773667,0.17372388835607458,"0.032286979258060455,0.59135973453521729,-0.020482877269387245","-0.059106916189193726,-0.10463270545005798,-0.018720222637057304",0.020408431441880332,0.0883495792029275,4.0,0.0,WAIT_FIRST_COMMAND,MAIN,MAIN,TRACK_MAIN,False
tracking_error_0.10_m,27515487170,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,0.1007906480874,0.035146231401463786,0.07718820403587413,0.028477071622084377,0.5817395762773667,0.17372388835607458,"0.032286979258060455,0.59135973453521729,-0.020482877269387245","-0.059106916189193726,-0.10463270545005798,-0.018720222637057304",0.020408431441880332,0.0883495792029275,4.0,0.0,WAIT_FIRST_COMMAND,MAIN,MAIN,TRACK_MAIN,False
tracking_error_0.20_m,29216250989,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,0.19916569462911893,0.09700436783791581,0.1089265179324412,0.11641700235152042,1.034543418035072,1.7291157519575548,"0.058630780006448426,1.0766542553901672,0.021545933869977791","0.031923365779221058,2.5355259577433267,0.30992791056632996",0.04743489369408797,0.8494374740407955,8.0,0.0,TRACK_TRAJECTORY,MAIN,MAIN,TRACK_MAIN,False
T_cross,29319484858,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,0.2520867060914677,0.14617934364896212,0.11547568741995373,0.10509008876073063,1.2560701249194615,2.242222688289597,"0.057435741648077965,1.2913189828395844,0.034058280289173126","0.00027893879450857639,3.096526563167572,0.3385385200381279",0.044546032954632796,0.9135386312622598,4.0,0.0,TRACK_TRAJECTORY,MAIN,MAIN,TRACK_MAIN,False
injected_solve_start,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED
planner_failure_return,29932000000,4,7,12,NOT_RECORDED,NOT_RECORDED,0.4532910267671672,0.4428736168588373,False,True,True,0.4428736168588373,0.3840723639724445,0.08973983156927438,0.17506423356585937,2.706758756054234,1.5344367413610973,"-0.0049772710772231221,3.0397135019302368,0.094443734735250473","-0.17092674970626831,2.7445544004440308,0.46188222616910934",0.3475186566961197,1.314583565781229,4.0,0.0,TRACK_TRAJECTORY,MAIN,MAIN,TRACK_MAIN,False
emergency_authorization,29932000000,4,7,12,1,1,0.4532910267671672,0.4428736168588373,False,True,True,0.4428736168588373,0.3840723639724445,0.08973983156927438,0.17506423356585937,2.706758756054234,1.5344367413610973,"-0.0049772710772231221,3.0397135019302368,0.094443734735250473","-0.17092674970626831,2.7445544004440308,0.46188222616910934",0.3475186566961197,1.314583565781229,4.0,0.0,TRACK_TRAJECTORY,MAIN,MAIN,TRACK_MAIN,False
emergency_activation,29924000000,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,1,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,0.044469641594378176,0.07112218070621902,0.08966745221312934,0.17767970982572484,2.7934727904279417,0.023581886342196556,"-0.0054653983097523451,3.0468471050262451,0.094457469880580902","-0.17042246460914612,2.7091789245605469,0.45369432866573334",0.2583372019340987,2.772303875654192,4.0,0.0,TRACK_TRAJECTORY,EMERGENCY,EMERGENCY,EMERGENCY_BRAKE,True
