timestamp_ns,bundle_generation,trajectory_time_s,analytic_role,NavigationCommand_role,recovery_state,safety_suffix_active,planner_position,planner_velocity,planner_acceleration,planner_jerk,LIO_position,LIO_velocity,ground_truth_position,ground_truth_velocity,PX4_input_trajectory_position,PX4_input_trajectory_velocity,PX4_input_trajectory_acceleration,PX4_effective_position_setpoint,PX4_effective_velocity_setpoint,PX4_effective_acceleration_setpoint,PX4_position,PX4_velocity,aligned_lio_tracking_error_m,px4_tracking_error_m,frame_position_residual_m,frame_velocity_residual_mps,delta_v_px4_controller_mps,delta_a_px4_controller_mps2,command_gap_ms,setpoint_gap_ms,external_mode_output_state,external_mode_reason,lio_source_age_ms,ground_truth_source_age_ms,px4_state_source_age_ms,px4_setpoint_source_age_ms,planner_speed_mps,planner_acceleration_mps2,planner_lateral_acceleration_mps2,planner_jerk_mps3,lio_gt_position_error_m,lio_gt_velocity_error_mps,px4_gt_position_error_m,px4_gt_velocity_error_mps,gt_tracking_error_m,segment_id
35156000000,1,0.016,MAIN,MAIN,TRACK_MAIN,False,"[-0.6275765790864731,-0.17131569493326332,2.734477561300077]","[-0.014433304353295713,-0.023837343990706347,0.022308059069327965]","[0.004342215350375392,0.00022643567224918396,3.888014767875262e-05]","[0.536225251897595,0.027959990548731148,0.004797577840042387]","[-0.6293115011910121,-0.16848922973904967,2.732754746427247]","[-0.045694496548767165,-0.04312612275086219,0.039670957832862286]","[-0.9721088248799956,-0.323776525901263,2.7971266827102945]","[-0.2379481103144484,-0.055645510549073,0.036025428461003234]","[-0.6275765790864731,-0.17131569493326332,2.734477561300077]","[0.0,0.0,-0.0]","[0.0,0.0,-0.0]","[-0.576853334903717,-1.4903247356414795,2.9420535564422607]","[0.027097167447209358,-0.000963551108725369,0.04376190807670355]","[0.18237848579883575,0.16391345486044884,-0.09598421864211559]","[-0.6009481549263,-1.4894624948501587,2.91754150390625]","[-0.03914861008524895,-0.0610121488571167,0.04452028498053551]",0.0037372384575999,1.3310644109835266,1.2292614653882452,0.19905327097386838,0.08450443341367636,0.26047621354532896,NOT_RECORDED,NOT_RECORDED,WAIT_FIRST_COMMAND,WAIT_FIRST_COMMAND,12.0,16.0,12.0,12.0,0.035695780458294434,0.0043482891956016624,0.00391959605595185,0.5369751377831711,0.3817956202715393,0.19269529563849455,1.2292614653882452,0.19905327097386838,0.38193151975773526,LAT_LOW
35172000000,1,0.016,MAIN,MAIN,TRACK_MAIN,False,"[-0.6275765790864731,-0.17131569493326332,2.734477561300077]","[-0.014433304353295713,-0.023837343990706347,0.022308059069327965]","[0.004342215350375392,0.00022643567224918396,3.888014767875262e-05]","[0.536225251897595,0.027959990548731148,0.004797577840042387]","[-0.6300349479415671,-0.16918368029581254,2.733347752470951]","[-0.04193591012721307,-0.03920380054993443,0.03903969491642235]","[-0.9758248609923412,-0.3245579399529093,2.7977521860636965]","[-0.23529979947129584,-0.051672052532833045,0.03558160808697217]","[-0.6275765790864731,-0.17131569493326332,2.734477561300077]","[0.0,0.0,-0.0]","[0.0,0.0,-0.0]",NOT_RECORDED,"[0.0008555054664611816,0.00036278367042541504,-0.000255743662516276]","[0.09739010035991669,0.1586382711927096,-0.26704151431719464]","[-0.6023526787757874,-1.4900827407836914,2.918172836303711]","[-0.037413641810417175,-0.05780162662267685,0.04410412535071373]",0.003444638127927468,1.33173823269688,1.2298091987155801,0.19816441752448846,0.03626245510057954,0.323324074633329,16.0,16.0,WAIT_FIRST_COMMAND,WAIT_FIRST_COMMAND,16.0,12.0,20.0,20.0,0.035695780458294434,0.0043482891956016624,0.00391959605595185,0.5369751377831711,0.3845253640503513,0.19379630898007258,1.2298091987155801,0.19816441752448846,0.3856990143207875,LAT_LOW
35188000000,1,0.016,MAIN,MAIN,TRACK_MAIN,False,"[-0.6275765790864731,-0.17131569493326332,2.734477561300077]","[-0.014433304353295713,-0.023837343990706347,0.022308059069327965]","[0.004342215350375392,0.00022643567224918396,3.888014767875262e-05]","[0.536225251897595,0.027959990548731148,0.004797577840042387]","[-0.6307016976071455,-0.16981547437131325,2.733936967033783]","[-0.037123945594506845,-0.03486365318182465,0.03742767643559562]","[-0.9794719380441967,-0.3252788978550206,2.798349876496517]","[-0.2318051260365362,-0.04768070320103183,0.034610281511202635]","[-0.6275765790864731,-0.17131569493326332,2.734477561300077]","[0.0,0.0,-0.0]","[0.0,0.0,-0.0]","[-0.6009481549263,-1.4894624948501587,2.91754150390625]","[0.004277527332305908,0.0018139183521270752,-0.0012787183125813804]","[0.1007462590932846,0.15402708699305853,-0.26367007692654926]","[-0.6043701767921448,-1.4909136295318604,2.9190759658813477]","[-0.0345308855175972,-0.053032442927360535,0.04097749665379524]",0.003508456877816344,1.3326491725425262,1.2304391279717513,0.19744950878413098,0.038686579169170614,0.31939192791043136,16.0,16.0,WAIT_FIRST_COMMAND,WAIT_FIRST_COMMAND,20.0,12.0,20.0,20.0,0.035695780458294434,0.0043482891956016624,0.00391959605595185,0.5369751377831711,0.38724485737224124,0.19512297789767571,1.2304391279717513,0.19744950878413098,0.38937730308592045,LAT_LOW
35204000000,1,0.016,MAIN,MAIN,TRACK_MAIN,False,"[-0.6275765790864731,-0.17131569493326332,2.734477561300077]","[-0.014433304353295713,-0.023837343990706347,0.022308059069327965]","[0.004342215350375392,0.00022643567224918396,3.888014767875262e-05]","[0.536225251897595,0.027959990548731148,0.004797577840042387]","[-0.6312361212598382,-0.1703574826092971,2.7344780243887508]","[-0.02976853683692932,-0.0301901021505962,0.033296945768077416]","[-0.9830336561622828,-0.3259398336172168,2.79889865977553]","[-0.2271414825289478,-0.04364600211473336,0.032608047260725304]","[-0.6275765790864731,-0.17131569493326332,2.734477561300077]","[0.0,0.0,-0.0]","[0.0,0.0,-0.0]","[-0.6015732437372208,-1.4900548160076141,2.9180938601493835]","[0.005651436746120453,0.0018058866262435913,-0.0013754963874816895]","[0.0979497991502285,0.14540154486894608,-0.24915845692157745]","[-0.6056644320487976,-1.4913737773895264,2.919600486755371]","[-0.03251766413450241,-0.049917932599782944,0.03628115355968475]",0.0037829115758750364,1.333155647617724,1.2309397790472791,0.19475949144605717,0.0396417922582219,0.30250314667071543,16.0,16.0,WAIT_FIRST_COMMAND,WAIT_FIRST_COMMAND,16.0,16.0,12.0,12.0,0.035695780458294434,0.0043482891956016624,0.00391959605595185,0.5369751377831711,0.39002229650652614,0.19783229138879926,1.2309397790472791,0.19475949144605717,0.392948388259599,LAT_LOW
35220000000,1,0.016,MAIN,MAIN,TRACK_MAIN,False,"[-0.6275765790864731,-0.17131569493326332,2.734477561300077]","[-0.014433304353295713,-0.023837343990706347,0.022308059069327965]","[0.004342215350375392,0.00022643567224918396,3.888014767875262e-05]","[0.536225251897595,0.027959990548731148,0.004797577840042387]","[-0.6289551110510789,-0.17075776358759623,2.7343176964046685]","[-0.019621378587375504,-0.025330070384041666,0.027022972604446135]","[-0.9864995269557149,-0.32654213090735557,2.799377024458873]","[-0.2212203963829889,-0.039615864215853586,0.029084443444482633]","[-0.6275765790864731,-0.17131569493326332,2.734477561300077]","[0.0,0.0,-0.0]","[0.0,0.0,-0.0]","[-0.6021156013011932,-1.4905909895896912,2.9186161756515503]","[0.00671754777431488,0.0015833079814910889,-0.001294255256652832]","[0.09454696625471115,0.13578573614358902,-0.22914397716522217]","[-0.607523500919342,-1.4919192790985107,2.920220375061035]","[-0.02944067493081093,-0.0451473705470562,0.028056591749191284]",0.0014957254255717639,1.3337527302007344,1.231393455082992,0.19186223078468212,0.040394470316277284,0.2804690840846654,16.0,16.0,WAIT_FIRST_COMMAND,WAIT_FIRST_COMMAND,12.0,20.0,12.0,12.0,0.035695780458294434,0.0043482891956016624,0.00391959605595185,0.5369751377831711,0.39539789404177356,0.2021150601602597,1.231393455082992,0.19186223078468212,0.39639988553311317,LAT_LOW
35236000000,1,0.016,MAIN,MAIN,TRACK_MAIN,False,"[-0.6275765790864731,-0.17131569493326332,2.734477561300077]","[-0.014433304353295713,-0.023837343990706347,0.022308059069327965]","[0.004342215350375392,0.00022643567224918396,3.888014767875262e-05]","[0.536225251897595,0.027959990548731148,0.004797577840042387]","[-0.6274449150449631,-0.1711078979738476,2.7342796644460687]","[-0.012355856207809652,-0.020878148189454722,0.0207659132907005]","[-0.9898665356627454,-0.32706636414788187,2.799746868179108]","[-0.21546993764313693,-0.035626065737027875,0.024182950035598283]","[-0.6275765790864731,-0.17131569493326332,2.734477561300077]","[0.0,0.0,-0.0]","[0.0,0.0,-0.0]","[-0.6017788747946421,-1.4910032749176025,2.918872276941935]","[0.009055405855178833,0.0014713704586029053,-0.0014158089955647786]","[0.09530787169933319,0.1263906036814054,-0.20908498764038086]","[-0.607523500919342,-1.4919192790985107,2.920220375061035]","[-0.02944067493081093,-0.0451473705470562,0.028056591749191284]",0.0003157184837724663,1.3337527302007344,1.2319019342245559,0.18631303478474703,0.04208773914622737,0.2600703051657854,16.0,16.0,WAIT_FIRST_COMMAND,WAIT_FIRST_COMMAND,12.0,16.0,20.0,20.0,0.035695780458294434,0.0043482891956016624,0.00391959605595185,0.5369751377831711,0.3999480329082772,0.20367745896250464,1.2319019342245559,0.18631303478474703,0.3997153562440501,LAT_LOW
35252000000,1,0.016,MAIN,MAIN,TRACK_MAIN,False,"[-0.6275765790864731,-0.17131569493326332,2.734477561300077]","[-0.014433304353295713,-0.023837343990706347,0.022308059069327965]","[0.004342215350375392,0.00022643567224918396,3.888014767875262e-05]","[0.536225251897595,0.027959990548731148,0.004797577840042387]","[-0.6276287946786343,-0.1714333328687216,2.7345717227004074]","[-0.009083210397412887,-0.016762782075278333,0.015340029254372516]","[-0.9931861854825067,-0.327533454574966,2.8000365926263378]","[-0.21092577071240715,-0.031662444141968185,0.019052820416278596]","[-0.6275765790864731,-0.17131569493326332,2.734477561300077]","[0.0,0.0,-0.0]","[0.0,0.0,-0.0]","[-0.5990959902604421,-1.4912974834442139,2.918543895085653]","[0.014833599328994751,0.0014195144176483154,-0.002015034357706706]","[0.1071154922246933,0.11730964730183284,-0.19068193435668945]","[-0.6092773675918579,-1.4923087358474731,2.920626640319824]","[-0.026491019874811172,-0.0404052734375,0.01975705288350582]",0.00015947263475524584,1.3341697624009459,1.232326821878174,0.18464319734012627,0.046460311795837116,0.24603187844366542,16.0,16.0,WAIT_FIRST_COMMAND,WAIT_FIRST_COMMAND,16.0,12.0,20.0,20.0,0.035695780458294434,0.0043482891956016624,0.00391959605595185,0.5369751377831711,0.40284625251137485,0.20242579851003573,1.232326821878174,0.18464319734012627,0.40295453751629723,LAT_LOW
35268000000,1,0.016,MAIN,MAIN,TRACK_MAIN,False,"[-0.6275765790864731,-0.17131569493326332,2.734477561300077]","[-0.014433304353295713,-0.023837343990706347,0.022308059069327965]","[0.004342215350375392,0.00022643567224918396,3.888014767875262e-05]","[0.536225251897595,0.027959990548731148,0.004797577840042387]","[-0.6277670247622842,-0.17169338180592197,2.7347857781780625]","[-0.006352537192583204,-0.012246274751104763,0.010213687004527468]","[-0.9964684209117928,-0.32794217738455606,2.8002505826794994]","[-0.20748095477285178,-0.02769985486443027,0.013974302039582593]","[-0.598656476,-1.49175251,2.91881871]","[-0.0144333048,-0.0238373447,0.022308059]","[0.00434221514,0.000226435674,3.88801491e-05]","[-0.598611906170845,-1.4916965663433075,2.9187598824501038]","[0.017254069447517395,0.0011046677827835083,-0.001987636089324951]","[0.1085053738206625,0.10700118541717529,-0.17098971083760262]","[-0.6103937029838562,-1.4924744367599487,2.920787811279297]","[-0.02445916086435318,-0.03716937452554703,0.014686127193272114]",0.000523368486908436,1.3343414786266474,1.232768548604162,0.18326798832078295,0.04840302084104714,0.22690830547888513,16.0,16.0,WAIT_FIRST_COMMAND,WAIT_FIRST_COMMAND,20.0,12.0,12.0,12.0,0.035695780458294434,0.0043482891956016624,0.00391959605595185,0.5369751377831711,0.40575860591093077,0.20175627802401527,1.232768548604162,0.18326798832078295,0.406126995300386,LAT_LOW
35284000000,1,0.032,MAIN,MAIN,TRACK_MAIN,False,"[-0.6278065032249807,-0.17169703983869258,2.73483449927146]","[-0.014273557662570479,-0.023829014610630507,0.022309488080486717]","[0.01695279224730247,0.0008838681186787914,0.00015155601373352442]","[1.0337470296229891,0.05388528292346857,0.009226436184409572]","[-0.6278517831027312,-0.17186370077694538,2.734907105195615]","[-0.0039626789270691964,-0.008072725480708295,0.005823348486161559]","[-0.9997186329077654,-0.32829145775785695,2.8003944881628224]","[-0.20487045389057185,-0.023705201126357652,0.009162792727842298]","[-0.598886371,-1.49213386,2.91917562]","[-0.0142735578,-0.023829015,0.0223094877]","[0.0169527922,0.000883868139,0.000151556014]","[-0.5988333076238632,-1.4920516610145569,2.919096529483795]","[0.007839133031666279,-0.01713741710409522,0.014982182998210192]","[0.08770212531089783,0.04315059119835496,-0.08508706837892532]","[-0.6114636659622192,-1.4925634860992432,2.920866012573242]","[-0.022544877603650093,-0.03389561548829079,0.010137663222849369]",0.00018734395077189914,1.334002616612173,1.233200982617928,0.18261273418277285,0.04900757082162752,0.12424884592024067,16.0,16.0,WAIT_FIRST_COMMAND,WAIT_FIRST_COMMAND,16.0,16.0,12.0,12.0,0.035626810747999116,0.016976494251072994,0.0153324074584703,1.0351916112946242,0.40870918079472196,0.2015427007446326,1.233200982617928,0.18261273418277285,0.4088258260825287,LAT_LOW
35300000000,1,0.048,MAIN,MAIN,TRACK_MAIN,False,"[-0.6280319240823418,-0.17207814996398002,2.7351914774914454]","[-0.013849971717967403,-0.023806932645007883,0.022313271444181583]","[0.0372221225141518,0.0019402529330384542,0.00033222231039252035]","[1.4937687136626818,0.07783958702150248,0.013298327900694079]","[-0.6278969508813336,-0.17196477589880013,2.7349711167542736]","[-0.0009259271095759477,-0.003314422380216273,0.002393492590830851]","[-1.0029376588879535,-0.32858037086133046,2.8004752238458313]","[-0.20267113701571726,-0.019637433937881667,0.0047688406726627336]","[-0.599111795,-1.49251497,2.91953254]","[-0.0138499718,-0.0238069333,0.0223132707]","[0.0372221209,0.00194025296,0.00033222232]","[-0.5989990830421448,-1.492324411869049,2.9193540811538696]","[0.0057708462700247765,-0.023448902182281017,0.020800878293812275]","[0.0906858779489994,0.01583587611094117,-0.04852334409952164]","[-0.6129779815673828,-1.4925774335861206,2.920863151550293]","[-0.01968318410217762,-0.029211506247520447,0.005724560935050249]",0.0002821884089269263,1.3335737511587593,1.2334711042845217,0.1832407355729013,0.053158389547045486,0.10322568340285798,16.0,16.0,WAIT_FIRST_COMMAND,WAIT_FIRST_COMMAND,12.0,20.0,12.0,12.0,0.03544677476293391,0.03727413791848462,0.03383527184586227,1.495854543981498,0.4116731291855668,0.2024184099949769,1.2334711042845217,0.1832407355729013,0.41147201930872834,LAT_LOW
