timestamp_ns,bundle_generation,trajectory_time_s,analytic_role,NavigationCommand_role,recovery_state,safety_suffix_active,planner_position,planner_velocity,planner_acceleration,planner_jerk,LIO_position,LIO_velocity,PX4_input_trajectory_position,PX4_input_trajectory_velocity,PX4_input_trajectory_acceleration,PX4_effective_position_setpoint,PX4_effective_velocity_setpoint,PX4_effective_acceleration_setpoint,PX4_position,PX4_velocity,aligned_lio_tracking_error_m,px4_tracking_error_m,frame_position_residual_m,frame_velocity_residual_mps,delta_v_px4_controller_mps,delta_a_px4_controller_mps2,command_gap_ms,setpoint_gap_ms,external_mode_output_state,external_mode_reason,lio_source_age_ms,ground_truth_source_age_ms,px4_state_source_age_ms,px4_setpoint_source_age_ms,planner_speed_mps,planner_acceleration_mps2,planner_lateral_acceleration_mps2,planner_jerk_mps3,lio_gt_position_error_m,lio_gt_velocity_error_mps,px4_gt_position_error_m,px4_gt_velocity_error_mps,relative_time_from_T_cross_s
11820000000,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,"[-0.09270189103422724,-0.09394174263291231,-0.008290762749960457]","[0.00011515379558808448,0.0029986477106655703,-0.00011137846904771257]",NOT_RECORDED,"[0.0,0.0,-0.0]","[0.0,0.0,-0.0]",NOT_RECORDED,NOT_RECORDED,"[0.0,0.0,-100.0]","[-0.0482768714427948,-0.06065661087632179,0.05260944366455078]","[0.002384120598435402,0.0002383149549132213,0.0001753972319420427]",NOT_RECORDED,NOT_RECORDED,0.10156077694806763,0.00240241321062639,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,12.0,20.0,8.0,8.0,,,,,0.1320639107916547,0.0030029241836392775,0.10156077694806763,0.00240241321062639,-18.508
11836000000,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,"[-0.09266975474685017,-0.09409381465247452,-0.008318605514956534]","[0.0002056873107884167,0.0024723639260249898,-0.00019751217161728899]",NOT_RECORDED,"[0.0,0.0,-0.0]","[0.0,0.0,-0.0]",NOT_RECORDED,NOT_RECORDED,"[0.0,0.0,-100.0]","[-0.0482768714427948,-0.06065661087632179,0.05260944366455078]","[0.002384120598435402,0.0002383149549132213,0.0001753972319420427]",NOT_RECORDED,NOT_RECORDED,0.10156077694806763,0.00240241321062639,NOT_RECORDED,NOT_RECORDED,16.0,16.0,NOT_RECORDED,NOT_RECORDED,12.0,16.0,16.0,16.0,,,,,0.13214860126220704,0.0024887550523235605,0.10156077694806763,0.00240241321062639,-18.492
11852000000,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,"[-0.09266294940191319,-0.09405460673101854,-0.008322152137702937]","[0.00037480136234729395,0.0024919590974770067,-8.971232393021788e-05]",NOT_RECORDED,"[0.0,0.0,-0.0]","[0.0,0.0,-0.0]",NOT_RECORDED,NOT_RECORDED,"[0.0,0.0,-100.0]","[-0.048209384083747864,-0.0605829618871212,0.05260753631591797]","[0.0023496185895055532,0.0003235302574466914,0.00021338931401260197]",NOT_RECORDED,NOT_RECORDED,0.10148349796873256,0.002381368166195298,NOT_RECORDED,NOT_RECORDED,16.0,16.0,NOT_RECORDED,NOT_RECORDED,16.0,12.0,24.0,24.0,,,,,0.13211578805849863,0.0025215837296787835,0.10148349796873256,0.002381368166195298,-18.476
11868000000,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,"[-0.09265518218711778,-0.0940153683540535,-0.008323648515062093]","[0.0006910562060550051,0.002860799713102208,-3.423545109974782e-05]",NOT_RECORDED,"[0.0,0.0,-0.0]","[0.0,0.0,-0.0]",NOT_RECORDED,NOT_RECORDED,"[0.0,0.0,-100.0]","[-0.04816669598221779,-0.060530487447977066,0.05260753631591797]","[0.0023431016597896814,0.0002884378482121974,0.0002692603738978505]",NOT_RECORDED,NOT_RECORDED,0.1014319027118793,0.0023760940489261054,NOT_RECORDED,NOT_RECORDED,16.0,16.0,NOT_RECORDED,NOT_RECORDED,20.0,12.0,16.0,16.0,,,,,0.13208235494588208,0.002943281458597668,0.1014319027118793,0.0023760940489261054,-18.46
11884000000,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,"[-0.09264463592228521,-0.09397129054318457,-0.008323622521205758]","[0.0008530951592117083,0.002673186710993667,5.096128496774144e-05]",NOT_RECORDED,"[0.0,0.0,-0.0]","[0.0,0.0,-0.0]",NOT_RECORDED,NOT_RECORDED,"[0.0,0.0,-100.0]","[-0.0481109619140625,-0.06045211851596832,0.052608489990234375]","[0.0021729134023189545,0.0002213044645031914,0.00025647139409556985]",NOT_RECORDED,NOT_RECORDED,0.10135930546111602,0.0021991602706432525,NOT_RECORDED,NOT_RECORDED,16.0,16.0,NOT_RECORDED,NOT_RECORDED,16.0,16.0,16.0,16.0,,,,,0.13204358549303222,0.0028064738721515206,0.10135930546111602,0.0021991602706432525,-18.444
11900000000,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,"[-0.09263385254552925,-0.09392680882116507,-0.008323074427952992]","[0.0007133433863992521,0.002904943563076127,1.264737303322481e-05]",NOT_RECORDED,"[0.0,0.0,-0.0]","[0.0,0.0,-0.0]",NOT_RECORDED,NOT_RECORDED,"[0.0,0.0,-100.0]","[-0.04807925224304199,-0.06039692461490631,0.05260944366455078]","[0.002125751692801714,0.00021659235062543303,0.00028964594821445644]",NOT_RECORDED,NOT_RECORDED,0.10131196204880362,0.0021562994414310492,NOT_RECORDED,NOT_RECORDED,16.0,16.0,NOT_RECORDED,NOT_RECORDED,12.0,20.0,8.0,8.0,,,,,0.13200438492148694,0.0029912732820024353,0.10131196204880362,0.0021562994414310492,-18.428
11916000000,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,"[-0.09250386634620648,-0.09377018916245766,-0.008307053532955178]","[0.0009371311458256103,0.003381163900469199,-3.7239575209522334e-05]",NOT_RECORDED,"[0.0,0.0,-0.0]","[0.0,0.0,-0.0]",NOT_RECORDED,NOT_RECORDED,"[0.0,0.0,-100.0]","[-0.04807925224304199,-0.06039692461490631,0.05260944366455078]","[0.002125751692801714,0.00021659235062543303,0.00028964594821445644]",NOT_RECORDED,NOT_RECORDED,0.10131196204880362,0.0021562994414310492,NOT_RECORDED,NOT_RECORDED,16.0,16.0,NOT_RECORDED,NOT_RECORDED,12.0,16.0,16.0,16.0,,,,,0.13180229660852655,0.0035088275666202654,0.10131196204880362,0.0021562994414310492,-18.412
11932000000,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,"[-0.09231054625966266,-0.09355430093120196,-0.008283584523530757]","[0.001524350633995518,0.003758811530898671,-2.3069322275779236e-05]",NOT_RECORDED,"[0.0,0.0,-0.0]","[0.0,0.0,-0.0]",NOT_RECORDED,NOT_RECORDED,"[0.0,0.0,-100.0]","[-0.0480353869497776,-0.06030924245715141,0.052611351013183594]","[0.002119281329214573,0.00031334091909229755,0.0003750188334379345]",NOT_RECORDED,NOT_RECORDED,0.10124013071507877,0.002174896551417617,NOT_RECORDED,NOT_RECORDED,16.0,16.0,NOT_RECORDED,NOT_RECORDED,16.0,12.0,24.0,24.0,,,,,0.13151386530900075,0.004056210198425324,0.10124013071507877,0.002174896551417617,-18.396
11948000000,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,"[-0.09228459586723273,-0.09349661688121447,-0.00828366747666523]","[0.0018094559857104718,0.003526720438696509,9.448099511012012e-05]",NOT_RECORDED,"[0.0,0.0,-0.0]","[0.0,0.0,-0.0]",NOT_RECORDED,NOT_RECORDED,"[0.0,0.0,-100.0]","[-0.048010628670454025,-0.060248102992773056,0.05261421203613281]","[0.0019270427292212844,0.000341533130267635,0.00045196193968877196]",NOT_RECORDED,NOT_RECORDED,0.10119382770608065,0.002008583618932073,NOT_RECORDED,NOT_RECORDED,16.0,16.0,NOT_RECORDED,NOT_RECORDED,20.0,12.0,16.0,16.0,,,,,0.13145461503889766,0.003964948256330736,0.10119382770608065,0.002008583618932073,-18.38
11964000000,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,"[-0.09225517250408884,-0.09343677815634853,-0.008282865903194542]","[0.0018640398348755594,0.004078760667942487,-2.8254893266626226e-05]",NOT_RECORDED,"[0.0,0.0,-0.0]","[0.0,0.0,-0.0]",NOT_RECORDED,NOT_RECORDED,"[0.0,0.0,-100.0]","[-0.047979846596717834,-0.060152582824230194,0.05262184143066406]","[0.0018419650150462985,0.0002517351822461933,0.0005500629195012152]",NOT_RECORDED,NOT_RECORDED,0.10112732840691147,0.0019387560274684475,NOT_RECORDED,NOT_RECORDED,16.0,16.0,NOT_RECORDED,NOT_RECORDED,16.0,16.0,16.0,16.0,,,,,0.13139142948225768,0.00448461051055173,0.10112732840691147,0.0019387560274684475,-18.364
