event,timestamp_ns,e_lio_m,e_px4_m,frame_position_residual_m,frame_velocity_residual_mps,planner_speed_mps,planner_acceleration_mps2,px4_effective_speed_mps,px4_effective_acceleration_mps2,delta_v_px4_controller_mps,delta_a_px4_controller_mps2,analytic_role,NavigationCommand_role,external_mode_output_state,recovery_state,safety_suffix_active,command_gap_ms,setpoint_gap_ms
bundle_activation,29196000000,0.1068940951086756,0.16685063153097024,0.15020497403643895,0.02569701772923846,0.5668414714631529,0.09322181503532215,0.5880624339449255,0.1550954612786022,0.7539481044620546,0.16891424337506492,MAIN,MAIN,TRACK_TRAJECTORY,TRACK_MAIN,False,16.0,16.0
sustained_error_growth_start,29292000000,0.10789685026724816,0.1659218552797885,0.15143970591990466,0.033469031677476994,0.6130676519245409,0.9246956280518678,0.6395314570222261,1.0685704060033527,0.8230411528637628,1.4199680737869993,MAIN,MAIN,TRACK_TRAJECTORY,TRACK_MAIN,False,16.0,16.0
tracking_error_0.10_m,28748000000,0.10002732298187615,0.17414660842660099,0.14853925674213864,0.023302691175166833,0.5318609460069396,0.06883862826673635,0.5537676629823727,0.21312669828944045,0.7052229720464338,0.2241806062999649,MAIN,MAIN,WAIT_FIRST_COMMAND,TRACK_MAIN,False,16.0,16.0
tracking_error_0.20_m,29580000000,0.201056465380215,0.13884698030269554,0.1815857287684645,0.33002529118483864,1.261100566445628,3.279451917791536,1.332379322243918,4.603322131023329,1.786050523756462,5.72709270713719,MAIN,MAIN,TRACK_TRAJECTORY,TRACK_MAIN,False,16.0,16.0
tracking_error_0.25_m,29660000000,0.2558371555530457,0.13799063868253164,0.1920814526129143,0.41542544098531275,1.532889662020097,3.4785770994203866,1.6619767106280603,5.195781624858242,2.218931495889468,6.336325800186194,MAIN,MAIN,TRACK_TRAJECTORY,TRACK_MAIN,False,16.0,16.0
injected_solve_start,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED
injected_solve_failure,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED
planner_failure_return,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED
emergency_authorization,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED
emergency_activation,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED
